"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"annotate_module_celltypes","pRoteomics","config/manuscript_spatial_order.yml","7: #   atlas vocabulary   (results/tables/11_spatial_systems/atlas/*, networks/*)","CONFIG_GLOB","11_spatial_systems","","CONFIG","active",TRUE,"HIGH",""
"annotate_module_celltypes","pRoteomics","config/manuscript_spatial_order.yml","110: # atlas_key    = spelling in results/tables/11_spatial_systems/atlas and networks","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","900: - ""results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_long.csv""","FULL_PATH","results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_long.csv","","CONFIG","active",TRUE,"HIGH",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","960: - ""results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_long.csv""","FULL_PATH","results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_long.csv","","CONFIG","active",TRUE,"HIGH",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","901: - ""results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_summary.csv""","FULL_PATH","results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_summary.csv","","CONFIG","active",TRUE,"HIGH",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","961: - ""results/tables/11_spatial_systems/celltype_annotation/WGCNA_module_external_celltype_affinity_long.csv""","FULL_PATH","results/tables/11_spatial_systems/celltype_annotation/WGCNA_module_external_celltype_affinity_long.csv","","CONFIG","active",TRUE,"HIGH",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","933: - ""results/tables/11_spatial_systems/data_contract/spatial_systems_aggregation_validation.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","935: - ""results/tables/11_spatial_systems/bilateral/""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","936: - ""results/tables/11_spatial_systems/precision/""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","937: - ""results/tables/11_spatial_systems/celltype_annotation/""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","961: - ""results/tables/11_spatial_systems/celltype_annotation/WGCNA_module_external_celltype_affinity_long.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","964: - ""results/tables/11_spatial_systems/bilateral/WGCNA_module_bilateral_reproducibility.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","966: - ""results/tables/11_spatial_systems/precision/bilateral_precision_gain.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","984: - ""results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_protein_level.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1015: - ""results/tables/11_spatial_systems/atlas/WGCNA_module_spatial_cell_affinity.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1017: - ""results/tables/11_spatial_systems/atlas/protein_spatial_cell_affinity.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1020: - ""results/tables/11_spatial_systems/atlas/neuropil_spatial_detection_context.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1022: - ""results/tables/11_spatial_systems/precision/bilateral_precision_gain.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1059: - ""results/tables/11_spatial_systems/data_contract/spatial_systems_hemisphere_inventory.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1083: - ""results/tables/11_spatial_systems/networks/animal_network_objects.rds""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1085: - ""results/tables/11_spatial_systems/networks/animal_network_edges.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1088: - ""results/tables/11_spatial_systems/atlas/WGCNA_module_spatial_cell_affinity.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1090: - ""results/tables/11_spatial_systems/atlas/WGCNA_module_spatial_fingerprints_raw.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1092: - ""results/tables/11_spatial_systems/atlas/protein_spatial_cell_affinity.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1109: - ""results/tables/11_spatial_systems/networks/animal_network_edges.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1111: - ""results/tables/11_spatial_systems/networks/network_edge_group_differences.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1115: - ""results/tables/11_spatial_systems/atlas/WGCNA_module_network_context.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1117: - ""results/tables/11_spatial_systems/networks/spatial_node_network_integration.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1142: - ""results/tables/11_spatial_systems/atlas/protein_spatial_cell_affinity.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1161: - ""results/tables/11_spatial_systems/atlas/protein_spatial_cell_affinity.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1163: - ""results/tables/11_spatial_systems/ca2_slm_robustness/CA2_SLM_DAP_robustness.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1183: - ""results/tables/11_spatial_systems/ca2_slm_robustness/CA2_SLM_DAP_robustness.csv""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1186: - ""results/tables/11_spatial_systems/ca2_slm_robustness/""","NAMESPACE_BASENAME","11_spatial_systems","","CONFIG","active",TRUE,"MEDIUM",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","1357: consumes_required: [""data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/"", ""data/processed/01_preprocessing/protigy_input_animal_level","REGISTRY_DEPENDENCY","11_spatial_systems","","CONFIG","active",TRUE,"HIGH",""
"annotate_module_celltypes","pRoteomics","pipeline.yml","937: - ""results/tables/11_spatial_systems/celltype_annotation/""","NAMESPACE_BASENAME","celltype_annotation","","CONFIG","active",TRUE,"MEDIUM",""
