"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1241: - ""results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_consumer_audit.csv""","FULL_PATH","results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_consumer_audit.csv","","CONFIG","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1242: - ""results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_blast_radius.csv""","FULL_PATH","results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_blast_radius.csv","","CONFIG","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1243: - ""results/integration/audit_animal_id_integrity/global/tables/animal_id_resolution_report.csv""","FULL_PATH","results/integration/audit_animal_id_integrity/global/tables/animal_id_resolution_report.csv","","CONFIG","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1192: - ""results/tables/08_behavior_physio_coupling/animal_id_integrity/""","NAMESPACE_BASENAME","08_behavior_physio_coupling","","CONFIG","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1194: - ""results/tables/08_behavior_physio_coupling/network_behavior_coupling/""","NAMESPACE_BASENAME","08_behavior_physio_coupling","","CONFIG","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1231: consumes_optional: [""results/tables/08_behavior_physio_coupling/network_behavior_coupling/edge_behavior_figure_ready_table.csv""]","REGISTRY_DEPENDENCY","08_behavior_physio_coupling","","CONFIG","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1253: - ""results/tables/08_behavior_physio_coupling/network_behavior_coupling/""","NAMESPACE_BASENAME","08_behavior_physio_coupling","","CONFIG","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1267: consumes_optional: [""results/tables/04_differential_expression_enrichment/biological_program_summary/"", ""results/differential_abundance/compare_external","REGISTRY_DEPENDENCY","08_behavior_physio_coupling","","CONFIG","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1289: consumes_optional: [""results/tables/06_modules_WGCNA/interpretable_summary/"", ""results/integration/test_network_behaviour_coupling/global/tables"", ""resu","REGISTRY_DEPENDENCY","08_behavior_physio_coupling","","CONFIG","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1192: - ""results/tables/08_behavior_physio_coupling/animal_id_integrity/""","NAMESPACE_BASENAME","animal_id_integrity","","CONFIG","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/publication_source_data/build_biological_claims_table.R","1857: expected_path = path_results(""tables"", ""08_behavior_physio_coupling"", ""network_behavior_coupling"", ""edge_behavior_figure_ready_table.csv""),","NAMESPACE_BASENAME","08_behavior_physio_coupling","resolve_input_path","DIRECT_READER","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","analysis/integration/build_cross_compartment_atlas.R","43: legacy_stage = ""08_behavior_physio_coupling"",","NAMESPACE_BASENAME","08_behavior_physio_coupling","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/integration/test_behaviour_proteomics_associations.R","32: MODULE_ID <- ""08_behavior_physio_coupling""","NAMESPACE_BASENAME","08_behavior_physio_coupling","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/integration/test_module_behaviour_coupling.R","33: legacy_stage = ""08_behavior_physio_coupling"",","NAMESPACE_BASENAME","08_behavior_physio_coupling","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/integration/test_network_behaviour_coupling.R","56: MODULE_ID <- ""08_behavior_physio_coupling""","NAMESPACE_BASENAME","08_behavior_physio_coupling","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/publication_source_data/08_export_manuscript_figures.R","45: path_results(""figures"", ""08_behavior_physio_coupling""),","NAMESPACE_BASENAME","08_behavior_physio_coupling","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/spatial_validation/summarize_ca2_slm_robustness.R","45: ""animal_id_integrity"", ...)","NAMESPACE_BASENAME","animal_id_integrity","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/spatial_validation/summarize_ca2_slm_robustness.R","44: AID <- function(...) path_results(""tables"", ""08_behavior_physio_coupling"",","HELPER_FUNCTION","08_behavior_physio_coupling","path_results","INDIRECT_READER_VIA_HELPER","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","analysis/spatial_validation/summarize_ca2_slm_robustness.R","46: COUP <- function(...) path_results(""tables"", ""08_behavior_physio_coupling"",","HELPER_FUNCTION","08_behavior_physio_coupling","path_results","INDIRECT_READER_VIA_HELPER","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","R/statistics/integration_utils.R","283: (domain == ""behavior_coupling"" & grepl(""08_behavior_physio_coupling/(03_)?module_behavior_coupling"", source))","NAMESPACE_BASENAME","08_behavior_physio_coupling","grepl","INDIRECT_READER_VIA_HELPER","active",TRUE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","tests/testthat/test-animal-id-contract.R","211: d <- path_results(""tables"", ""08_behavior_physio_coupling"", ""network_behavior_coupling"")","TEST_FRAGMENT","08_behavior_physio_coupling","path_results","TEST","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","tests/testthat/test-integration-writer-namespace.R","34: STAGES <- c(""10_biological_integration"", ""08_behavior_physio_coupling"")","TEST_FRAGMENT","08_behavior_physio_coupling","file.path","TEST","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","tests/testthat/test-integration-writer-namespace.R","274: ld <- file.path(tmp, ""results"", ""tables"", ""08_behavior_physio_coupling"",","TEST_FRAGMENT","08_behavior_physio_coupling","file.path","TEST","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","tests/testthat/test-integration-writer-namespace.R","282: legacy_stage = ""08_behavior_physio_coupling"",","TEST_FRAGMENT","08_behavior_physio_coupling","file.path","TEST","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","tests/testthat/test-integration-writer-namespace.R","284: testthat::expect_true(grepl(""08_behavior_physio_coupling"", got, fixed = TRUE))","TEST_FRAGMENT","08_behavior_physio_coupling","file.path","TEST","active",TRUE,"HIGH",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1235: - script: ""analysis/integration/audit_animal_id_integrity.R""","ANALYSIS_REFERENCE","audit_animal_id_integrity","","CONFIG","active",FALSE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1241: - ""results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_consumer_audit.csv""","ANALYSIS_REFERENCE","audit_animal_id_integrity","","CONFIG","active",FALSE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1242: - ""results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_blast_radius.csv""","ANALYSIS_REFERENCE","audit_animal_id_integrity","","CONFIG","active",FALSE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1243: - ""results/integration/audit_animal_id_integrity/global/tables/animal_id_resolution_report.csv""","ANALYSIS_REFERENCE","audit_animal_id_integrity","","CONFIG","active",FALSE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","pipeline.yml","1235: - script: ""analysis/integration/audit_animal_id_integrity.R""","ANALYSIS_REFERENCE","audit_animal_id_integrity.R","","CONFIG","active",FALSE,"MEDIUM",""
"audit_animal_id_integrity","pRoteomics","analysis/integration/test_module_behaviour_coupling.R","6: # Consumes: required results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv; optional results/tables/08_behavior_physio_c","DOCUMENTATION_ONLY","08_behavior_physio_coupling","","DOCUMENTATION","active",FALSE,"N/A",""
"audit_animal_id_integrity","pRoteomics","analysis/spatial_validation/summarize_ca2_slm_robustness.R","15: # Consumes: required results/spatial_validation/audit_ca2_slm_robustness/global/tables/CA2_SLM_DAP_robustness.csv; results/tables/11_spatial_systems/ca2_slm_rob","DOCUMENTATION_ONLY","08_behavior_physio_coupling","path_results","DOCUMENTATION","active",FALSE,"HIGH",""
