"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"audit_module_robustness","pRoteomics","analysis/publication_source_data/config/export_config.yml","104: - ""results/tables/06_modules_WGCNA/01_WGCNA/*/modules/WGCNA_module_evidence_rank.csv""","CONFIG_GLOB","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","config/output_layout.yml","49: exports/publication_source_data/ and from nowhere else.","NAMESPACE_BASENAME","publication_source_data","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","config/output_layout.yml","123: manifest: exports/publication_source_data/manifest.csv","NAMESPACE_BASENAME","publication_source_data","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","config/output_layout.yml","130: Before Phase 6F it was written into results/publication_source_data/, in","NAMESPACE_BASENAME","publication_source_data","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","646: produces: [""results/tables/06_modules_WGCNA/module_robustness_sensitivity/<dataset>/module_robustness_sensitivity.csv"", ""results/source_data/06_modules_","FULL_PATH","results/tables/06_modules_WGCNA/module_robustness_sensitivity/<dataset>/module_robustness_sensitivity.csv","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","646: produces: [""results/tables/06_modules_WGCNA/module_robustness_sensitivity/<dataset>/module_robustness_sensitivity.csv"", ""results/source_data/06_modules_","FULL_PATH","results/source_data/06_modules_WGCNA/module_robustness_sensitivity/<dataset>/module_robustness_sensitivity.csv","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","646: produces: [""results/tables/06_modules_WGCNA/module_robustness_sensitivity/<dataset>/module_robustness_sensitivity.csv"", ""results/source_data/06_modules_","FULL_PATH","results/logs/06_modules_WGCNA/module_robustness_sensitivity/<dataset>/run_manifest.yml","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","170: consumes_optional: [""data/metadata/manual_mapping.xlsx"", ""data/metadata/manual_gene_annotation_overrides.csv"", ""results/qc/discover_empirical_roi_marker","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","375: produces: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","389: produces: [""results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/"", ""results/figures/06_modules_WGCNA/01b_module_supermodule_GO_","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","390: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_module_GO_enrichment_long.csv"", ""results/tables/06_modules_WGCNA/0","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","411: produces: [""results/tables/06_modules_WGCNA/curated_overlap_programs/global/""]","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","422: produces: [""results/tables/06_modules_WGCNA/module_score/<dataset>/""]","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","423: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/preprocessing/map_protein_identifiers/<dataset>/tables/mappe","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","424: consumes_optional: [""results/preprocessing/build_module_score_metadata/<dataset>/tables/sample_metadata_merged_clean_for_module_scores.xlsx"", ""data/proc","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","435: produces: [""results/tables/06_modules_WGCNA/module_score/<dataset>/wgcna/""]","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","436: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/preprocessing/map_protein_identifiers/<dataset>/tables/mappe","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","437: consumes_optional: [""results/preprocessing/build_module_score_metadata/<dataset>/tables/sample_metadata_merged_clean_for_module_scores.xlsx"", ""data/proc","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","446: produces: [""results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/<dataset>/""]","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","447: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/differential_abundance/run_clusterprofiler_enrichment/<datas","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
"audit_module_robustness","pRoteomics","pipeline.yml","457: produces: [""results/tables/06_modules_WGCNA/identity_contract/<dataset>/"", ""results/source_data/06_modules_WGCNA/identity_contract/<dataset>/"", ""results","NAMESPACE_BASENAME","06_modules_WGCNA","","CONFIG","active",TRUE,"MEDIUM",""
"audit_module_robustness","pRoteomics","pipeline.yml","458: consumes_required: [""data/processed/06_modules_WGCNA/01_WGCNA/<dataset>/wgcna_final_model_state.rds"", ""results/tables/06_modules_WGCNA/01_WGCNA/<dataset","REGISTRY_DEPENDENCY","06_modules_WGCNA","","CONFIG","active",TRUE,"HIGH",""
