"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/plots/figure_3","","CONFIG","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/tables/source_data/figure_3","","CONFIG","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/tables/figure_3","","CONFIG","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/reports/figure_3","","CONFIG","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/tables/manuscript_panel_inventory.csv","","CONFIG","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/reports","","CONFIG","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","analysis/publication_source_data/08_export_manuscript_figures.R","49: path_results(""figures"", ""manuscript_panels""),","NAMESPACE_BASENAME","manuscript_panels","","DOWNSTREAM_ANALYSIS","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","R/data_contracts/publication_freeze_utils.R","538: path_results(""source_data"", ""manuscript_panels""),","NAMESPACE_BASENAME","manuscript_panels","","INDIRECT_READER_VIA_HELPER","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","R/data_contracts/publication_freeze_utils.R","539: path_results(""tables"", ""manuscript_panels""),","NAMESPACE_BASENAME","manuscript_panels","","INDIRECT_READER_VIA_HELPER","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","R/data_contracts/publication_freeze_utils.R","540: path_results(""reports"", ""manuscript_panels""),","NAMESPACE_BASENAME","manuscript_panels","","INDIRECT_READER_VIA_HELPER","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-export-target-path-budget.R","230: for (root in c(""manuscript_panels"", ""10_biological_integration"",","TEST_FRAGMENT","manuscript_panels","file.path","TEST","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-export-target-path-budget.R","241: panel_dir <- file.path(repo, ""results"", ""figures"", ""manuscript_panels"", ""figure_3"")","TEST_FRAGMENT","manuscript_panels","file.path","TEST","active",TRUE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-integration-writer-namespace.R","101: for (st in c(STAGES, ""manuscript_panels"")) {","TEST_FRAGMENT","manuscript_panels","expect_true","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-integration-writer-namespace.R","139: hit <- intersect(lits, c(STAGES, ""manuscript_panels""))","TEST_FRAGMENT","manuscript_panels","expect_true","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-integration-writer-namespace.R","475: testthat::expect_true(grepl('path_results(""source_data"", ""manuscript_panels"")',","TEST_FRAGMENT","manuscript_panels","expect_true","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-integration-writer-namespace.R","483: testthat::expect_true(grepl('path_results(""figures"", ""manuscript_panels"")',","TEST_FRAGMENT","manuscript_panels","expect_true","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-output-namespace-contract.R","11: ""results/figures/manuscript_panels/figure_3/legacy.svg"",","TEST_FRAGMENT","results/figures/manuscript_panels/figure_3","","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-output-namespace-contract.R","11: ""results/figures/manuscript_panels/figure_3/legacy.svg"",","TEST_FRAGMENT","manuscript_panels","","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-source-data-journal-scope.R","246: fx$touch(""results/source_data/manuscript_panels/figure_3/figure3b_stage07_effect_source.csv""),","TEST_FRAGMENT","results/source_data/manuscript_panels/figure_3","","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-source-data-journal-scope.R","247: fx$touch(""results/tables/manuscript_panels/figure_3/figure3_validation.csv""),","TEST_FRAGMENT","results/tables/manuscript_panels/figure_3","","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-source-data-journal-scope.R","246: fx$touch(""results/source_data/manuscript_panels/figure_3/figure3b_stage07_effect_source.csv""),","TEST_FRAGMENT","manuscript_panels","","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-source-data-journal-scope.R","247: fx$touch(""results/tables/manuscript_panels/figure_3/figure3_validation.csv""),","TEST_FRAGMENT","manuscript_panels","","TEST","active",TRUE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1469: - script: ""analysis/integration/export_module_protein_zoom_source_data.R""","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data","","CONFIG","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1474: produces: [""results/integration/export_module_protein_zoom_source_data/global/plots/figure_3"", ""results/integration/export_module_protein_zoom_source_da","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data","","CONFIG","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","pipeline.yml","1469: - script: ""analysis/integration/export_module_protein_zoom_source_data.R""","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data.R","","CONFIG","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","docs/ANALYSIS_ENTRYPOINTS.md","286: - `analysis/integration/export_module_protein_zoom_source_data.R` - stage `integration`, scope `global`","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data","","DOCUMENTATION","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","docs/ANALYSIS_ENTRYPOINTS.md","286: - `analysis/integration/export_module_protein_zoom_source_data.R` - stage `integration`, scope `global`","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data.R","","DOCUMENTATION","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","docs/OUTPUT_CONTRACTS.md","27: Legacy `results/*/manuscript_panels/` trees remain readable for compatibility,","NAMESPACE_BASENAME","manuscript_panels","","DOCUMENTATION","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","docs/RESULTS_OWNERSHIP.md","45: | `results/integration/export_module_protein_zoom_source_data/global` | `export_module_protein_zoom_source_data.R` | 1 | 1 |","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data","","DOCUMENTATION","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","docs/RESULTS_OWNERSHIP.md","45: | `results/integration/export_module_protein_zoom_source_data/global` | `export_module_protein_zoom_source_data.R` | 1 | 1 |","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data.R","","DOCUMENTATION","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","R/statistics/wgcna_candidate_protein_utils.R","28: # handoff and to analysis/integration/export_module_protein_zoom_source_data.R.","DOCUMENTATION_ONLY","export_module_protein_zoom_source_data","","DOCUMENTATION","active",FALSE,"N/A",""
"export_module_protein_zoom_source_data","pRoteomics","R/statistics/wgcna_candidate_protein_utils.R","28: # handoff and to analysis/integration/export_module_protein_zoom_source_data.R.","DOCUMENTATION_ONLY","export_module_protein_zoom_source_data.R","","DOCUMENTATION","active",FALSE,"N/A",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-wgcna-label-adjudication.R","619: ## (export_module_protein_zoom_source_data.R) because figure identity belongs","DOCUMENTATION_ONLY","export_module_protein_zoom_source_data","","DOCUMENTATION","active",FALSE,"N/A",""
"export_module_protein_zoom_source_data","pRoteomics","tests/testthat/test-wgcna-label-adjudication.R","619: ## (export_module_protein_zoom_source_data.R) because figure identity belongs","DOCUMENTATION_ONLY","export_module_protein_zoom_source_data.R","","DOCUMENTATION","active",FALSE,"N/A",""
"export_module_protein_zoom_source_data","pRoteomics","config/results_ownership.csv","25: ""results/integration/export_module_protein_zoom_source_data/global"",""results/integration/export_module_protein_zoom_source_data"",""analysis/integration/export_mo","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/tables/manuscript_panel_inventory.csv","","GENERATED_RECORD","active",FALSE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","config/results_ownership.csv","25: ""results/integration/export_module_protein_zoom_source_data/global"",""results/integration/export_module_protein_zoom_source_data"",""analysis/integration/export_mo","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data","","GENERATED_RECORD","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","config/results_ownership.csv","25: ""results/integration/export_module_protein_zoom_source_data/global"",""results/integration/export_module_protein_zoom_source_data"",""analysis/integration/export_mo","ANALYSIS_REFERENCE","export_module_protein_zoom_source_data.R","","GENERATED_RECORD","active",FALSE,"MEDIUM",""
"export_module_protein_zoom_source_data","pRoteomics","docs/active_script_io_audit.tsv","99: analysis/integration/export_module_protein_zoom_source_data.R	active_optional	required: results/source_data/06_modules_WGCNA/interpretable_summary/neuron_neurop","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/plots/figure_3","","GENERATED_RECORD","active",FALSE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","docs/active_script_io_audit.tsv","99: analysis/integration/export_module_protein_zoom_source_data.R	active_optional	required: results/source_data/06_modules_WGCNA/interpretable_summary/neuron_neurop","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/tables/source_data/figure_3","","GENERATED_RECORD","active",FALSE,"HIGH",""
"export_module_protein_zoom_source_data","pRoteomics","docs/active_script_io_audit.tsv","99: analysis/integration/export_module_protein_zoom_source_data.R	active_optional	required: results/source_data/06_modules_WGCNA/interpretable_summary/neuron_neurop","FULL_PATH","results/integration/export_module_protein_zoom_source_data/global/tables/figure_3","","GENERATED_RECORD","active",FALSE,"HIGH",""
