"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"extract_protigy_contrasts","pRoteomics","audits/preprocessing/01b_animal_level_mapping_audit.r","16: legacy_extract_root <- path_processed(""01_preprocessing"", ""gct_extractR"")","NAMESPACE_BASENAME","gct_extractR","","AUDIT_READER","active",TRUE,"MEDIUM",""
"extract_protigy_contrasts","pRoteomics","audits/preprocessing/03b_directionality_audit_raw_vs_protigy.r","284: gct_dir <- Sys.getenv(""PROTEOMICS_DIRECTIONALITY_GCT_EXTRACT_DIR"", unset = path_processed(""01_preprocessing"", ""gct_extractR"", dataset))","NAMESPACE_BASENAME","gct_extractR","","AUDIT_READER","active",TRUE,"MEDIUM",""
"extract_protigy_contrasts","pRoteomics","config/example_config.yml","16: - 01_preprocessing/output","NAMESPACE_BASENAME","01_preprocessing","","CONFIG","active",TRUE,"MEDIUM",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","16: produces: [""results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv"", ""results/preprocessing/extract_protigy_contrasts/<dataset>/","CONFIG_GLOB","results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv","","CONFIG","active",TRUE,"HIGH",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","39: consumes_required: [""results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv"", ""data/processed/01_preprocessing/gct_extractR/<dat","REGISTRY_DEPENDENCY","results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv","","CONFIG","active",TRUE,"HIGH",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","16: produces: [""results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv"", ""results/preprocessing/extract_protigy_contrasts/<dataset>/","CONFIG_GLOB","results/preprocessing/extract_protigy_contrasts/<dataset>/tables/reverse/*.csv","","CONFIG","active",TRUE,"HIGH",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","16: produces: [""results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv"", ""results/preprocessing/extract_protigy_contrasts/<dataset>/","CONFIG_GLOB","results/preprocessing/extract_protigy_contrasts/<dataset>/manifests/indexComparisons.csv","","CONFIG","active",TRUE,"HIGH",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","16: produces: [""results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv"", ""results/preprocessing/extract_protigy_contrasts/<dataset>/","CONFIG_GLOB","results/preprocessing/extract_protigy_contrasts/<dataset>/manifests/canonical_gct_extract_manifest.csv","","CONFIG","active",TRUE,"HIGH",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","39: consumes_required: [""results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv"", ""data/processed/01_preprocessing/gct_extractR/<dat","REGISTRY_DEPENDENCY","data/processed/01_preprocessing/gct_extractR/<dataset>/forward/*.csv","","CONFIG","active",TRUE,"HIGH",""
"extract_protigy_contrasts","pRoteomics","pipeline.yml","17: consumes_required: [""data/processed/01_preprocessing/protigy_output/<dataset>/*.gct""]","REGISTRY_DEPENDENCY","01_preprocessing","","CONFIG","active",TRUE,"HIGH",""
