"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"map_protein_identifiers","pRoteomics","audits/preprocessing/01b_animal_level_mapping_audit.r","17: legacy_mapping_root <- path_processed(""02_id_mapping"")","NAMESPACE_BASENAME","02_id_mapping","","AUDIT_READER","active",TRUE,"MEDIUM",""
"map_protein_identifiers","pRoteomics","analysis/publication_source_data/config/export_config.yml","45: root: data/processed/02_id_mapping/mapped","NAMESPACE_BASENAME","02_id_mapping","","CONFIG","active",TRUE,"MEDIUM",""
"map_protein_identifiers","pRoteomics","config/clusterProfiler_config.yml","11: # Dataset family. This selects data/processed/02_id_mapping/mapped/<dataset>/forward/per_file","NAMESPACE_BASENAME","02_id_mapping","","CONFIG","active",TRUE,"MEDIUM",""
"map_protein_identifiers","pRoteomics","config/clusterProfiler_config.yml","11: # Dataset family. This selects data/processed/02_id_mapping/mapped/<dataset>/forward/per_file","NAMESPACE_BASENAME","mapped","","CONFIG","active",TRUE,"MEDIUM",""
"map_protein_identifiers","pRoteomics","pipeline.yml","38: produces: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""results/preprocessing/map_protein_identifier","CONFIG_GLOB","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","114: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","136: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","147: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","180: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","191: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","241: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","252: consumes_required: [""results/differential_abundance/run_clusterprofiler_enrichment/<dataset>/models/clusterProfiler_manifest.csv"", ""data/processed/04_di","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","423: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/preprocessing/map_protein_identifiers/<dataset>/tables/mappe","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","436: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/preprocessing/map_protein_identifiers/<dataset>/tables/mappe","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","772: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","38: produces: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""results/preprocessing/map_protein_identifier","CONFIG_GLOB","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/summaries/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","114: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","136: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","147: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","180: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","191: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","241: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","252: consumes_required: [""results/differential_abundance/run_clusterprofiler_enrichment/<dataset>/models/clusterProfiler_manifest.csv"", ""data/processed/04_di","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","423: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/preprocessing/map_protein_identifiers/<dataset>/tables/mappe","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","436: consumes_required: [""results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/"", ""results/preprocessing/map_protein_identifiers/<dataset>/tables/mappe","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","772: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","","CONFIG","active",TRUE,"HIGH",""
"map_protein_identifiers","pRoteomics","pipeline.yml","114: consumes_required: [""results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv"", ""data/processed/02_id_mapping/mapped","REGISTRY_DEPENDENCY","02_id_mapping","","CONFIG","active",TRUE,"HIGH",""
