"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"render_compartment_abundance_figures","pRoteomics","config/output_layout.yml","49: exports/publication_source_data/ and from nowhere else.","NAMESPACE_BASENAME","publication_source_data","","CONFIG","active",TRUE,"MEDIUM",""
"render_compartment_abundance_figures","pRoteomics","config/output_layout.yml","123: manifest: exports/publication_source_data/manifest.csv","NAMESPACE_BASENAME","publication_source_data","","CONFIG","active",TRUE,"MEDIUM",""
"render_compartment_abundance_figures","pRoteomics","config/output_layout.yml","130: Before Phase 6F it was written into results/publication_source_data/, in","NAMESPACE_BASENAME","publication_source_data","","CONFIG","active",TRUE,"MEDIUM",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","226: produces: [""results/qc/render_compartment_abundance_figures/global/tables/source_data"", ""results/qc/render_compartment_abundance_figures/global/plots"",","FULL_PATH","results/qc/render_compartment_abundance_figures/global/tables/source_data","","CONFIG","active",TRUE,"HIGH",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","226: produces: [""results/qc/render_compartment_abundance_figures/global/tables/source_data"", ""results/qc/render_compartment_abundance_figures/global/plots"",","FULL_PATH","results/qc/render_compartment_abundance_figures/global/plots","","CONFIG","active",TRUE,"HIGH",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","226: produces: [""results/qc/render_compartment_abundance_figures/global/tables/source_data"", ""results/qc/render_compartment_abundance_figures/global/plots"",","FULL_PATH","results/qc/render_compartment_abundance_figures/global/reports","","CONFIG","active",TRUE,"HIGH",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","78: consumes_required: [""data/processed/01_preprocessing/joint_compartment_qc/global/joint_compartment_qc_matrices.rds"", ""results/tables/03_qc_exploration/0","REGISTRY_DEPENDENCY","03_qc_exploration","","CONFIG","active",TRUE,"HIGH",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","170: consumes_optional: [""data/metadata/manual_mapping.xlsx"", ""data/metadata/manual_gene_annotation_overrides.csv"", ""results/qc/discover_empirical_roi_marker","REGISTRY_DEPENDENCY","03_qc_exploration","","CONFIG","active",TRUE,"HIGH",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","203: consumes_optional: [""data/metadata/manual_mapping.xlsx"", ""data/metadata/manual_gene_annotation_overrides.csv"", ""results/qc/discover_empirical_roi_marker","REGISTRY_DEPENDENCY","03_qc_exploration","","CONFIG","active",TRUE,"HIGH",""
"render_compartment_abundance_figures","pRoteomics","pipeline.yml","213: consumes_required: [""results/qc/assess_pca_confounding/<dataset>/tables"", ""results/tables/03_qc_exploration/05_pca_confounding_qc/<dataset>/"", ""results/","REGISTRY_DEPENDENCY","03_qc_exploration","","CONFIG","active",TRUE,"HIGH",""
