"analysis_id","repo","consumer_file","line_or_expression","match_type","matched_token","enclosing_call","dependency_kind","active_or_historical","runtime_relevant","confidence","adjudication"
"render_differential_network_figures","pRoteomics","pipeline.yml","815: produces: [""results/spatial_networks/render_differential_network_figures/<dataset>/plots"", ""results/spatial_networks/render_differential_network_figures","FULL_PATH","results/spatial_networks/render_differential_network_figures/<dataset>/plots","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","815: produces: [""results/spatial_networks/render_differential_network_figures/<dataset>/plots"", ""results/spatial_networks/render_differential_network_figures","FULL_PATH","results/spatial_networks/render_differential_network_figures/<dataset>/manifests","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","783: consumes_required: [""results/spatial_networks/build_spatial_networks/<dataset>/models/*/network_spatial_relations_objects.rds"", ""data/processed/07_spati","REGISTRY_DEPENDENCY","07_spatial_networks","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","794: consumes_required: [""results/spatial_networks/build_spatial_networks/<dataset>/models/*/network_spatial_relations_objects.rds"", ""data/processed/07_spati","REGISTRY_DEPENDENCY","07_spatial_networks","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","805: consumes_required: [""results/spatial_networks/build_spatial_networks/<dataset>/models/*/network_spatial_relations_objects.rds"", ""data/processed/07_spati","REGISTRY_DEPENDENCY","07_spatial_networks","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","817: consumes_optional: [""results/spatial_networks/test_differential_network_stability/<dataset>/tables/candidate_edge_differential_stability_summary.csv"", ""","REGISTRY_DEPENDENCY","07_spatial_networks","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","828: consumes_optional: [""results/tables/07_spatial_networks/""]","REGISTRY_DEPENDENCY","07_spatial_networks","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","1096: - ""results/tables/07_spatial_networks/""","NAMESPACE_BASENAME","07_spatial_networks","","CONFIG","active",TRUE,"MEDIUM",""
"render_differential_network_figures","pRoteomics","pipeline.yml","1101: notes: ""Legacy comparison, reviewer workbook, candidate figures and the network validation contract; a critical FAIL exits non-zero. The legacy 07_spati","NAMESPACE_BASENAME","07_spatial_networks","","CONFIG","active",TRUE,"MEDIUM",""
"render_differential_network_figures","pRoteomics","pipeline.yml","1190: consumes_required: [""results/spatial_networks/build_spatial_networks/<dataset>/models/*/network_spatial_relations_objects.rds"", ""data/processed/07_spati","REGISTRY_DEPENDENCY","07_spatial_networks","","CONFIG","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","pipeline.yml","1221: - ""data/processed/07_spatial_networks/network_spatial_relations/neuron_neuropil/region_layer/network_spatial_relations_objects.rds""","NAMESPACE_BASENAME","07_spatial_networks","","CONFIG","active",TRUE,"MEDIUM",""
"render_differential_network_figures","pRoteomics","tools/verify_path_contract_rewrites.R","44: c(""07_spatial_networks"",                   ""analysis/spatial_networks""),","NAMESPACE_BASENAME","07_spatial_networks","","EXPORTER","active",TRUE,"MEDIUM",""
"render_differential_network_figures","pRoteomics","tools/verify_path_contract_rewrites.R","61: c(""analysis/07_spatial_networks"",       ""analysis/spatial_networks""),","NAMESPACE_BASENAME","07_spatial_networks","","EXPORTER","active",TRUE,"MEDIUM",""
"render_differential_network_figures","pRoteomics","analysis/integration/audit_animal_id_integrity.R","51: SPATIAL_RDS <- path_processed(""07_spatial_networks"", ""network_spatial_relations"",","NAMESPACE_BASENAME","07_spatial_networks","path_processed","INDIRECT_READER_VIA_HELPER","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","analysis/integration/audit_animal_id_integrity.R","120: ""spatial_network_rds"", ""07_spatial_networks RDS sample_metadata$AnimalID"",","NAMESPACE_BASENAME","07_spatial_networks","path_processed","INDIRECT_READER_VIA_HELPER","active",TRUE,"HIGH",""
"render_differential_network_figures","pRoteomics","analysis/publication_source_data/08_export_manuscript_figures.R","38: path_results(""figures"", ""07_spatial_networks""),","NAMESPACE_BASENAME","07_spatial_networks","path_results","INDIRECT_READER_VIA_HELPER","active",TRUE,"HIGH",""
