"current_path","current_name","role","domain","canonical_entrypoint","functions_defined","canonical_outputs_written","other_outputs_written","callers","tests","historical_name_embedded","proposed_path","proposed_name","rename_needed","rationale"
"R/data_contracts/animal_id_contract.R","animal_id_contract.R","REUSABLE_LIBRARY","data_contracts",FALSE,9,0,0,4,1,"","","",NA,""
"R/data_contracts/dataset_config.R","dataset_config.R","REUSABLE_LIBRARY","data_contracts",FALSE,13,0,0,93,19,"","","",NA,""
"R/data_contracts/dataset_inputs.R","dataset_inputs.R","REUSABLE_LIBRARY","data_contracts",FALSE,6,0,0,32,5,"","","",NA,""
"R/data_contracts/mapping_branch_utils.R","mapping_branch_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,14,0,0,3,1,"","","",NA,""
"R/data_contracts/module_contracts.R","module_contracts.R","REUSABLE_LIBRARY","data_contracts",FALSE,41,0,0,15,8,"","","",NA,""
"R/data_contracts/protein_mapping_utils.R","protein_mapping_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,41,0,0,8,4,"","","",NA,""
"R/data_contracts/protigy_input_utils.R","protigy_input_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,14,0,0,9,2,"protigy","","",NA,""
"R/data_contracts/protigy_stat_gct_utils.R","protigy_stat_gct_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,27,0,0,3,1,"protigy","","",NA,""
"R/data_contracts/publication_freeze_utils.R","publication_freeze_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,31,0,0,3,2,"","","",NA,""
"R/data_contracts/spatial_systems_data_utils.R","spatial_systems_data_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,14,0,0,13,1,"","","",NA,""
"R/data_contracts/spatial_systems_endpoint_utils.R","spatial_systems_endpoint_utils.R","REUSABLE_LIBRARY","data_contracts",FALSE,8,0,0,3,1,"","","",NA,""
"R/data_contracts/spatial_systems_evidence_registry.R","spatial_systems_evidence_registry.R","REUSABLE_LIBRARY","data_contracts",FALSE,2,0,0,3,1,"","","",NA,""
"R/enrichment/clusterprofiler_reproducibility.R","clusterprofiler_reproducibility.R","REUSABLE_LIBRARY","enrichment",FALSE,11,0,0,9,3,"clusterProfiler","","",NA,""
"R/enrichment/enrichment_io.R","enrichment_io.R","REUSABLE_LIBRARY","enrichment",FALSE,39,0,0,19,6,"","","",NA,""
"R/enrichment/enrichment_plots.R","enrichment_plots.R","REUSABLE_LIBRARY","enrichment",FALSE,1,0,0,4,0,"","","",NA,""
"R/enrichment/ewce_contract_utils.R","ewce_contract_utils.R","REUSABLE_LIBRARY","enrichment",FALSE,6,0,0,2,2,"EWCE","","",NA,""
"R/enrichment/ewce_gene_set_engine.R","ewce_gene_set_engine.R","REUSABLE_LIBRARY","enrichment",FALSE,9,0,0,7,3,"EWCE","","",NA,""
"R/enrichment/gsea_wgcna_concordance_diagnostic_utils.R","gsea_wgcna_concordance_diagnostic_utils.R","REUSABLE_LIBRARY","enrichment",FALSE,13,0,0,2,1,"WGCNA","","",NA,""
"R/enrichment/gsea_wgcna_concordance_utils.R","gsea_wgcna_concordance_utils.R","REUSABLE_LIBRARY","enrichment",FALSE,37,0,0,4,9,"WGCNA","","",NA,""
"R/enrichment/manuscript_go_theme_utils.R","manuscript_go_theme_utils.R","REUSABLE_LIBRARY","enrichment",FALSE,17,0,0,7,5,"","","",NA,""
"R/enrichment/microglia_targeted_signature_utils.R","microglia_targeted_signature_utils.R","REUSABLE_LIBRARY","enrichment",FALSE,21,0,0,2,1,"nature","","",NA,""
"R/enrichment/protein_group_enrichment_utils.R","protein_group_enrichment_utils.R","REUSABLE_LIBRARY","enrichment",FALSE,20,0,0,8,3,"","","",NA,""
"R/networks/animal_spatial_network_utils.R","animal_spatial_network_utils.R","REUSABLE_LIBRARY","networks",FALSE,17,0,0,4,1,"","","",NA,""
"R/networks/spatial_network_utils.R","spatial_network_utils.R","REUSABLE_LIBRARY","networks",FALSE,2,0,0,8,1,"","","",NA,""
"R/networks/wgcna_network_position_utils.R","wgcna_network_position_utils.R","REUSABLE_LIBRARY","networks",FALSE,14,0,0,2,1,"WGCNA","","",NA,""
"R/null_coalescing.R","null_coalescing.R","REUSABLE_LIBRARY","R/null_coalescing.R",FALSE,1,0,0,14,1,"","","",NA,""
"R/paths.R","paths.R","REUSABLE_LIBRARY","R/paths.R",FALSE,34,0,0,175,101,"","","",NA,""
"R/qc/compartment_abundance_utils.R","compartment_abundance_utils.R","REUSABLE_LIBRARY","qc",FALSE,44,0,0,3,2,"part","","",NA,""
"R/qc/control_compartment_abundance_rendering.R","control_compartment_abundance_rendering.R","REUSABLE_LIBRARY","qc",FALSE,23,0,0,2,1,"part","","",NA,""
"R/qc/control_compartment_abundance_workflow_v2.R","control_compartment_abundance_workflow_v2.R","REUSABLE_LIBRARY","qc",FALSE,6,0,0,2,1,"part","","",NA,""
"R/qc/empirical_roi_marker_utils.R","empirical_roi_marker_utils.R","REUSABLE_LIBRARY","qc",FALSE,21,0,0,4,1,"","","",NA,""
"R/qc/joint_compartment_qc_plotting.R","joint_compartment_qc_plotting.R","REUSABLE_LIBRARY","qc",FALSE,13,0,0,3,2,"part","","",NA,""
"R/qc/joint_compartment_qc_utils.R","joint_compartment_qc_utils.R","REUSABLE_LIBRARY","qc",FALSE,20,0,0,4,1,"part","","",NA,""
"R/qc/qc_exploration_utils.R","qc_exploration_utils.R","REUSABLE_LIBRARY","qc",FALSE,34,0,0,29,2,"","","",NA,""
"R/spatial/ca2_slm_robustness_utils.R","ca2_slm_robustness_utils.R","REUSABLE_LIBRARY","spatial",FALSE,20,0,0,4,1,"","","",NA,""
"R/spatial/control_spatial_identity_utils.R","control_spatial_identity_utils.R","REUSABLE_LIBRARY","spatial",FALSE,39,0,0,8,2,"","","",NA,""
"R/spatial/spatial_atlas_utils.R","spatial_atlas_utils.R","REUSABLE_LIBRARY","spatial",FALSE,16,0,0,11,1,"","","",NA,""
"R/spatial/spatial_systems_bilateral_utils.R","spatial_systems_bilateral_utils.R","REUSABLE_LIBRARY","spatial",FALSE,6,0,0,6,1,"","","",NA,""
"R/statistics/final_evidence_bundle_utils.R","final_evidence_bundle_utils.R","REUSABLE_LIBRARY","statistics",FALSE,18,0,0,3,2,"final","","",NA,""
"R/statistics/integration_utils.R","integration_utils.R","REUSABLE_LIBRARY","statistics",FALSE,22,0,0,37,2,"","","",NA,""
"R/statistics/module_stats.R","module_stats.R","REUSABLE_LIBRARY","statistics",FALSE,4,0,0,7,0,"","","",NA,""
"R/statistics/pride_helpers.R","pride_helpers.R","REUSABLE_LIBRARY","statistics",FALSE,11,0,0,5,3,"","","",NA,""
"R/statistics/stress_response_biological_audit_utils.R","stress_response_biological_audit_utils.R","REUSABLE_LIBRARY","statistics",FALSE,15,0,0,2,1,"","","",NA,""
"R/statistics/sus_res_biological_audit_workbook.R","sus_res_biological_audit_workbook.R","REUSABLE_LIBRARY","statistics",FALSE,7,0,0,2,1,"","","",NA,""
"R/statistics/sus_res_spatial_dap_atlas_utils.R","sus_res_spatial_dap_atlas_utils.R","REUSABLE_LIBRARY","statistics",FALSE,20,0,0,10,3,"","","",NA,""
"R/statistics/wgcna_candidate_protein_utils.R","wgcna_candidate_protein_utils.R","REUSABLE_LIBRARY","statistics",FALSE,45,0,0,5,1,"WGCNA","","",NA,""
"R/statistics/wgcna_claim_readiness_utils.R","wgcna_claim_readiness_utils.R","REUSABLE_LIBRARY","statistics",FALSE,5,0,0,7,1,"WGCNA","","",NA,""
"R/statistics/wgcna_downstream_utils.R","wgcna_downstream_utils.R","REUSABLE_LIBRARY","statistics",FALSE,40,0,0,23,14,"WGCNA","","",NA,""
"R/statistics/wgcna_go_comparison_utils.R","wgcna_go_comparison_utils.R","REUSABLE_LIBRARY","statistics",FALSE,15,0,0,2,1,"WGCNA","","",NA,""
"R/statistics/wgcna_group_effect_consumer_utils.R","wgcna_group_effect_consumer_utils.R","REUSABLE_LIBRARY","statistics",FALSE,34,0,0,15,3,"WGCNA","","",NA,""
"R/statistics/wgcna_group_effects_utils.R","wgcna_group_effects_utils.R","REUSABLE_LIBRARY","statistics",FALSE,78,0,0,4,9,"WGCNA","","",NA,""
"R/statistics/wgcna_identity_contract_utils.R","wgcna_identity_contract_utils.R","REUSABLE_LIBRARY","statistics",FALSE,34,0,0,4,5,"WGCNA","","",NA,""
"R/statistics/wgcna_label_activation_utils.R","wgcna_label_activation_utils.R","REUSABLE_LIBRARY","statistics",FALSE,23,0,0,3,1,"WGCNA","","",NA,""
"R/statistics/wgcna_label_adjudication_utils.R","wgcna_label_adjudication_utils.R","REUSABLE_LIBRARY","statistics",FALSE,33,0,0,3,2,"WGCNA","","",NA,""
"R/statistics/wgcna_label_coherence_utils.R","wgcna_label_coherence_utils.R","REUSABLE_LIBRARY","statistics",FALSE,19,0,0,2,1,"WGCNA","","",NA,""
"R/statistics/wgcna_labeling_utils.R","wgcna_labeling_utils.R","REUSABLE_LIBRARY","statistics",FALSE,12,0,0,9,2,"WGCNA","","",NA,""
"R/statistics/wgcna_reviewed_label_registry.R","wgcna_reviewed_label_registry.R","REUSABLE_LIBRARY","statistics",FALSE,11,0,0,7,2,"WGCNA","","",NA,""
"R/statistics/wgcna_stage07_semantic_utils.R","wgcna_stage07_semantic_utils.R","REUSABLE_LIBRARY","statistics",FALSE,26,0,0,7,3,"stage+WGCNA","","",NA,""
"R/statistics/wgcna_support_status_utils.R","wgcna_support_status_utils.R","REUSABLE_LIBRARY","statistics",FALSE,3,0,0,4,1,"WGCNA","","",NA,""
"R/utilities/export_helpers.R","export_helpers.R","REUSABLE_LIBRARY","utilities",FALSE,54,0,0,16,7,"","","",NA,""
"R/utilities/output_namespace_utils.R","output_namespace_utils.R","REUSABLE_LIBRARY","utilities",FALSE,8,0,0,3,1,"","","",NA,""
"R/utilities/pipeline_registry.R","pipeline_registry.R","REUSABLE_LIBRARY","utilities",FALSE,20,0,0,9,4,"","","",NA,""
"R/utilities/plotting_nature.R","plotting_nature.R","REUSABLE_LIBRARY","utilities",FALSE,15,0,0,16,4,"nature","","",NA,""
"R/utilities/renv_lock_audit.R","renv_lock_audit.R","REUSABLE_LIBRARY","utilities",FALSE,14,0,0,6,1,"","","",NA,""
"R/utilities/schema_validation.R","schema_validation.R","REUSABLE_LIBRARY","utilities",FALSE,2,0,0,10,4,"","","",NA,""
"R/utilities/script_runtime.R","script_runtime.R","REUSABLE_LIBRARY","utilities",FALSE,6,0,0,12,0,"","","",NA,""
"R/utilities/validation_utils.R","validation_utils.R","REUSABLE_LIBRARY","utilities",FALSE,13,0,0,19,4,"","","",NA,""
"R/utilities/xlsx_package_utils.R","xlsx_package_utils.R","REUSABLE_LIBRARY","utilities",FALSE,8,0,0,8,1,"","","",NA,""
"analysis/01_preprocessing/01_MapThatProt_batch.r","01_MapThatProt_batch.r","ANALYSIS_ENTRYPOINT","01_preprocessing",TRUE,5,1,1,10,2,"numeric_prefix+MapThatProt","","",NA,""
"analysis/01_preprocessing/01_prepare_joint_protigy_input.r","01_prepare_joint_protigy_input.r","ANALYSIS_ENTRYPOINT","01_preprocessing",TRUE,1,1,3,8,1,"numeric_prefix+protigy","","",NA,""
"analysis/01_preprocessing/02a_prepare_animal_level_protigy_input.r","02a_prepare_animal_level_protigy_input.r","SUPPORT_SCRIPT","01_preprocessing",FALSE,5,0,0,5,0,"numeric_prefix+protigy","","",NA,""
"analysis/01_preprocessing/03_gct_extractR.r","03_gct_extractR.r","ANALYSIS_ENTRYPOINT","01_preprocessing",TRUE,5,0,3,11,1,"numeric_prefix+gct_extractR","","",NA,""
"analysis/01_preprocessing/06_merged_metadata_module_score.r","06_merged_metadata_module_score.r","ANALYSIS_ENTRYPOINT","01_preprocessing",TRUE,11,3,1,13,1,"numeric_prefix","","",NA,""
"analysis/02_qc/00_dataset_qc_report.r","00_dataset_qc_report.r","ANALYSIS_ENTRYPOINT","02_qc",TRUE,3,2,0,9,0,"numeric_prefix","","",NA,""
"analysis/02_qc/00b_joint_compartment_qc.r","00b_joint_compartment_qc.r","ANALYSIS_ENTRYPOINT","02_qc",TRUE,4,4,0,9,1,"numeric_prefix+part","","",NA,""
