"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"audits/integration/07_gsea_wgcna_concordance_correction_audit.R","07_gsea_wgcna_concordance_correction_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,3,0,TRUE,TRUE,TRUE
"audits/migration/generate_prerestructure_freeze.R","generate_prerestructure_freeze.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/atlas_completeness.R","atlas_completeness.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/atlas_lineage.R","atlas_lineage.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/atlas_renderer_scale_audit.R","atlas_renderer_scale_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/bh_family_and_fgsea_floor_audit.R","bh_family_and_fgsea_floor_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/camera_feasibility.R","camera_feasibility.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,FALSE,TRUE
"audits/part29/camera_sensitivity.R","camera_sensitivity.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,FALSE,TRUE
"audits/part29/camera_summaries.R","camera_summaries.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/canonical_gsea_contract_audit.R","canonical_gsea_contract_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,FALSE,TRUE
"audits/part29/coverage_audit_sections_16_17_18.R","coverage_audit_sections_16_17_18.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,FALSE,TRUE
"audits/part29/decisions_and_lineage.R","decisions_and_lineage.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/duplicate_gene_collapse_audit.R","duplicate_gene_collapse_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,FALSE,TRUE
"audits/part29/final_atlas_docs.R","final_atlas_docs.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/final_atlas_sanity.R","final_atlas_sanity.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/gsea_contract_audit.R","gsea_contract_audit.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,FALSE,TRUE
"audits/part29/m11_activate.R","m11_activate.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/registry_and_overlap.R","registry_and_overlap.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/registry_v3_build.R","registry_v3_build.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
"audits/part29/registry_v3_promote.R","registry_v3_promote.R","audits","AUDIT","ACTIVE_SUPPORT",FALSE,0,FALSE,1,0,FALSE,TRUE,TRUE
