"old_path","new_path","role","rename_class","reason","byte_identical","git_similarity_after_repointing","references_to_new_name","stale_references_to_old_name"
"analysis/01_preprocessing/02a_prepare_animal_level_protigy_input.r","analysis/01_preprocessing/build_animal_level_protigy_input.R","SUPPORT_SCRIPT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",2,0
"analysis/01_preprocessing/01_prepare_joint_protigy_input.r","analysis/01_preprocessing/build_joint_protigy_input.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",7,0
"analysis/01_preprocessing/06_merged_metadata_module_score.r","analysis/01_preprocessing/build_module_score_metadata.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",13,0
"analysis/01_preprocessing/03_gct_extractR.r","analysis/01_preprocessing/extract_protigy_contrasts.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",7,0
"analysis/01_preprocessing/01_MapThatProt_batch.r","analysis/01_preprocessing/map_protein_identifiers.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",6,0
"analysis/02_qc/00_dataset_qc_report.r","analysis/02_qc/assess_dataset_quality.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",5,0
"analysis/02_qc/00b_joint_compartment_qc.r","analysis/02_qc/assess_joint_compartment_quality.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",11,0
"analysis/02_qc/04_marker_rank_abundance_qc.r","analysis/02_qc/assess_marker_rank_abundance.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",7,0
"analysis/02_qc/05_pca_confounding_qc.r","analysis/02_qc/assess_pca_confounding.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",4,0
"analysis/02_qc/03_replicate_consistency.r","analysis/02_qc/assess_replicate_consistency.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",4,0
