"producing_analysis","current_path","artifact_type","canonical_or_intermediate","downstream_consumers","n_downstream_consumers","manuscript_consumer","size","tracked","frozen","frozen_beneath","is_directory","exists_on_disk","proposed_path","migration_strategy","path_changes"
"analysis/02_qc/build_reference_marker_registry.R","config/marker_panels/wgcna_reference_marker_sets.csv","config_table","AMBIGUOUS_WRITES_INTO_CONFIG","assess_marker_rank_abundance.R | summarize_marker_detectability.R | export_marker_traits.R | render_compartment_abundance_figures.R | annotate_neuropil_reference.R | test_microglia_targeted_signatures.R | annotate_module_microenvironment.R | summarize_module_complex_architecture.R | decompose_bilateral_variance.R | build_module_spatial_atlas.R | build_protein_spatial_atlas.R",11,FALSE,519607,TRUE,FALSE,0,FALSE,TRUE,"config/marker_panels/wgcna_reference_marker_sets.csv","RETAIN_GENERATED_CONFIG_CONTRACT",FALSE
"analysis/01_preprocessing/build_module_score_metadata.R","results/tables/01_preprocessing/06_merged_metadata_module_score/<dataset>/metadata_merge_qc_summary.csv","tables","CANONICAL_RESULT","",0,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/preprocessing/build_module_score_metadata/<dataset>/tables/metadata_merge_qc_summary.csv","REPOINT_WRITER_ONLY",TRUE
"analysis/01_preprocessing/map_protein_identifiers.R","results/tables/02_id_mapping/MapThatProt_batch/<dataset>/mapped/forward/summaries/*.csv","tables","CANONICAL_RESULT","",0,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/summaries/*.csv","REPOINT_WRITER_ONLY",TRUE
"analysis/02_qc/assess_dataset_quality.R","results/tables/03_qc_exploration/00_dataset_qc_report/<dataset>/dataset_qc_report.xlsx","tables","CANONICAL_RESULT","quantify_neuropil_precision.R | audit_ca2_slm_robustness.R",2,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/qc/assess_dataset_quality/<dataset>/tables/dataset_qc_report.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/assess_sample_quality.R","results/tables/03_qc_exploration/01_sample_qc_quicksearch/<dataset>/qc_summary_tables.xlsx","tables","CANONICAL_RESULT","quantify_neuropil_precision.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/qc/assess_sample_quality/<dataset>/tables/qc_summary_tables.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/summarize_missingness.R","results/tables/03_qc_exploration/02_missingness_diagnostics/<dataset>/missingness_diagnostics.xlsx","tables","CANONICAL_RESULT","quantify_neuropil_precision.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/qc/summarize_missingness/<dataset>/tables/missingness_diagnostics.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/assess_replicate_consistency.R","results/tables/03_qc_exploration/03_replicate_consistency/<dataset>/replicate_consistency.xlsx","tables","CANONICAL_RESULT","quantify_neuropil_precision.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/qc/assess_replicate_consistency/<dataset>/tables/replicate_consistency.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/assess_marker_rank_abundance.R","results/tables/03_qc_exploration/04_marker_rank_abundance_qc/<dataset>/","tables","CANONICAL_RESULT","summarize_qc_confounding.R | quantify_neuropil_precision.R",2,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/qc/assess_marker_rank_abundance/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/summarize_marker_detectability.R","results/tables/03_qc_exploration/04c_marker_detectability_and_wgcna_bridge/<dataset>/","tables","CANONICAL_RESULT","quantify_neuropil_precision.R",1,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/qc/summarize_marker_detectability/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/discover_empirical_roi_markers.R","results/tables/03_qc_exploration/05_empirical_roi_marker_discovery/empirical_roi_marker_sets.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | export_marker_traits.R | test_microglia_targeted_signatures.R | annotate_module_microenvironment.R | quantify_empirical_compartments.R | decompose_bilateral_variance.R | build_protein_spatial_atlas.R | quantify_neuropil_precision.R",8,FALSE,9237324,FALSE,FALSE,0,FALSE,TRUE,"results/qc/discover_empirical_roi_markers/global/tables/empirical_roi_marker_sets.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/assess_pca_confounding.R","results/tables/03_qc_exploration/05_pca_confounding_qc/<dataset>/","tables","CANONICAL_RESULT","summarize_qc_confounding.R | audit_module_robustness.R | quantify_neuropil_precision.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/qc/assess_pca_confounding/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
