"consumer_file","disposition","rationale","also_calls_resolver"
"analysis/integration/build_cross_compartment_atlas.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/test_enrichment_module_concordance.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/08_export_manuscript_figures.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/09_export_source_data.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_biological_claims_table.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_methods_summary.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_pride_manifest.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_sample_metadata.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_supplementary_tables.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/config/export_config.yml","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/export_processed_matrices.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/RUN_EXPORT.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/validate_pride_submission.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_validation/audit_stress_identity_robustness.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_validation/quantify_neuropil_detection_context.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/annotate_module_microenvironment.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/build_curated_overlap_programs.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/build_wgcna_modules.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/compare_module_enrichment_overlap.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/compare_recurrent_module_proteins.R","REPOINTED","Present in both inventories.",FALSE
"config/clusterProfiler_config.yml","REPOINTED","Present in both inventories.",FALSE
"config/compareGO_config.yml","REPOINTED","Present in both inventories.",FALSE
"config/output_layout.yml","REPOINTED","Present in both inventories.",FALSE
"pipeline.yml","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/publication_freeze_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/evidence_bundle_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_downstream_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_label_adjudication_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/export_helpers.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/renv_lock_audit.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-analysis-publication-boundary.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-clusterprofiler-master-hardening.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-consumer-enumeration.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-enrichment-writer-namespace.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-export-dry-run-hygiene.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-export-target-path-budget.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-output-layout-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-pipeline-registry.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-publication-freeze-manifest.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-export-copy.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-journal-scope.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-stage11-ranked-gsea-source-vocabulary.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-sus-res-biological-audit-workbook.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-sus-res-biological-summary-artifact.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-group-effect-consumer-utils.R","REPOINTED","Present in both inventories.",FALSE
"tools/audit_control_spatial_gsea_reproducibility.R","REPOINTED","Present in both inventories.",FALSE
"tools/export_publication_source_data.R","REPOINTED","Present in both inventories.",FALSE
"tools/generate_architecture_docs.R","REPOINTED","Present in both inventories.",FALSE
"tools/migrate_publication_export_bundle.R","REPOINTED","Present in both inventories.",FALSE
"tools/normalize_script_headers.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/annotate_neuropil_reference.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/audit_gsea_protein_direction.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/audit_stress_response_biology.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/build_go_program_atlas.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/build_sus_res_dap_atlas.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/compare_external_stress_signatures.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/compare_go_enrichment.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/run_clusterprofiler_enrichment.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/summarize_biological_programs.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/test_microglia_targeted_signatures.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/validate_control_spatial_identity.R","RESOLVER_DELEGATED","Still a consumer. It reads through a shared resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"R/enrichment/enrichment_io.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
