"analysis_id","old_path","new_path","lifecycle","owner","consumer_count","publication_consumer_count","provenance_consumer_count","rationale"
"run_clusterprofiler_enrichment","data/processed/04_differential_expression_enrichment/clusterProfiler/<dataset>/clusterProfiler_manifest.csv","results/differential_abundance/run_clusterprofiler_enrichment/<dataset>/models/clusterProfiler_manifest.csv","MODEL/PERSISTENT_OBJECT","analysis/differential_abundance/run_clusterprofiler_enrichment.R",41,4,18,"Persistent state read by downstream analyses in other domains through a central resolver; work/ is forbidden for anything a downstream contract names."
"audit_gsea_protein_direction","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/gsea_term_direction_audit.csv","results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_term_direction_audit.csv","TABLE","analysis/differential_abundance/audit_gsea_protein_direction.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"audit_gsea_protein_direction","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/gsea_contrast_direction_summary.csv","results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_contrast_direction_summary.csv","TABLE","analysis/differential_abundance/audit_gsea_protein_direction.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"audit_gsea_protein_direction","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/ora_pooled_direction_warning.csv","results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/ora_pooled_direction_warning.csv","TABLE","analysis/differential_abundance/audit_gsea_protein_direction.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"audit_gsea_protein_direction","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/input_status.csv","results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/input_status.csv","TABLE","analysis/differential_abundance/audit_gsea_protein_direction.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"audit_gsea_protein_direction","results/logs/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/run_manifest.yml","results/differential_abundance/audit_gsea_protein_direction/<dataset>/manifests/<ontology>/run_manifest.yml","MANIFEST","analysis/differential_abundance/audit_gsea_protein_direction.R",38,3,16,"Run manifest / provenance record, not a scientific table."
"compare_go_enrichment","data/processed/04_differential_expression_enrichment/compareGO/<dataset>/compareGO_input_manifest.csv","results/differential_abundance/compare_go_enrichment/<dataset>/models/compareGO_input_manifest.csv","MODEL/PERSISTENT_OBJECT","analysis/differential_abundance/compare_go_enrichment.R",38,3,16,"Persistent state read by downstream analyses in other domains through a central resolver; work/ is forbidden for anything a downstream contract names."
"compare_go_enrichment","results/tables/04_differential_expression_enrichment/compareGO/<dataset>/","results/differential_abundance/compare_go_enrichment/<dataset>/tables","TABLE","analysis/differential_abundance/compare_go_enrichment.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"annotate_neuropil_reference","results/tables/04_differential_expression_enrichment/neuropil_reference_annotation/<dataset>/","results/differential_abundance/annotate_neuropil_reference/<dataset>/tables","TABLE","analysis/differential_abundance/annotate_neuropil_reference.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"test_microglia_targeted_signatures","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/","results/differential_abundance/test_microglia_targeted_signatures/microglia/tables","TABLE","analysis/differential_abundance/test_microglia_targeted_signatures.R",38,3,17,"Machine-readable result table with downstream or publication readers."
"summarize_biological_programs","results/tables/04_differential_expression_enrichment/biological_program_summary/<dataset>/program_summary.csv","results/differential_abundance/summarize_biological_programs/<dataset>/tables/program_summary.csv","TABLE","analysis/differential_abundance/summarize_biological_programs.R",38,3,16,"Machine-readable result table with downstream or publication readers."
"build_go_program_atlas","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/spatial_program_summary.csv","results/differential_abundance/build_go_program_atlas/global/tables/spatial_program_summary.csv","TABLE","analysis/differential_abundance/build_go_program_atlas.R",59,11,21,"Machine-readable result table with downstream or publication readers."
"build_go_program_atlas","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/compareGO_spatial_program_atlas_tables.xlsx","results/differential_abundance/build_go_program_atlas/global/tables/compareGO_spatial_program_atlas_tables.xlsx","TABLE","analysis/differential_abundance/build_go_program_atlas.R",59,11,21,"Machine-readable result table with downstream or publication readers."
"build_go_program_atlas","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/sus_res_manuscript_theme_summary.csv","results/differential_abundance/build_go_program_atlas/global/tables/sus_res_manuscript_theme_summary.csv","TABLE","analysis/differential_abundance/build_go_program_atlas.R",59,11,21,"Machine-readable result table with downstream or publication readers."
"build_go_program_atlas","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/spatial_atlas_enrichment_long.csv","results/differential_abundance/build_go_program_atlas/global/tables/source_data/spatial_atlas_enrichment_long.csv","TABLE","analysis/differential_abundance/build_go_program_atlas.R",59,11,21,"Publication source data for a figure panel; stays a table under tables/source_data so the export layer can find it."
"build_go_program_atlas","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/sus_res_supported_go_term_theme_audit.csv","results/differential_abundance/build_go_program_atlas/global/tables/source_data/sus_res_supported_go_term_theme_audit.csv","TABLE","analysis/differential_abundance/build_go_program_atlas.R",59,11,21,"Publication source data for a figure panel; stays a table under tables/source_data so the export layer can find it."
"build_go_program_atlas","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_SpatialProgramAtlas_SUS_vs_RES_publication.csv","results/differential_abundance/build_go_program_atlas/global/tables/source_data/source_data_SpatialProgramAtlas_SUS_vs_RES_publication.csv","TABLE","analysis/differential_abundance/build_go_program_atlas.R",59,11,21,"Publication source data for a figure panel; stays a table under tables/source_data so the export layer can find it."
"compare_external_stress_signatures","results/tables/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/external_stress_disease_signature_overlap.csv","results/differential_abundance/compare_external_stress_signatures/global/tables/external_stress_disease_signature_overlap.csv","TABLE","analysis/differential_abundance/compare_external_stress_signatures.R",59,11,21,"Machine-readable result table with downstream or publication readers."
"compare_external_stress_signatures","results/source_data/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/external_stress_disease_signature_overlap.csv","results/differential_abundance/compare_external_stress_signatures/global/tables/source_data/external_stress_disease_signature_overlap.csv","TABLE","analysis/differential_abundance/compare_external_stress_signatures.R",59,11,21,"Publication source data for a figure panel; stays a table under tables/source_data so the export layer can find it."
"compare_external_stress_signatures","results/logs/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/run_manifest.yml","results/differential_abundance/compare_external_stress_signatures/global/manifests/run_manifest.yml","MANIFEST","analysis/differential_abundance/compare_external_stress_signatures.R",59,11,21,"Run manifest / provenance record, not a scientific table."
"validate_control_spatial_identity","results/tables/04_differential_expression_enrichment/control_spatial_identity_validation/global/","results/differential_abundance/validate_control_spatial_identity/global/tables","TABLE","analysis/differential_abundance/validate_control_spatial_identity.R",59,11,23,"Machine-readable result table with downstream or publication readers."
"validate_control_spatial_identity","results/source_data/04_differential_expression_enrichment/control_spatial_identity_validation/global/","results/differential_abundance/validate_control_spatial_identity/global/tables/source_data","TABLE","analysis/differential_abundance/validate_control_spatial_identity.R",59,11,23,"Machine-readable result table with downstream or publication readers."
"validate_control_spatial_identity","results/figures/04_differential_expression_enrichment/control_spatial_identity_validation/global/","results/differential_abundance/validate_control_spatial_identity/global/plots","PLOT","analysis/differential_abundance/validate_control_spatial_identity.R",59,11,23,"Scientific diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"validate_control_spatial_identity","results/logs/04_differential_expression_enrichment/control_spatial_identity_validation/global/run_manifest.yml","results/differential_abundance/validate_control_spatial_identity/global/manifests/run_manifest.yml","MANIFEST","analysis/differential_abundance/validate_control_spatial_identity.R",59,11,23,"Run manifest / provenance record, not a scientific table."
"build_sus_res_dap_atlas","results/tables/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/sus_res_manuscript_theme_summary.csv","results/differential_abundance/build_sus_res_dap_atlas/global/tables/sus_res_manuscript_theme_summary.csv","TABLE","analysis/differential_abundance/build_sus_res_dap_atlas.R",59,11,22,"Machine-readable result table with downstream or publication readers."
"build_sus_res_dap_atlas","results/tables/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/","results/differential_abundance/build_sus_res_dap_atlas/global/tables","TABLE","analysis/differential_abundance/build_sus_res_dap_atlas.R",59,11,22,"Machine-readable result table with downstream or publication readers."
"build_sus_res_dap_atlas","results/source_data/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/","results/differential_abundance/build_sus_res_dap_atlas/global/tables/source_data","TABLE","analysis/differential_abundance/build_sus_res_dap_atlas.R",59,11,22,"Machine-readable result table with downstream or publication readers."
"build_sus_res_dap_atlas","results/figures/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/","results/differential_abundance/build_sus_res_dap_atlas/global/plots","PLOT","analysis/differential_abundance/build_sus_res_dap_atlas.R",59,11,22,"Scientific diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"build_sus_res_dap_atlas","results/reports/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/sus_res_biological_audit.xlsx","results/differential_abundance/build_sus_res_dap_atlas/global/reports/sus_res_biological_audit.xlsx","REPORT","analysis/differential_abundance/build_sus_res_dap_atlas.R",59,11,22,"Human-readable audit workbook; no downstream scientific reader."
"build_sus_res_dap_atlas","results/logs/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/run_manifest.yml","results/differential_abundance/build_sus_res_dap_atlas/global/manifests/run_manifest.yml","MANIFEST","analysis/differential_abundance/build_sus_res_dap_atlas.R",59,11,22,"Run manifest / provenance record, not a scientific table."
"audit_stress_response_biology","results/tables/04_differential_expression_enrichment/stress_response_biological_audit/global/","results/differential_abundance/audit_stress_response_biology/global/tables","TABLE","analysis/differential_abundance/audit_stress_response_biology.R",59,11,22,"Machine-readable result table with downstream or publication readers."
"audit_stress_response_biology","results/source_data/04_differential_expression_enrichment/stress_response_biological_audit/global/","results/differential_abundance/audit_stress_response_biology/global/tables/source_data","TABLE","analysis/differential_abundance/audit_stress_response_biology.R",59,11,22,"Machine-readable result table with downstream or publication readers."
"audit_stress_response_biology","results/figures/04_differential_expression_enrichment/stress_response_biological_audit/global/","results/differential_abundance/audit_stress_response_biology/global/plots","PLOT","analysis/differential_abundance/audit_stress_response_biology.R",59,11,22,"Scientific diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"audit_stress_response_biology","results/reports/04_differential_expression_enrichment/stress_response_biological_audit/global/","results/differential_abundance/audit_stress_response_biology/global/reports","REPORT","analysis/differential_abundance/audit_stress_response_biology.R",59,11,22,"Human-readable audit workbook; no downstream scientific reader."
"audit_stress_response_biology","results/logs/04_differential_expression_enrichment/stress_response_biological_audit/global/run_manifest.yml","results/differential_abundance/audit_stress_response_biology/global/manifests/run_manifest.yml","MANIFEST","analysis/differential_abundance/audit_stress_response_biology.R",59,11,22,"Run manifest / provenance record, not a scientific table."
