"item","kind","current_path","proposed_path","evidence","note"
"analysis/enrichment/run_ewce_celltype_enrichment.R","CANONICAL_ENTRYPOINT","analysis/enrichment/run_ewce_celltype_enrichment.R","analysis/enrichment/run_ewce_celltype_enrichment.R","pipeline.yml stage enrichment; results_ownership canonical_owner","sole script in the domain; 2014 lines; one output-root construction at line 92"
"CANONICAL_PATHS$tables","WRITE_ROOT","results/tables/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>","results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables","line 157 dirs$tables; 3 writes","EWCE_input_signatures.xlsx, Supplementary_Table_EWCE.xlsx, High_Confidence_EWCE_Findings.xlsx"
"CANONICAL_PATHS$figures","WRITE_ROOT","results/figures/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>","results/enrichment/run_ewce_celltype_enrichment/<dataset>/plots","lines 155-156 dirs$plots, dirs$svgs; 10 writes","plots/ not figures/: figures/ is the manuscript repository's word"
"CANONICAL_PATHS$figures/SVG_Editable","WRITE_ROOT","results/figures/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>/SVG_Editable","results/enrichment/run_ewce_celltype_enrichment/<dataset>/plots/SVG_Editable","line 156","segment after the child is preserved"
"CANONICAL_PATHS$logs","WRITE_ROOT","results/logs/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>","results/enrichment/run_ewce_celltype_enrichment/<dataset>/manifests","line 158 dirs$qc; 12 writes","run logs and QC counters are provenance"
"CANONICAL_PATHS$source_data","WRITE_ROOT","results/source_data/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>","results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables/source_data","line 160 dirs$source; 1 write","Source_Data_EWCE_Figures.xlsx; plot-source tables, not a publication bundle"
"CANONICAL_PATHS$reports","WRITE_ROOT","results/reports/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>","results/enrichment/run_ewce_celltype_enrichment/<dataset>/reports","line 153 base_results","reported to the console at completion"
"CANONICAL_PATHS$processed","WRITE_ROOT","data/processed/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>","results/enrichment/run_ewce_celltype_enrichment/<dataset>/models","line 159 dirs$data; 1 write","EWCE_results_full.rds is read downstream, so it is a result and not a work intermediate"
"CANONICAL_PATHS$processed/cache","WRITE_ROOT","data/processed/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>/cache","work/enrichment/run_ewce_celltype_enrichment/<dataset>/cache","line 161 dirs$cache; 2 writes","per-run memoisation, nothing cites it: a work intermediate"
"pipeline.yml produces","REGISTRY_DECLARATION","results/tables/05_celltype_enrichment_EWCE/EWCE_E9/","results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables/","pipeline.yml stage enrichment","must move in the same commit as the code"
"config/results_ownership.csv","OWNERSHIP_DECLARATION","results/tables/05_celltype_enrichment_EWCE/EWCE_E9","results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables","SINGLE_OWNER, sole producer","regenerated from pipeline.yml"
"analysis/differential_abundance/test_microglia_targeted_signatures.R","CODE_CONSUMER_OPTIONAL","data/processed/05_celltype_enrichment_EWCE/EWCE_E9/<dataset>/EWCE_results_full.rds","results/enrichment/run_ewce_celltype_enrichment/<dataset>/models/EWCE_results_full.rds","lines 645-647, three candidate paths","diagnostic only and optional; normalized path added as a candidate, historical ones kept"
"analysis/publication_source_data/config/export_config.yml","EXPORT_CONSUMER","results/tables/05_celltype_enrichment_EWCE/EWCE_E9/*/{Supplementary_Table_EWCE,High_Confidence_EWCE_Findings}.xlsx","results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables/{...}.xlsx","supplementary_table_globs lines 92-93","normalized globs added; historical globs kept so today's supplementary export still resolves"
"R/utilities/export_helpers.R::canonical_ewce_figure_root","EXPORT_CONSUMER","results/figures/05_celltype_enrichment_EWCE/EWCE_E9","c(results/enrichment/run_ewce_celltype_enrichment/<dataset>/plots, historical root)","line 630; called by the freeze-protected 08_export_manuscript_figures.R:36","returns a vector so the protected script needs no edit; c() at the call site absorbs it"
"R/utilities/export_helpers.R::is_noncanonical_ewce_export_path","EXPORT_GUARD","/05_celltype_enrichment_EWCE/EWCE_E9_comparison/","also /run_ewce_celltype_enrichment/comparison/","line 108","the comparison branch must stay unexportable in both namespaces"
"tests/testthat/test-export-canonical-ewce-contract.R","TEST","asserts the historical canonical/comparison namespace split","asserts it in both namespaces","8 path references; not a frozen baseline object","must keep proving the comparison branch is never exported"
"tests/testthat/test-export-dry-run-hygiene.R","TEST","asserts the figure script calls canonical_ewce_figure_root()","unchanged","line 187","indirection is what keeps the protected script untouched"
"tests/testthat/test-export-target-path-budget.R","TEST","asserts the figure script calls canonical_ewce_figure_root()","unchanged","line 236","same"
"historical enrichment outputs","LEGACY_READ_ONLY","results/{tables,figures,logs,source_data,reports}/05_celltype_enrichment_EWCE/** and data/processed/05_celltype_enrichment_EWCE/**","unchanged","config/legacy_output_registry.csv after this migration","not renamed, moved, deleted or regenerated; reads stay permitted"
