"key","value"
"manifest_path","results/manuscript/figure_export_manifest.csv"
"old_manifest_sha256","3c278296b18cf3d93839251225d535c08ae0b04b7c9cda994f3b766700248a13"
"new_manifest_sha256","1bf4fe2e16f57ccc3bd684a048e367bae9cdc5c2c92f8d643ad5fcaa1d7b22e9"
"old_manifest_rows","5251"
"new_manifest_rows","5244"
"contaminated_scope","microglia_failed_20260720_133211"
"rows_removed","50"
"rows_removed_unexpected","0"
"canonical_rows_retained","5201"
"rows_added","43"
"rows_added_with_noncanonical_scope","0"
"retained_canonical_compared","5201"
"retained_canonical_hash_changes","4"
"retained_hash_changes_explained_by_source_update","4"
"failed_run_rows_after","0"
"failed_run_destination_files_after","0"
"failed_run_source_figures_retained_on_disk","50"
"exports_files","55"
"exports_byte_changes","0"
"wgcna_frozen_state_hashes_changed","0"
"deletion_domain","results/manuscript/extended_data only; target paths recorded by the previous manifest"
"regenerated_by","analysis/publication_source_data/08_export_manuscript_figures.R (not hand-edited)"
"reason","Excluded FAILED_RUN_PROVENANCE scope from manuscript figure selection. 50 figures from the failed WGCNA run were selected because the recursive figure scan never validated the dataset-scope segment. Publication-selection correction only; no WGCNA analysis rerun, no historical source figure modified."
