"consumer_file","disposition","rationale","also_calls_resolver"
"config/output_layout.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"pipeline.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"tests/testthat/test-integration-writer-namespace.R","NEW_RESOLVED","A test added or repointed by this migration.",TRUE
"analysis/publication_source_data/08_export_manuscript_figures.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/09_export_source_data.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_biological_claims_table.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_methods_summary.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_pride_manifest.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_sample_metadata.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_supplementary_tables.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/export_processed_matrices.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/RUN_EXPORT.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/validate_pride_submission.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_validation/build_protein_spatial_atlas.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_validation/quantify_neuropil_detection_context.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_validation/summarize_ca2_slm_robustness.R","REPOINTED","Present in both inventories.",FALSE
"audits/integration/07_gsea_wgcna_concordance_correction_audit.R","REPOINTED","Present in both inventories.",FALSE
"audits/spatial/spatial_v6_baseline_profile.R","REPOINTED","Present in both inventories.",FALSE
"audits/wgcna/proteomics_wgcna_downstream_audit.R","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/module_contracts.R","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/publication_freeze_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/evidence_bundle_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_identity_contract_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_label_adjudication_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/export_helpers.R","REPOINTED","Present in both inventories.",FALSE
"tests/smoke_test_active_script_contracts.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-analysis-publication-boundary.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-animal-id-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-consumer-enumeration.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-enrichment-writer-namespace.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-export-dry-run-hygiene.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-export-target-path-budget.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-immunostaining-candidate-comparison.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-output-layout-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-output-namespace-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-pipeline-registry.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-program-evidence-audit.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-publication-freeze-manifest.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-qc-writer-namespace.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-export-copy.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-journal-scope.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-candidate-protein-shortlist.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-circular-atlas-tier-specific-fdr.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-group-effect-consumer-utils.R","REPOINTED","Present in both inventories.",FALSE
