"analysis_id","old_path","normalized_path","lifecycle","canonical_owner","consumer_count","scientific_consumer_count","publication_consumer_count","provenance_consumer_count","rationale"
"test_behaviour_proteomics_associations","results/figures/08_behavior_physio_coupling/correlate_proteomics_with_behavior/Figure3_AUC_vs_Proteomics.svg","results/integration/test_behaviour_proteomics_associations/global/plots/Figure3_AUC_vs_Proteomics.svg","PLOT","analysis/integration/test_behaviour_proteomics_associations.R",10,5,2,8,"integration diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"test_behaviour_proteomics_associations","results/figures/08_behavior_physio_coupling/correlate_proteomics_with_behavior/SourceData_Figure3_Correlation.csv","results/integration/test_behaviour_proteomics_associations/global/plots/SourceData_Figure3_Correlation.csv","PLOT","analysis/integration/test_behaviour_proteomics_associations.R",10,5,2,8,"integration diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"test_behaviour_proteomics_associations","results/tables/08_behavior_physio_coupling/correlate_proteomics_with_behavior/join_diagnostics_summary.csv","results/integration/test_behaviour_proteomics_associations/global/tables/join_diagnostics_summary.csv","TABLE","analysis/integration/test_behaviour_proteomics_associations.R",10,5,2,8,"Machine-readable integration table with downstream scientific or publication readers."
"test_network_behaviour_coupling","results/tables/08_behavior_physio_coupling/network_behavior_coupling/","results/integration/test_network_behaviour_coupling/global/tables","TABLE","analysis/integration/test_network_behaviour_coupling.R",10,5,2,11,"Machine-readable integration table with downstream scientific or publication readers."
"test_network_behaviour_coupling","results/figures/08_behavior_physio_coupling/network_behavior_coupling/","results/integration/test_network_behaviour_coupling/global/plots","PLOT","analysis/integration/test_network_behaviour_coupling.R",10,5,2,11,"integration diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"test_module_behaviour_coupling","results/tables/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/module_behavior_coupling.csv","results/integration/test_module_behaviour_coupling/<dataset>/tables/module_behavior_coupling.csv","TABLE","analysis/integration/test_module_behaviour_coupling.R",38,5,10,15,"Machine-readable integration table with downstream scientific or publication readers."
"test_module_behaviour_coupling","results/source_data/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/module_behavior_coupling.csv","results/integration/test_module_behaviour_coupling/<dataset>/tables/source_data/module_behavior_coupling.csv","TABLE","analysis/integration/test_module_behaviour_coupling.R",38,5,10,15,"Machine-readable integration table with downstream scientific or publication readers."
"test_module_behaviour_coupling","results/logs/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/run_manifest.yml","results/integration/test_module_behaviour_coupling/<dataset>/manifests/run_manifest.yml","MANIFEST","analysis/integration/test_module_behaviour_coupling.R",38,5,10,15,"Run manifest / provenance record, not a scientific table."
"audit_animal_id_integrity","results/tables/08_behavior_physio_coupling/animal_id_integrity/animal_id_normalization_consumer_audit.csv","results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_consumer_audit.csv","TABLE","analysis/integration/audit_animal_id_integrity.R",10,5,2,11,"Machine-readable integration table with downstream scientific or publication readers."
"audit_animal_id_integrity","results/tables/08_behavior_physio_coupling/animal_id_integrity/animal_id_normalization_blast_radius.csv","results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_blast_radius.csv","TABLE","analysis/integration/audit_animal_id_integrity.R",10,5,2,11,"Machine-readable integration table with downstream scientific or publication readers."
