"artifact","exists_on_disk","n_refs","producers","downstream_scientific","publication","provenance","tests","other","referencing","lifecycle","reason"
"CON_vs_RES_stable_differential.graphml",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_RES_stable_differential_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_RES_stable_differential_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_SUS_stable_differential.graphml",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_SUS_stable_differential_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_SUS_stable_differential_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"RES_vs_SUS_stable_differential.graphml",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"RES_vs_SUS_stable_differential_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"RES_vs_SUS_stable_differential_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"consensus_network.graphml",TRUE,1,1,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"consensus_network_edges.csv",TRUE,1,1,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"consensus_network_nodes.csv",TRUE,1,1,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_RES.graphml",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_RES_cytoscape_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_RES_cytoscape_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_SUS.graphml",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_SUS_cytoscape_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"CON_vs_SUS_cytoscape_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"RES_vs_SUS.graphml",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"RES_vs_SUS_cytoscape_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"RES_vs_SUS_cytoscape_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"group_CON_spearman_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"group_CON_spearman_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"group_RES_spearman_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"group_RES_spearman_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"group_SUS_spearman_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"group_SUS_spearman_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"overall_spearman_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"overall_spearman_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"overall_top_protein_jaccard_edges.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"overall_top_protein_jaccard_nodes.csv",TRUE,0,0,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"_nodes.csv",FALSE,11,5,1,0,3,0,2,"analysis/spatial_validation/build_animal_spatial_networks.R | audits/phase6f_output_inventory.csv | audits/phase6g_writer_namespace_audit.csv | config/results_ownership.csv","results","cited outside its producer, so it is not disposable"
"_edges.csv",FALSE,18,5,4,0,6,1,2,"analysis/spatial_networks/render_differential_network_figures.R | analysis/spatial_validation/build_animal_spatial_networks.R | analysis/spatial_validation/test_network_group_organization.R | analysis/spatial_validation/validate_network_workbook.R","results","cited outside its producer, so it is not disposable"
".graphml",FALSE,4,4,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"_cytoscape_nodes.csv",FALSE,1,1,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
"_cytoscape_edges.csv",FALSE,1,1,0,0,0,0,0,"","work","regenerable; no scientific, publication or provenance consumer"
