"domain","analysis_id","entrypoint","n_declared_outputs","current_output_roots","historical_output_roots","proposed_output_roots","frozen_objects_beneath","runtime_consumer_files","unknown_dependency_kinds","consumer_kinds","canonical_owner_of_a_family","multi_writer_families"
"integration","test_behaviour_proteomics_associations","analysis/integration/test_behaviour_proteomics_associations.R",3,"results/integration/test_behaviour_proteomics_associations/global/plots | results/integration/test_behaviour_proteomics_associations/global/tables","results/tables/08_behavior_physio_coupling/correlate_proteomics_with_behavior/join_diagnostics_summary.csv | results/figures/08_behavior_physio_coupling/correlate_proteomics_with_behavior/Figure3_AUC_vs_Proteomics.svg | results/figures/08_behavior_physio_coupling/correlate_proteomics_with_behavior/SourceData_Figure3_Correlation.csv","results/integration/test_behaviour_proteomics_associations/<dataset>/tables/join_diagnostics_summary.csv | results/integration/test_behaviour_proteomics_associations/<dataset>/plots/Figure3_AUC_vs_Proteomics.svg | results/integration/test_behaviour_proteomics_associations/<dataset>/plots/SourceData_Figure3_Correlation.csv",0,11,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","test_network_behaviour_coupling","analysis/integration/test_network_behaviour_coupling.R",2,"results/integration/test_network_behaviour_coupling/global","results/figures/08_behavior_physio_coupling/network_behavior_coupling/ | results/tables/08_behavior_physio_coupling/network_behavior_coupling/","results/integration/test_network_behaviour_coupling/<dataset>/plots/ | results/integration/test_network_behaviour_coupling/<dataset>/tables/",1,11,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","test_module_behaviour_coupling","analysis/integration/test_module_behaviour_coupling.R",3,"results/integration/test_module_behaviour_coupling/<dataset>/tables | results/integration/test_module_behaviour_coupling/<dataset>/tables/source_data | results/integration/test_module_behaviour_coupling/<dataset>/manifests","results/tables/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/module_behavior_coupling.csv | results/logs/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/run_manifest.yml | results/source_data/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/module_behavior_coupling.csv","results/integration/test_module_behaviour_coupling/<dataset>/tables/module_behavior_coupling.csv | results/integration/test_module_behaviour_coupling/<dataset>/manifests/run_manifest.yml | exports/publication_source_data/08_behavior_physio_coupling/module_behavior_coupling/<dataset>/module_behavior_coupling.csv",0,39,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","audit_animal_id_integrity","analysis/integration/audit_animal_id_integrity.R",3,"results/integration/audit_animal_id_integrity/global/tables","results/tables/08_behavior_physio_coupling/animal_id_integrity/animal_id_normalization_blast_radius.csv | results/tables/08_behavior_physio_coupling/animal_id_integrity/animal_id_normalization_consumer_audit.csv | results/tables/08_behavior_physio_coupling/animal_id_integrity/animal_id_resolution_report.csv","results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_blast_radius.csv | results/integration/audit_animal_id_integrity/global/tables/animal_id_normalization_consumer_audit.csv | results/integration/audit_animal_id_integrity/global/tables/animal_id_resolution_report.csv",0,11,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","build_cross_compartment_atlas","analysis/integration/build_cross_compartment_atlas.R",7,"results/integration/build_cross_compartment_atlas/global/tables | results/integration/build_cross_compartment_atlas/global/tables/source_data | results/integration/build_cross_compartment_atlas/global/reports","results/tables/10_biological_integration/cross_compartment_program_atlas/global/cross_compartment_program_atlas.csv | results/tables/10_biological_integration/cross_compartment_program_atlas/global/cross_compartment_program_atlas_long.csv | results/reports/10_biological_integration/cross_compartment_program_atlas/global/input_status.csv","results/integration/build_cross_compartment_atlas/global/tables/cross_compartment_program_atlas.csv | results/integration/build_cross_compartment_atlas/global/tables/cross_compartment_program_atlas_long.csv | results/integration/build_cross_compartment_atlas/global/reports/input_status.csv",0,55,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","summarize_programs_for_manuscript","analysis/integration/summarize_programs_for_manuscript.R",3,"results/integration/summarize_programs_for_manuscript/global/tables | results/integration/summarize_programs_for_manuscript/global/tables/source_data | results/integration/summarize_programs_for_manuscript/global/manifests","results/tables/10_biological_integration/manuscript_program_summary/global/manuscript_program_summary.csv | results/logs/10_biological_integration/manuscript_program_summary/global/run_manifest.yml | results/source_data/10_biological_integration/manuscript_program_summary/global/manuscript_program_summary.csv","results/integration/summarize_programs_for_manuscript/global/tables/manuscript_program_summary.csv | results/integration/summarize_programs_for_manuscript/global/manifests/run_manifest.yml | exports/publication_source_data/10_biological_integration/manuscript_program_summary/global/manuscript_program_summary.csv",0,54,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","build_evidence_priority_matrix","analysis/integration/build_evidence_priority_matrix.R",7,"results/integration/build_evidence_priority_matrix/global/tables | results/integration/build_evidence_priority_matrix/global/tables/source_data | results/integration/build_evidence_priority_matrix/global","results/tables/10_biological_integration/evidence_priority_matrix/global/evidence_priority_matrix.csv | results/tables/10_biological_integration/final_evidence_bundle/global/ | results/tables/10_biological_integration/final_evidence_bundle/global/final_biological_evidence_bundle.xlsx","results/integration/build_evidence_priority_matrix/global/tables/evidence_priority_matrix.csv | results/integration/build_evidence_priority_matrix/global/tables/ | results/integration/build_evidence_priority_matrix/global/tables/final_biological_evidence_bundle.xlsx",0,54,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","test_enrichment_module_concordance","analysis/integration/test_enrichment_module_concordance.R",10,"results/integration/test_enrichment_module_concordance/global/tables | results/integration/test_enrichment_module_concordance/global/reports | results/integration/test_enrichment_module_concordance/global/manifests","results/tables/10_biological_integration/gsea_wgcna_concordance/global/adaptive_resilience_pattern_summary.csv | results/tables/10_biological_integration/gsea_wgcna_concordance/global/gsea_wgcna_concordance_audit.csv | results/tables/10_biological_integration/gsea_wgcna_concordance/global/gsea_wgcna_concordance_long.csv","results/integration/test_enrichment_module_concordance/global/tables/adaptive_resilience_pattern_summary.csv | results/integration/test_enrichment_module_concordance/global/tables/gsea_wgcna_concordance_audit.csv | results/integration/test_enrichment_module_concordance/global/tables/gsea_wgcna_concordance_long.csv",1,55,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","summarize_enrichment_module_concordance","analysis/integration/summarize_enrichment_module_concordance.R",4,"results/integration/summarize_enrichment_module_concordance/global | results/integration/summarize_enrichment_module_concordance/global/tables | results/integration/summarize_enrichment_module_concordance/global/reports","results/tables/10_biological_integration/gsea_wgcna_concordance_diagnostics/global/ | results/reports/10_biological_integration/gsea_wgcna_concordance_diagnostics/global/README.md | results/logs/10_biological_integration/gsea_wgcna_concordance_diagnostics/global/run_manifest.yml","results/integration/summarize_enrichment_module_concordance/global/tables/ | results/integration/summarize_enrichment_module_concordance/global/reports/README.md | results/integration/summarize_enrichment_module_concordance/global/manifests/run_manifest.yml",0,53,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","build_candidate_protein_shortlist","analysis/integration/build_candidate_protein_shortlist.R",8,"results/integration/build_candidate_protein_shortlist/<dataset>/tables | results/integration/build_candidate_protein_shortlist/<dataset>/reports | results/integration/build_candidate_protein_shortlist/<dataset>/manifests","results/tables/10_biological_integration/wgcna_candidate_protein_shortlist/<dataset>/wgcna_candidate_proteins_all.csv | results/tables/10_biological_integration/wgcna_candidate_protein_shortlist/<dataset>/wgcna_candidate_proteins_long.csv | results/tables/10_biological_integration/wgcna_candidate_protein_shortlist/<dataset>/wgcna_candidate_proteins_shortlist.csv","results/integration/build_candidate_protein_shortlist/<dataset>/tables/wgcna_candidate_proteins_all.csv | results/integration/build_candidate_protein_shortlist/<dataset>/tables/wgcna_candidate_proteins_long.csv | results/integration/build_candidate_protein_shortlist/<dataset>/tables/wgcna_candidate_proteins_shortlist.csv",0,53,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"integration","quantify_candidate_network_position","analysis/integration/quantify_candidate_network_position.R",7,"results/integration/quantify_candidate_network_position/<dataset>/tables | results/integration/quantify_candidate_network_position/<dataset> | results/integration/quantify_candidate_network_position/<dataset>/reports","results/tables/10_biological_integration/wgcna_sus_res_network_position/<dataset>/wgcna_sus_res_network_position_module_summary.csv | results/tables/10_biological_integration/wgcna_sus_res_network_position/<dataset>/wgcna_sus_res_network_position_permutation_summary.csv | results/tables/10_biological_integration/wgcna_sus_res_network_position/<dataset>/wgcna_sus_res_network_position_protein_level.csv","results/integration/quantify_candidate_network_position/<dataset>/tables/wgcna_sus_res_network_position_module_summary.csv | results/integration/quantify_candidate_network_position/<dataset>/tables/wgcna_sus_res_network_position_permutation_summary.csv | results/integration/quantify_candidate_network_position/<dataset>/tables/wgcna_sus_res_network_position_protein_level.csv",0,55,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
