"domain","analysis_id","entrypoint","n_declared_outputs","current_output_roots","historical_output_roots","proposed_output_roots","frozen_objects_beneath","runtime_consumer_files","unknown_dependency_kinds","consumer_kinds","canonical_owner_of_a_family","multi_writer_families"
"qc","assess_joint_compartment_quality","analysis/qc/assess_joint_compartment_quality.R",4,"results/qc/assess_joint_compartment_quality/global | results/qc/assess_joint_compartment_quality/global/reports | results/qc/assess_joint_compartment_quality/global/manifests","results/figures/03_qc_exploration/00b_joint_compartment_qc/global/ | results/reports/03_qc_exploration/00b_joint_compartment_qc/global/joint_compartment_qc_summary.md | results/logs/03_qc_exploration/00b_joint_compartment_qc/global/run_manifest.yml","results/qc/assess_joint_compartment_quality/global/plots/ | results/qc/assess_joint_compartment_quality/global/reports/joint_compartment_qc_summary.md | results/qc/assess_joint_compartment_quality/global/manifests/run_manifest.yml",2,10,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","render_joint_compartment_qc_figures","analysis/qc/render_joint_compartment_qc_figures.R",5,"results/qc/render_joint_compartment_qc_figures/global/plots/publication_style | results/qc/render_joint_compartment_qc_figures/global/reports | results/qc/render_joint_compartment_qc_figures/global/manifests","results/figures/03_qc_exploration/00b_joint_compartment_qc/publication_style/global/joint_compartment_qc_extended_data_figure_183mm.svg | results/figures/03_qc_exploration/00b_joint_compartment_qc/publication_style/global/joint_compartment_qc_main_figure_183mm.svg | results/figures/03_qc_exploration/00b_joint_compartment_qc/publication_style/global/panels/","results/qc/render_joint_compartment_qc_figures/global/plots/joint_compartment_qc_extended_data_figure_183mm.svg | results/qc/render_joint_compartment_qc_figures/global/plots/joint_compartment_qc_main_figure_183mm.svg | results/qc/render_joint_compartment_qc_figures/global/plots/panels",0,9,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","build_reference_marker_registry","analysis/qc/build_reference_marker_registry.R",2,"config/marker_panels | results/qc/build_reference_marker_registry/global","config/marker_panels/wgcna_reference_marker_sets.csv | results/tables/03_qc_exploration/reference_marker_import/","config/marker_panels/wgcna_reference_marker_sets.csv | results/qc/build_reference_marker_registry/global/tables/",0,75,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","discover_empirical_roi_markers","analysis/qc/discover_empirical_roi_markers.R",1,"results/qc/discover_empirical_roi_markers/global/tables","results/tables/03_qc_exploration/05_empirical_roi_marker_discovery/empirical_roi_marker_sets.csv","results/qc/discover_empirical_roi_markers/global/tables/empirical_roi_marker_sets.csv",0,18,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","assess_dataset_quality","analysis/qc/assess_dataset_quality.R",2,"results/qc/assess_dataset_quality/<dataset>/tables | results/qc/assess_dataset_quality/<dataset>/reports","results/tables/03_qc_exploration/00_dataset_qc_report/<dataset>/dataset_qc_report.xlsx | results/reports/03_qc_exploration/00_dataset_qc_report/<dataset>/dataset_qc_summary.md","results/qc/assess_dataset_quality/<dataset>/tables/dataset_qc_report.xlsx | results/qc/assess_dataset_quality/<dataset>/reports/dataset_qc_summary.md",0,11,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","assess_sample_quality","analysis/qc/assess_sample_quality.R",2,"results/qc/assess_sample_quality/<dataset> | results/qc/assess_sample_quality/<dataset>/tables","results/tables/03_qc_exploration/01_sample_qc_quicksearch/<dataset>/qc_summary_tables.xlsx | results/figures/03_qc_exploration/01_sample_qc_quicksearch/<dataset>/","results/qc/assess_sample_quality/<dataset>/tables/qc_summary_tables.xlsx | results/qc/assess_sample_quality/<dataset>/plots/",0,9,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","summarize_missingness","analysis/qc/summarize_missingness.R",1,"results/qc/summarize_missingness/<dataset>/tables","results/tables/03_qc_exploration/02_missingness_diagnostics/<dataset>/missingness_diagnostics.xlsx","results/qc/summarize_missingness/<dataset>/tables/missingness_diagnostics.xlsx",0,9,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","assess_replicate_consistency","analysis/qc/assess_replicate_consistency.R",1,"results/qc/assess_replicate_consistency/<dataset>/tables","results/tables/03_qc_exploration/03_replicate_consistency/<dataset>/replicate_consistency.xlsx","results/qc/assess_replicate_consistency/<dataset>/tables/replicate_consistency.xlsx",0,9,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","assess_marker_rank_abundance","analysis/qc/assess_marker_rank_abundance.R",1,"results/qc/assess_marker_rank_abundance/<dataset>","results/tables/03_qc_exploration/04_marker_rank_abundance_qc/<dataset>/","results/qc/assess_marker_rank_abundance/<dataset>/tables/",0,10,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","summarize_marker_detectability","analysis/qc/summarize_marker_detectability.R",1,"results/qc/summarize_marker_detectability/<dataset>","results/tables/03_qc_exploration/04c_marker_detectability_and_wgcna_bridge/<dataset>/","results/qc/summarize_marker_detectability/<dataset>/tables/",0,9,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","assess_pca_confounding","analysis/qc/assess_pca_confounding.R",1,"results/qc/assess_pca_confounding/<dataset>","results/tables/03_qc_exploration/05_pca_confounding_qc/<dataset>/","results/qc/assess_pca_confounding/<dataset>/tables/",0,10,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","partition_variance","analysis/qc/partition_variance.R",2,"results/qc/partition_variance/<dataset>","results/tables/03_qc_exploration/06_variance_partitioning/<dataset>/ | results/reports/03_qc_exploration/06_variance_partitioning/<dataset>/","results/qc/partition_variance/<dataset>/tables/ | results/qc/partition_variance/<dataset>/reports/",0,10,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"qc","export_marker_traits","analysis/qc/export_marker_traits.R",1,"results/qc/export_marker_traits/<dataset>","results/tables/03_qc_exploration/06_wgcna_marker_trait_export/<dataset>/","results/qc/export_marker_traits/<dataset>/tables/",0,10,0,"CONFIG | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
