"domain","analysis_id","entrypoint","n_declared_outputs","current_output_roots","historical_output_roots","proposed_output_roots","frozen_objects_beneath","runtime_consumer_files","unknown_dependency_kinds","consumer_kinds","canonical_owner_of_a_family","multi_writer_families"
"wgcna","build_wgcna_modules","analysis/wgcna/build_wgcna_modules.R",7,"results/tables/06_modules_WGCNA/01_WGCNA/<dataset> | results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/ | results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/supermodule_clustering_sensitivity.csv | results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","results/wgcna/build_wgcna_modules/<dataset>/tables/modules | results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/supermodule_clustering_sensitivity.csv | results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv",0,77,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","render_module_go_heatmaps","analysis/wgcna/render_module_go_heatmaps.R",2,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps | results/figures/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/ | results/figures/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/","results/wgcna/render_module_go_heatmaps/<dataset>/tables/ | results/wgcna/render_module_go_heatmaps/<dataset>/plots/",0,75,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","compare_recurrent_module_proteins","analysis/wgcna/compare_recurrent_module_proteins.R",1,"results/tables/04_differential_expression_enrichment/compareGO/<dataset>/recurrent_top_gene_drivers","results/tables/04_differential_expression_enrichment/compareGO/<dataset>/recurrent_top_gene_drivers/overlapping_proteins_min3_spatial_units.xlsx","results/wgcna/compare_recurrent_module_proteins/<dataset>/tables/recurrent_top_gene_drivers/overlapping_proteins_min3_spatial_units.xlsx",0,39,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","build_curated_overlap_programs","analysis/wgcna/build_curated_overlap_programs.R",1,"results/tables/06_modules_WGCNA/curated_overlap_programs","results/tables/06_modules_WGCNA/curated_overlap_programs/global/","results/wgcna/build_curated_overlap_programs/global/tables/",0,75,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","score_module_activity","analysis/wgcna/score_module_activity.R",1,"results/tables/06_modules_WGCNA/module_score","results/tables/06_modules_WGCNA/module_score/<dataset>/","results/wgcna/score_module_activity/<dataset>/tables/",0,80,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","compare_module_enrichment_overlap","analysis/wgcna/compare_module_enrichment_overlap.R",1,"results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/<dataset>/","results/wgcna/compare_module_enrichment_overlap/<dataset>/tables/",0,75,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","build_module_identity_contract","analysis/wgcna/build_module_identity_contract.R",4,"results/tables/06_modules_WGCNA/identity_contract | results/source_data/06_modules_WGCNA/identity_contract | results/reports/06_modules_WGCNA/identity_contract","results/tables/06_modules_WGCNA/identity_contract/<dataset>/ | results/reports/06_modules_WGCNA/identity_contract/<dataset>/ | results/logs/06_modules_WGCNA/identity_contract/<dataset>/","results/wgcna/build_module_identity_contract/<dataset>/tables/ | results/wgcna/build_module_identity_contract/<dataset>/reports/ | results/wgcna/build_module_identity_contract/<dataset>/manifests/",0,96,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","test_module_phenotypes","analysis/wgcna/test_module_phenotypes.R",19,"results/tables/06_modules_WGCNA/group_effects/<dataset>","results/tables/06_modules_WGCNA/group_effects/<dataset>/all_supermodule_eigengene_group_values.csv | results/tables/06_modules_WGCNA/group_effects/<dataset>/all_supermodule_eigengene_spatial_group_values.csv | results/tables/06_modules_WGCNA/group_effects/<dataset>/module_group_effects.csv","results/wgcna/test_module_phenotypes/<dataset>/tables/all_supermodule_eigengene_group_values.csv | results/wgcna/test_module_phenotypes/<dataset>/tables/all_supermodule_eigengene_spatial_group_values.csv | results/wgcna/test_module_phenotypes/<dataset>/tables/module_group_effects.csv",0,76,0,"AUDIT_READER | CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","annotate_module_microenvironment","analysis/wgcna/annotate_module_microenvironment.R",3,"results/tables/06_modules_WGCNA/module_annotation/<dataset>","results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_module_biological_annotation.csv | results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_module_targeted_signature_overlap_details.csv | results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_supermodule_biological_annotation.csv","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_biological_annotation.csv | results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_targeted_signature_overlap_details.csv | results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_supermodule_biological_annotation.csv",0,76,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"wgcna","summarize_module_interpretation","analysis/wgcna/summarize_module_interpretation.R",4,"results/tables/06_modules_WGCNA/interpretable_summary/<dataset>","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_final_label_lookup.csv | results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv | results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_interpretable_summary.xlsx","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_final_label_lookup.csv | results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv | results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_interpretable_summary.xlsx",0,75,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
