"consumer_file","disposition","rationale","also_calls_resolver"
"analysis/publication_source_data/config/export_config.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"config/clusterProfiler_config.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"config/example_config.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"pipeline.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"analysis/publication_source_data/validate_pride_submission.R","NEW_RESOLVED","Entered the inventory through this migration's repointing.",FALSE
"R/preprocessing/preprocessing_paths.R","NEW_RESOLVED","The domain resolver lives here and now names both namespaces deliberately: normalized first, historical second.",TRUE
"tests/testthat/test-preprocessing-writer-namespace.R","NEW_RESOLVED","A test added or repointed by this migration.",TRUE
"analysis/differential_abundance/compare_go_enrichment.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/test_behaviour_proteomics_associations.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_methods_summary.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_networks/render_network_chord_diagram.R","REPOINTED","Present in both inventories.",FALSE
"audits/preprocessing/01b_animal_level_mapping_audit.r","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/dataset_inputs.R","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/protein_mapping_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/spatial/control_spatial_identity_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/pride_helpers.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_candidate_protein_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/export_helpers.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-animal-id-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-ca2-slm-robustness.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-control-spatial-identity.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-empirical-roi-marker-discovery.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-immunostaining-candidate-comparison.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-integration-writer-namespace.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-module-score-metadata-resolution.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-output-namespace-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-protein-group-enrichment-utils.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-schema-validation.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-journal-scope.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-spatial-network-dataset-awareness.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-sus-res-spatial-dap-atlas.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-candidate-protein-shortlist.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-module-id-palette.R","REPOINTED","Present in both inventories.",FALSE
"tools/reference_data/derive_allen_mouse_ctx_hip_10x_markers.r","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/run_clusterprofiler_enrichment.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/differential_abundance/test_microglia_targeted_signatures.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/differential_abundance/validate_control_spatial_identity.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/enrichment/run_ewce_celltype_enrichment.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/audit_animal_id_integrity.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/integration/build_immunostaining_candidates.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/screen_immunostaining_panel.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/screen_immunostaining_separation.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/preprocessing/build_animal_level_protigy_input.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/preprocessing/build_joint_protigy_input.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/preprocessing/build_module_score_metadata.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/preprocessing/extract_protigy_contrasts.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/qc/assess_joint_compartment_quality.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/qc/render_joint_compartment_qc_figures.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_networks/build_spatial_networks.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/audit_ca2_slm_robustness.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/audit_stress_identity_robustness.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_validation/build_animal_spatial_networks.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_validation/build_protein_spatial_atlas.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_validation/build_spatial_data_contract.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_validation/quantify_bilateral_spatial_identity.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_validation/quantify_neuropil_detection_context.R","RESOLVER_DELEGATED","Still a consumer. It reads through the preprocessing resolver, so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/spatial_validation/quantify_neuropil_precision.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/summarize_ca2_slm_robustness.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/wgcna/audit_microglia_module_claims.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/wgcna/build_wgcna_modules.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/wgcna/score_module_activity.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"audits/preprocessing/03b_directionality_audit_raw_vs_protigy.r","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"audits/spatial/spatial_v6_baseline_profile.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/data_contracts/mapping_branch_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/data_contracts/protigy_stat_gct_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/data_contracts/spatial_systems_endpoint_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/qc/control_compartment_abundance_workflow.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/qc/empirical_roi_marker_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/qc/joint_compartment_qc_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/qc/qc_exploration_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/statistics/sus_res_spatial_dap_atlas_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"tests/testthat/test-mapping-branch-utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"tests/testthat/test-protigy-stat-gct-utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
