"analysis_id","old_path","new_path","lifecycle","canonical_owner","consumer_count","scientific_consumer_count","publication_consumer_count","provenance_consumer_count","test_consumer_count","rationale"
"extract_protigy_contrasts","data/processed/01_preprocessing/gct_extractR/<dataset>/forward/*.csv","results/preprocessing/extract_protigy_contrasts/<dataset>/tables/forward/*.csv","TABLE","analysis/preprocessing/extract_protigy_contrasts.R",15,6,4,3,2,"Canonical head of the DA to enrichment chain. map_protein_identifiers globs these and fails closed on their count; the directionality audit reads them as scientific validation; the PRIDE processed-data export sweeps the dataset directory. Declared in pipeline.yml consumes. Not work-eligible on three independent grounds."
"extract_protigy_contrasts","data/processed/01_preprocessing/gct_extractR/<dataset>/reverse/*.csv","results/preprocessing/extract_protigy_contrasts/<dataset>/tables/reverse/*.csv","TABLE","analysis/preprocessing/extract_protigy_contrasts.R",10,5,4,0,1,"Same contract as the forward direction, read by the reverse mapping branch and already materialized into the publication export by the gct_extractR dataset-directory sweep. The direction segment carries meaning and is preserved after the scope."
"extract_protigy_contrasts","data/processed/01_preprocessing/gct_extractR/<dataset>/indexComparisons.csv","results/preprocessing/extract_protigy_contrasts/<dataset>/manifests/indexComparisons.csv","MANIFEST","analysis/preprocessing/extract_protigy_contrasts.R",11,0,5,6,0,"One row per comparison recording the parsed forward/reverse names, the exact files written, the GCT fields used and a per-direction computed/skipped status. That is a manifest of the extraction, not a scientific table, so it moves to manifests/. No scientific reader, but six provenance consumers address it and the export sweep reaches it."
"extract_protigy_contrasts","data/processed/01_preprocessing/gct_extractR/<dataset>/canonical_gct_extract_manifest.csv","results/preprocessing/extract_protigy_contrasts/<dataset>/manifests/canonical_gct_extract_manifest.csv","MANIFEST","analysis/preprocessing/extract_protigy_contrasts.R",4,1,0,2,1,"The animal-level extraction provenance contract. map_protein_identifiers hard-gates on it via validate_canonical_gct_extract_provenance(), so it is the intra-domain contract between the two writers. It was produced but never declared before this phase; the declaration is now complete."
"extract_protigy_contrasts","results/logs/01_preprocessing/gct_extractR/<dataset>/run_manifest.yml","results/preprocessing/extract_protigy_contrasts/<dataset>/manifests/run_manifest.yml","MANIFEST","analysis/preprocessing/extract_protigy_contrasts.R",0,0,0,0,0,"Run provenance. logs/ maps onto the normalized manifests/ child."
"build_module_score_metadata","data/processed/01_preprocessing/06_merged_metadata_module_score/<dataset>/sample_metadata_merged_clean_for_module_scores.xlsx","results/preprocessing/build_module_score_metadata/<dataset>/tables/sample_metadata_merged_clean_for_module_scores.xlsx","TABLE","analysis/preprocessing/build_module_score_metadata.R",21,19,0,0,2,"The canonical AnimalID / StressGroup / spatial-unit assignment, read as an input by nineteen analyses across wgcna, spatial_validation, differential_abundance, integration and two R/ data-contract helpers. A persistent derived scientific input, emphatically not a scratch intermediate, despite living under data/processed."
"build_module_score_metadata","results/tables/01_preprocessing/06_merged_metadata_module_score/<dataset>/metadata_merge_qc_summary.csv","results/preprocessing/build_module_score_metadata/<dataset>/tables/metadata_merge_qc_summary.csv","TABLE","analysis/preprocessing/build_module_score_metadata.R",0,0,0,0,0,"Machine-readable merge QC counts accompanying the workbook."
"build_module_score_metadata","results/reports/01_preprocessing/06_merged_metadata_module_score/<dataset>/metadata_merge_summary.md","results/preprocessing/build_module_score_metadata/<dataset>/reports/metadata_merge_summary.md","REPORT","analysis/preprocessing/build_module_score_metadata.R",0,0,0,0,0,"Human-readable merge summary."
"build_module_score_metadata","results/logs/01_preprocessing/06_merged_metadata_module_score/<dataset>/run_manifest.yml","results/preprocessing/build_module_score_metadata/<dataset>/manifests/run_manifest.yml","MANIFEST","analysis/preprocessing/build_module_score_metadata.R",0,0,0,0,0,"Run provenance."
"map_protein_identifiers","data/processed/02_id_mapping/mapped/<dataset>/forward/per_file/*.csv","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv","TABLE","analysis/preprocessing/map_protein_identifiers.R",51,27,7,8,9,"The most heavily depended-on object in the repository: a formally versioned file contract (docs/file_contracts.tsv, mapped_contrast_csv v4, with a named column schema), named in sixteen distinct pipeline.yml consumes entries, read by six analysis domains plus PRIDE export and eight provenance audits. Canonical scientific result."
"map_protein_identifiers","results/tables/02_id_mapping/MapThatProt_batch/<dataset>/mapped/forward/summaries/*.csv","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/summaries/*.csv","TABLE","analysis/preprocessing/map_protein_identifiers.R",0,0,0,0,0,"Per-contrast mapping summaries; machine-readable, so tables/."
"map_protein_identifiers","results/logs/02_id_mapping/MapThatProt_batch/<dataset>/mapped/forward/info/*.csv","results/preprocessing/map_protein_identifiers/<dataset>/manifests/mapped/forward/info/*.csv","MANIFEST","analysis/preprocessing/map_protein_identifiers.R",0,0,0,0,0,"Per-file mapping provenance (input manifest and per-contrast mapping info). Undeclared in pipeline.yml before and after this phase, which is pre-existing registry debt recorded rather than fixed here; it moves with its writer because the destination comes from the same resolver."
"map_protein_identifiers","results/reports/02_id_mapping/MapThatProt_batch/<dataset>/mapping_reports/forward/*","results/preprocessing/map_protein_identifiers/<dataset>/reports/mapping_reports/forward/*","REPORT","analysis/preprocessing/map_protein_identifiers.R",0,0,0,0,0,"Human-readable mapping reports. Also undeclared in pipeline.yml; same pre-existing debt, same resolver, so it moves with the writer rather than being left behind in a root with no producer."
"build_joint_protigy_input","data/processed/01_preprocessing/joint_compartment_qc/global/joint_compartment_qc_matrices.rds","results/preprocessing/build_joint_protigy_input/global/models/joint_compartment_qc_matrices.rds","MODEL/PERSISTENT_OBJECT","analysis/preprocessing/build_joint_protigy_input.R",8,5,0,0,3,"A versioned serialised bundle (contract joint_compartment_qc_v1) whose top-level element set is asserted by ca_validate_bundle_reconstruction(). Four pipeline-registered QC analyses and one WGCNA audit readRDS it as an input contract, and it is named in three consumes_required entries. A .rds extension is not evidence of a cache."
