"baseline_consumer","n_artifacts","artifacts","classification","still_present","resolves_now","disposition"
"R/statistics/evidence_bundle_utils.R",3,"biological_claims_table.csv; final_evidence_bundle_validation.csv; final_reviewer_audit_manifest.csv","LIVE_PSCIENCE_READER",TRUE,TRUE,"LIVE_PSCIENCE_READER"
"R/statistics/wgcna_label_adjudication_utils.R",1,"biological_claims_table.csv","LIVE_PSCIENCE_READER",TRUE,TRUE,"LIVE_PSCIENCE_READER"
"R/utilities/validation_utils.R",5,"claim_gate_summary.csv; claim_use_class_wording_audit.csv; final_claim_gate_summary.csv; final_evidence_bundle_validation.csv; final_reviewer_audit_manifest.csv","EXPORT_VALIDATOR",TRUE,TRUE,"EXPORT_VALIDATOR"
"RUN_ORDER.md",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"analysis/integration/render_module_circular_atlas.R",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"analysis/integration/summarize_module_cross_compartment.R",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"analysis/publication_source_data/build_biological_claims_table.R",16,"biological_claims_table.csv; biological_claims_table.xlsx; blocked_claim_wording_audit.csv; claim_gate_evidence_availability.csv; claim_gate_summary.csv; claim_use_class_summary.csv; claim_use_class_wording_audit.csv; final_claim_gate_summary.csv; final_evidence_bundle_validation.csv; final_reviewer_audit_manifest.csv; go_label_risk_audit.csv; go_label_safe_interpretation_audit.csv; microglia_wgcna_overlap_stage13_identity_audit.csv; wgcna_claim_source_audit.csv; wgcna_label_completeness_audit.csv; wgcna_stage13_claim_cardinality_audit.csv","PUBLICATION_PACKAGER",TRUE,TRUE,"PUBLICATION_PACKAGER"
"analysis/publication_source_data/validate_pride_submission.R",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"audits/wgcna/proteomics_wgcna_downstream_audit.R",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/ANALYSIS_ENTRYPOINTS.md",4,"biological_claims_table.csv; biological_claims_table.xlsx; microglia_wgcna_overlap_stage13_identity_audit.csv; wgcna_stage13_claim_cardinality_audit.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/INPUT_CONTRACTS.md",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/OUTPUT_CONTRACTS.md",12,"biological_claims_table.csv; blocked_claim_wording_audit.csv; claim_gate_evidence_availability.csv; claim_gate_summary.csv; claim_use_class_summary.csv; final_claim_gate_summary.csv; final_evidence_bundle_validation.csv; final_reviewer_audit_manifest.csv; go_label_risk_audit.csv; go_label_safe_interpretation_audit.csv; wgcna_claim_source_audit.csv; wgcna_label_completeness_audit.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/RESULTS_OWNERSHIP.md",4,"biological_claims_table.csv; biological_claims_table.xlsx; microglia_wgcna_overlap_stage13_identity_audit.csv; wgcna_stage13_claim_cardinality_audit.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/REVIEWER_REPRODUCIBILITY.md",2,"final_evidence_bundle_validation.csv; final_reviewer_audit_manifest.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/WGCNA_WORKFLOW.md",2,"blocked_claim_wording_audit.csv; wgcna_claim_source_audit.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/biological_interpretation_guide.md",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"docs/current_data_flow.md",1,"biological_claims_table.csv","PROVENANCE_ORACLE",TRUE,TRUE,"PROVENANCE_ORACLE"
"pipeline.yml",4,"biological_claims_table.csv; biological_claims_table.xlsx; microglia_wgcna_overlap_stage13_identity_audit.csv; wgcna_stage13_claim_cardinality_audit.csv","PUBLICATION_PACKAGER",TRUE,TRUE,"PUBLICATION_PACKAGER"
"tests/smoke_test_active_script_contracts.R",1,"biological_claims_table.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
"tests/testthat/test-integration-writer-namespace.R",2,"microglia_wgcna_overlap_stage13_identity_audit.csv; wgcna_stage13_claim_cardinality_audit.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
"tests/testthat/test-schema-validation.R",1,"biological_claims_table.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
"tests/testthat/test-source-data-journal-scope.R",1,"biological_claims_table.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
"tests/testthat/test-wgcna-label-activation.R",1,"biological_claims_table.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
"tests/testthat/test-wgcna-stage13-downstream-integration.R",2,"biological_claims_table.csv; wgcna_stage13_claim_cardinality_audit.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
"tests/testthat/test-wgcna-writer-namespace.R",2,"microglia_wgcna_overlap_stage13_identity_audit.csv; wgcna_stage13_claim_cardinality_audit.csv","TEST_FIXTURE",TRUE,TRUE,"TEST_FIXTURE"
