"legacy_path","policy","reason","frozen_objects_beneath","files","bytes","active_writers","n_active_writers","authoritative_copy"
"results/manuscript","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,433298,NA,"08_export_manuscript_figures.R | 09_export_source_data.R",2,"this path"
"results/publication_source_data","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,55,2545817,"build_biological_claims_table.R",1,"exports/publication_source_data (byte-identical copy; see audits/phase6f_artifact_migration.csv)"
"results/figures/manuscript","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",39,101,38866386,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/figures/manuscript_candidates","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",35,574,402232082,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/source_data/manuscript_candidates","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",35,277,23644318,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/source_data/04_differential_expression_enrichment","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",2,348,2858144494,"",0,"this path"
"results/tables/manuscript_candidates","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",2,83,43348804,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/source_data/03_qc_exploration","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",1,64,311083164,"",0,"this path"
"results/figures/manuscript_panels","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,6,643842,"",0,"this path"
"results/logs/09_export_pride_journal","LEGACY_READ_ONLY","no registered writer declares output here",0,6,2150767,"",0,"this path"
"results/logs/manuscript_figures","LEGACY_READ_ONLY","no registered writer declares output here",0,20,104182,"",0,"this path"
"results/reports/manuscript_candidates","LEGACY_READ_ONLY","no registered writer declares output here",0,76,244567,"",0,"this path"
"results/reports/manuscript_figures","LEGACY_READ_ONLY","no registered writer declares output here",0,23,119058,"",0,"this path"
"results/reviewer_audit","LEGACY_READ_ONLY","no registered writer declares output here",0,190,77946599,"",0,"this path"
"results/source_data/01_preprocessing","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/source_data/02_id_mapping","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/source_data/04_differential_expression_enrichment_comparison","LEGACY_READ_ONLY","no registered writer declares output here",0,557,296868030,"",0,"this path"
"results/source_data/05_celltype_enrichment_EWCE","LEGACY_READ_ONLY","no registered writer declares output here",0,13,9343756,"",0,"this path"
"results/source_data/06_modules_WGCNA","LEGACY_READ_ONLY","no registered writer declares output here",0,334,116128574,"",0,"this path"
"results/source_data/07_spatial_networks","LEGACY_READ_ONLY","no registered writer declares output here",0,37,4835295,"",0,"this path"
"results/source_data/08_behavior_physio_coupling","LEGACY_READ_ONLY","no registered writer declares output here",0,6,653407,"",0,"this path"
"results/source_data/08_biological_interpretation","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/source_data/10_biological_integration","LEGACY_READ_ONLY","no registered writer declares output here",0,103,392418094,"",0,"this path"
"results/source_data/manuscript","LEGACY_READ_ONLY","no registered writer declares output here",0,44,849895,"",0,"this path"
"results/source_data/manuscript_panels","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,6,112318447,"",0,"this path"
"results/tables/manuscript_panels","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,5,22841,"",0,"this path"
