"writer","line1","line2","occurrence_in_statement","write_call","why"
"analysis/publication_source_data/08_export_manuscript_figures.R",193,198,1,"write_run_manifest","destination builds a historical path"
"analysis/publication_source_data/09_export_source_data.R",97,102,1,"write_run_manifest","destination builds a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",786,797,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",786,797,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",799,833,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",799,833,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",835,853,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",835,853,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",855,887,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",855,887,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",855,887,3,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1249,1271,1,"write_csv","destination builds a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1273,1320,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1273,1320,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1273,1320,3,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1322,1369,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1322,1369,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1322,1369,3,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1322,1369,4,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1371,1385,1,"dir_create","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1371,1385,2,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1425,1443,1,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1445,1491,1,"write_csv","destination builds a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1734,1847,1,"dir_create","destination builds a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",1734,1847,2,"write_csv","destination builds a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",2229,2229,1,"dir_create","destination builds a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",2232,2232,1,"write_csv","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",2233,2238,1,"write_xlsx","destination is a variable holding a historical path"
"analysis/publication_source_data/build_biological_claims_table.R",2253,2274,1,"write_run_manifest","destination builds a historical path"
