"owner","canonical_path","publication_role","generic_lifecycle","lifecycle_root","manuscript_consumer","freeze_role","work_eligible","rationale"
"analysis/publication_source_data/build_biological_claims_table.R","results/publication_source_data/build_biological_claims_table/global/tables/biological_claims_table.csv","PUBLICATION_SOURCE_DATA","TABLE","results",FALSE,"NOT_FROZEN",FALSE,"canonical results/<domain>/<analysis_id>/<scope>/<child> production path"
"analysis/publication_source_data/build_biological_claims_table.R","results/publication_source_data/build_biological_claims_table/global/tables/biological_claims_table.xlsx","PUBLICATION_SOURCE_DATA","TABLE","results",FALSE,"NOT_FROZEN",FALSE,"canonical results/<domain>/<analysis_id>/<scope>/<child> production path"
"analysis/publication_source_data/build_biological_claims_table.R","results/publication_source_data/build_biological_claims_table/global/tables/wgcna_stage13_claim_cardinality_audit.csv","INTERNAL_AUDIT","TABLE","results",FALSE,"NOT_FROZEN",FALSE,"canonical results/<domain>/<analysis_id>/<scope>/<child> production path"
"analysis/publication_source_data/build_biological_claims_table.R","results/publication_source_data/build_biological_claims_table/global/tables/microglia_wgcna_overlap_stage13_identity_audit.csv","INTERNAL_AUDIT","TABLE","results",FALSE,"NOT_FROZEN",FALSE,"canonical results/<domain>/<analysis_id>/<scope>/<child> production path"
"analysis/publication_source_data/build_sample_metadata.R","pride_submission/metadata/sample_metadata.tsv","PUBLICATION_SOURCE_DATA","TABLE","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_sample_metadata.R","pride_submission/metadata/sdrf_like_metadata.tsv","PUBLICATION_SOURCE_DATA","TABLE","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/export_processed_matrices.R","pride_submission/processed_data/","PUBLICATION_SOURCE_DATA","PUBLICATION_INDEX","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/export_processed_matrices.R","pride_submission/processed_data/data_dictionary_processed_matrices.tsv","PUBLICATION_SOURCE_DATA","TABLE","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_supplementary_tables.R","pride_submission/supplementary_tables/","PUBLICATION_SOURCE_DATA","PUBLICATION_INDEX","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_pride_manifest.R","pride_submission/manifests/pride_file_manifest.tsv","PUBLICATION_MANIFEST","TABLE","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_methods_summary.R","pride_submission/methods/methods_summary.md","PUBLICATION_REPORT","REPORT","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_methods_summary.R","pride_submission/methods/software_versions.tsv","PUBLICATION_REPORT","TABLE","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_methods_summary.R","pride_submission/methods/pipeline_steps.tsv","PUBLICATION_REPORT","TABLE","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/build_methods_summary.R","pride_submission/methods/known_limitations.md","PUBLICATION_REPORT","REPORT","pride_submission",FALSE,"NOT_FROZEN",FALSE,"outward deposit bundle; allowed non-result root in the output-namespace classifier"
"analysis/publication_source_data/08_export_manuscript_figures.R","results/manuscript/figure_1/","PUBLICATION_SOURCE_DATA","PUBLICATION_INDEX","results",TRUE,"NOT_FROZEN",FALSE,"manuscript_export_root declared in config/output_namespaces.yml with rule exporters_write_only_to_manuscript_export_root"
"analysis/publication_source_data/08_export_manuscript_figures.R","results/manuscript/figure_2/","PUBLICATION_SOURCE_DATA","PUBLICATION_INDEX","results",TRUE,"NOT_FROZEN",FALSE,"manuscript_export_root declared in config/output_namespaces.yml with rule exporters_write_only_to_manuscript_export_root"
"analysis/publication_source_data/08_export_manuscript_figures.R","results/manuscript/figure_3/","PUBLICATION_SOURCE_DATA","PUBLICATION_INDEX","results",TRUE,"NOT_FROZEN",FALSE,"manuscript_export_root declared in config/output_namespaces.yml with rule exporters_write_only_to_manuscript_export_root"
