"consumer_file","disposition","rationale","also_calls_resolver"
"R/qc/qc_exploration_utils.R","INTENTIONALLY_REMOVED","The namespace reference was relocated, not deleted: qc_paths() and the new resolvers moved into R/qc/qc_result_paths.R so that forty readers outside analysis/qc could load path resolution without the whole QC utility stack. This file now sources that one, and the historical namespace is named there instead.",FALSE
"config/clusterProfiler_config.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"config/example_config.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"config/output_layout.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"pipeline.yml","LEGACY_COMPATIBILITY_READER","Present in both inventories.",FALSE
"R/qc/qc_result_paths.R","NEW_RESOLVED","The QC path resolver introduced by this migration.",TRUE
"tests/testthat/test-qc-writer-namespace.R","NEW_RESOLVED","A test added or repointed by this migration.",TRUE
"tools/audit_writer_namespaces.R","NEW_RESOLVED","Entered the inventory through this migration's repointing.",FALSE
"analysis/differential_abundance/audit_gsea_protein_direction.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/audit_stress_response_biology.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/build_go_program_atlas.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/build_sus_res_dap_atlas.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/compare_go_enrichment.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/run_clusterprofiler_enrichment.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/validate_control_spatial_identity.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/build_immunostaining_candidates.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/screen_immunostaining_panel.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/screen_immunostaining_separation.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/summarize_enrichment_module_concordance.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/test_enrichment_module_concordance.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/08_export_manuscript_figures.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/09_export_source_data.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_methods_summary.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_pride_manifest.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_sample_metadata.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/build_supplementary_tables.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/export_processed_matrices.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/RUN_EXPORT.R","REPOINTED","Present in both inventories.",FALSE
"analysis/publication_source_data/validate_pride_submission.R","REPOINTED","Present in both inventories.",FALSE
"analysis/spatial_networks/build_spatial_networks.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/adjudicate_module_labels.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/audit_module_label_coherence.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/build_module_label_registry.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/build_wgcna_modules.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/summarize_microglia_roi_specificity.R","REPOINTED","Present in both inventories.",FALSE
"analysis/wgcna/test_microglia_neuropil_independence.R","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/animal_id_contract.R","REPOINTED","Present in both inventories.",FALSE
"R/data_contracts/publication_freeze_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/paths.R","REPOINTED","Present in both inventories.",FALSE
"R/spatial/spatial_systems_paths.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/evidence_bundle_utils.R","REPOINTED","Present in both inventories.",FALSE
