"analysis_id","old_path","normalized_path","lifecycle","canonical_owner","consumer_count","scientific_consumer_count","publication_consumer_count","provenance_consumer_count","rationale"
"assess_joint_compartment_quality","results/tables/03_qc_exploration/00b_joint_compartment_qc/global/","results/qc/assess_joint_compartment_quality/global/tables","TABLE","analysis/qc/assess_joint_compartment_quality.R",27,16,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"assess_joint_compartment_quality","results/figures/03_qc_exploration/00b_joint_compartment_qc/global/","results/qc/assess_joint_compartment_quality/global/plots","PLOT","analysis/qc/assess_joint_compartment_quality.R",27,16,2,9,"QC diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"assess_joint_compartment_quality","results/reports/03_qc_exploration/00b_joint_compartment_qc/global/joint_compartment_qc_summary.md","results/qc/assess_joint_compartment_quality/global/reports/joint_compartment_qc_summary.md","REPORT","analysis/qc/assess_joint_compartment_quality.R",27,16,2,9,"Human-readable QC summary; no downstream scientific reader parses it as data."
"assess_joint_compartment_quality","results/logs/03_qc_exploration/00b_joint_compartment_qc/global/run_manifest.yml","results/qc/assess_joint_compartment_quality/global/manifests/run_manifest.yml","MANIFEST","analysis/qc/assess_joint_compartment_quality.R",27,16,2,9,"Run manifest / provenance record, not a scientific table."
"render_joint_compartment_qc_figures","results/figures/03_qc_exploration/00b_joint_compartment_qc/publication_style/global/joint_compartment_qc_main_figure_183mm.svg","results/qc/render_joint_compartment_qc_figures/global/plots/publication_style/joint_compartment_qc_main_figure_183mm.svg","PLOT","analysis/qc/render_joint_compartment_qc_figures.R",27,16,2,9,"QC diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"render_joint_compartment_qc_figures","results/figures/03_qc_exploration/00b_joint_compartment_qc/publication_style/global/joint_compartment_qc_extended_data_figure_183mm.svg","results/qc/render_joint_compartment_qc_figures/global/plots/publication_style/joint_compartment_qc_extended_data_figure_183mm.svg","PLOT","analysis/qc/render_joint_compartment_qc_figures.R",27,16,2,9,"QC diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"render_joint_compartment_qc_figures","results/figures/03_qc_exploration/00b_joint_compartment_qc/publication_style/global/panels/","results/qc/render_joint_compartment_qc_figures/global/plots/publication_style/panels","PLOT","analysis/qc/render_joint_compartment_qc_figures.R",27,16,2,9,"QC diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"render_joint_compartment_qc_figures","results/reports/03_qc_exploration/00c_joint_compartment_qc_publication_figures/global/joint_compartment_qc_publication_figure_manifest.md","results/qc/render_joint_compartment_qc_figures/global/reports/joint_compartment_qc_publication_figure_manifest.md","REPORT","analysis/qc/render_joint_compartment_qc_figures.R",27,16,2,9,"Human-readable QC summary; no downstream scientific reader parses it as data."
"render_joint_compartment_qc_figures","results/logs/03_qc_exploration/00c_joint_compartment_qc_publication_figures/global/run_manifest.yml","results/qc/render_joint_compartment_qc_figures/global/manifests/run_manifest.yml","MANIFEST","analysis/qc/render_joint_compartment_qc_figures.R",27,16,2,9,"Run manifest / provenance record, not a scientific table."
"build_reference_marker_registry","config/marker_panels/wgcna_reference_marker_sets.csv","config/marker_panels/wgcna_reference_marker_sets.csv","GENERATED_CONFIG_CONTRACT","analysis/qc/build_reference_marker_registry.R",83,38,2,33,"Built by QC but consumed as configuration: committed to git beside three hand-maintained marker panels and read through consumes_required/consumes_optional by twelve scripts across five domains. The output-layout contract governs results, not configuration, so it stays under config/."
"build_reference_marker_registry","results/tables/03_qc_exploration/reference_marker_import/","results/qc/build_reference_marker_registry/global/tables","TABLE","analysis/qc/build_reference_marker_registry.R",83,38,2,33,"Machine-readable QC table with downstream scientific or publication readers."
"discover_empirical_roi_markers","results/tables/03_qc_exploration/05_empirical_roi_marker_discovery/empirical_roi_marker_sets.csv","results/qc/discover_empirical_roi_markers/global/tables/empirical_roi_marker_sets.csv","TABLE","analysis/qc/discover_empirical_roi_markers.R",27,16,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"assess_dataset_quality","results/tables/03_qc_exploration/00_dataset_qc_report/<dataset>/dataset_qc_report.xlsx","results/qc/assess_dataset_quality/<dataset>/tables/dataset_qc_report.xlsx","TABLE","analysis/qc/assess_dataset_quality.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"assess_dataset_quality","results/reports/03_qc_exploration/00_dataset_qc_report/<dataset>/dataset_qc_summary.md","results/qc/assess_dataset_quality/<dataset>/reports/dataset_qc_summary.md","REPORT","analysis/qc/assess_dataset_quality.R",28,17,2,9,"Human-readable QC summary; no downstream scientific reader parses it as data."
"assess_sample_quality","results/figures/03_qc_exploration/01_sample_qc_quicksearch/<dataset>/","results/qc/assess_sample_quality/<dataset>/plots","PLOT","analysis/qc/assess_sample_quality.R",27,16,2,10,"QC diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"assess_sample_quality","results/tables/03_qc_exploration/01_sample_qc_quicksearch/<dataset>/qc_summary_tables.xlsx","results/qc/assess_sample_quality/<dataset>/tables/qc_summary_tables.xlsx","TABLE","analysis/qc/assess_sample_quality.R",27,16,2,10,"Machine-readable QC table with downstream scientific or publication readers."
"summarize_missingness","results/tables/03_qc_exploration/02_missingness_diagnostics/<dataset>/missingness_diagnostics.xlsx","results/qc/summarize_missingness/<dataset>/tables/missingness_diagnostics.xlsx","TABLE","analysis/qc/summarize_missingness.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"assess_replicate_consistency","results/tables/03_qc_exploration/03_replicate_consistency/<dataset>/replicate_consistency.xlsx","results/qc/assess_replicate_consistency/<dataset>/tables/replicate_consistency.xlsx","TABLE","analysis/qc/assess_replicate_consistency.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"assess_marker_rank_abundance","results/tables/03_qc_exploration/04_marker_rank_abundance_qc/<dataset>/","results/qc/assess_marker_rank_abundance/<dataset>/tables","TABLE","analysis/qc/assess_marker_rank_abundance.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"summarize_marker_detectability","results/tables/03_qc_exploration/04c_marker_detectability_and_wgcna_bridge/<dataset>/","results/qc/summarize_marker_detectability/<dataset>/tables","TABLE","analysis/qc/summarize_marker_detectability.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"assess_pca_confounding","results/tables/03_qc_exploration/05_pca_confounding_qc/<dataset>/","results/qc/assess_pca_confounding/<dataset>/tables","TABLE","analysis/qc/assess_pca_confounding.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"partition_variance","results/tables/03_qc_exploration/06_variance_partitioning/<dataset>/","results/qc/partition_variance/<dataset>/tables","TABLE","analysis/qc/partition_variance.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"partition_variance","results/reports/03_qc_exploration/06_variance_partitioning/<dataset>/","results/qc/partition_variance/<dataset>/reports","REPORT","analysis/qc/partition_variance.R",28,17,2,9,"Human-readable QC summary; no downstream scientific reader parses it as data."
"export_marker_traits","results/tables/03_qc_exploration/06_wgcna_marker_trait_export/<dataset>/","results/qc/export_marker_traits/<dataset>/tables","TABLE","analysis/qc/export_marker_traits.R",28,17,2,9,"Machine-readable QC table with downstream scientific or publication readers."
"summarize_qc_confounding","results/reports/03_qc_exploration/07_qc_biology_confounding_report/<dataset>/","results/qc/summarize_qc_confounding/<dataset>/reports","REPORT","analysis/qc/summarize_qc_confounding.R",27,16,2,9,"Human-readable QC summary; no downstream scientific reader parses it as data."
"render_compartment_abundance_figures","results/source_data/03_qc_exploration/04e_control_compartment_abundance_publication_figures/global/","results/qc/render_compartment_abundance_figures/global/tables/source_data","TABLE","analysis/qc/render_compartment_abundance_figures.R",54,17,10,15,"Machine-readable QC table with downstream scientific or publication readers."
"render_compartment_abundance_figures","results/figures/03_qc_exploration/04e_control_compartment_abundance_publication_figures/global/","results/qc/render_compartment_abundance_figures/global/plots","PLOT","analysis/qc/render_compartment_abundance_figures.R",54,17,10,15,"QC diagnostic figure. Normalized child is plots/: the layout contract reserves figures/ for the manuscript's assembled panels."
"render_compartment_abundance_figures","results/reports/03_qc_exploration/04e_control_compartment_abundance_publication_figures/global/","results/qc/render_compartment_abundance_figures/global/reports","REPORT","analysis/qc/render_compartment_abundance_figures.R",54,17,10,15,"Human-readable QC summary; no downstream scientific reader parses it as data."
