"provenance_source","baseline_row_id","file","current_line_start","current_line_end","syntactic_form","kind","artifact","construction_type","n_lines","intended_owner","intended_helper","classification","actionable","current_path_expression"
"original_oracle_176",NA,"analysis/integration/build_candidate_protein_shortlist.R",81,82,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/integration/export_module_protein_zoom_source_data.R",34,37,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",4,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"" )"
"original_oracle_176",NA,"analysis/integration/export_module_protein_zoom_source_data.R",222,222,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/integration/quantify_candidate_network_position.R",83,84,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/integration/render_module_circular_atlas.R",451,451,"path_results","tables","wgcna_supermodule_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""supermodules"", ""wgcna_supermodule_summary.csv"")"
"original_oracle_176",NA,"analysis/integration/render_module_circular_atlas.R",452,452,"path_results","tables","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""supermodules"", ""wgcna_module_supermodule_annotation.csv"")"
"original_oracle_176",NA,"analysis/integration/render_module_circular_atlas.R",456,456,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"")"
"original_oracle_176",NA,"analysis/integration/render_module_circular_atlas.R",722,722,"path_results","tables","wgcna_supermodule_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"", ""supermodules"", ""wgcna_supermodule_summary.csv"")"
"original_oracle_176",NA,"analysis/integration/render_module_circular_atlas.R",723,723,"path_results","tables","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"", ""supermodules"", ""wgcna_module_supermodule_annotation.csv"")"
"original_oracle_176",NA,"analysis/integration/render_module_circular_atlas.R",773,773,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"")"
"original_oracle_176",NA,"analysis/integration/summarize_enrichment_module_concordance.R",78,81,"path_results","tables","WGCNA_feature_universe.csv","EXACT_ARTIFACT",4,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_feature_universe.csv"" )"
"original_oracle_176",NA,"analysis/integration/summarize_enrichment_module_concordance.R",84,87,"path_results","tables","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT",4,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_GO_enrichment_long.csv"" )"
"original_oracle_176",NA,"analysis/integration/summarize_module_cross_compartment.R",44,44,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds)"
"supplemental_coverage",NA,"analysis/integration/summarize_module_cross_compartment.R",46,46,"alias","tables","WGCNA_module_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(base01, ""modules"", ""WGCNA_module_summary.csv"")"
"supplemental_coverage",NA,"analysis/integration/summarize_module_cross_compartment.R",47,47,"alias","tables","WGCNA_module_definitions_for_downstream.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(base01, ""modules"", ""WGCNA_module_definitions_for_downstream.csv"")"
"supplemental_coverage",NA,"analysis/integration/summarize_module_cross_compartment.R",48,48,"alias","tables","wgcna_supermodule_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(base01, ""supermodules"", ""wgcna_supermodule_summary.csv"")"
"supplemental_coverage",NA,"analysis/integration/summarize_module_cross_compartment.R",49,49,"alias","tables","supermodule_clustering_sensitivity.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(base01, ""supermodules"", ""supermodule_clustering_sensitivity.csv"")"
"supplemental_coverage",NA,"analysis/integration/summarize_module_cross_compartment.R",50,50,"alias","tables","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(base01, ""supermodules"", ""wgcna_module_supermodule_annotation.csv"")"
"original_oracle_176",NA,"analysis/integration/test_enrichment_module_concordance.R",62,65,"path_results","tables","WGCNA_feature_universe.csv","EXACT_ARTIFACT",4,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_feature_universe.csv"" )"
"original_oracle_176",NA,"analysis/integration/test_enrichment_module_concordance.R",66,69,"path_results","tables","WGCNA_module_preservation_summary.csv","EXACT_ARTIFACT",4,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_preservation_summary.csv"" )"
"original_oracle_176",NA,"analysis/publication_source_data/build_biological_claims_table.R",1590,1590,"path_results","tables","WGCNA_module_evidence_rank.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_evidence_rank.csv"")"
"original_oracle_176",NA,"analysis/publication_source_data/build_biological_claims_table.R",1591,1591,"path_results","tables","WGCNA_module_priority_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_priority_summary.csv"")"
"original_oracle_176",NA,"analysis/qc/summarize_marker_detectability.R",1024,1024,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"")"
"original_oracle_176",NA,"analysis/qc/summarize_marker_detectability.R",1025,1025,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset)"
"original_oracle_176",NA,"analysis/qc/summarize_marker_detectability.R",1027,1027,"path_processed","processed","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"")"
"original_oracle_176",NA,"analysis/spatial_validation/annotate_module_celltypes.R",70,71,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/spatial_validation/build_module_spatial_atlas.R",58,59,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/spatial_validation/build_module_spatial_atlas.R",60,61,"path_results","tables","WGCNA_feature_universe.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_feature_universe.csv"")"
"original_oracle_176",NA,"analysis/spatial_validation/quantify_bilateral_spatial_identity.R",179,180,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/wgcna/adjudicate_module_labels.R",63,63,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/wgcna/adjudicate_module_labels.R",64,64,"path_results","tables","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_module_GO_enrichment_long.csv"")"
"original_oracle_176",NA,"analysis/wgcna/adjudicate_module_labels.R",66,66,"path_results","tables","wgcna_supermodule_biological_coherence.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""supermodules"", ""wgcna_supermodule_biological_coherence.csv"")"
"supplemental_coverage",NA,"analysis/wgcna/audit_microglia_module_claims.R",93,93,"file.path","processed","wgcna_final_model_state.rds","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(repo_root, ""data/processed/06_modules_WGCNA/01_WGCNA/microglia/wgcna_final_model_state.rds"")"
"supplemental_coverage",NA,"analysis/wgcna/audit_microglia_module_claims.R",94,94,"file.path","tables","WGCNA_module_definitions_for_downstream.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(repo_root, ""results/tables/06_modules_WGCNA/01_WGCNA/microglia/modules/WGCNA_module_definitions_for_downstream.csv"")"
"supplemental_coverage",NA,"analysis/wgcna/audit_microglia_module_claims.R",124,124,"file.path","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"file.path(repo_root, ""results/tables/06_modules_WGCNA/01_WGCNA/microglia"")"
"supplemental_coverage",NA,"analysis/wgcna/audit_microglia_module_claims.R",182,182,"file.path","logs","wgcna_run_manifest.yml","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(repo_root, ""results/logs/06_modules_WGCNA/01_WGCNA/microglia/wgcna_run_manifest.yml"")"
"supplemental_coverage",NA,"analysis/wgcna/audit_microglia_module_claims.R",183,183,"file.path","logs","run_manifest.yml","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(repo_root, ""results/logs/06_modules_WGCNA/01_WGCNA/microglia/run_manifest.yml"")"
"supplemental_coverage",NA,"analysis/wgcna/audit_microglia_module_claims.R",185,185,"file.path","tables","supermodule_clustering_sensitivity.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(repo_root, ""results/tables/06_modules_WGCNA/01_WGCNA/microglia/supermodules/supermodule_clustering_sensitivity.csv"")"
"original_oracle_176",NA,"analysis/wgcna/audit_module_label_coherence.R",67,68,"path_results","tables","WGCNA_modules_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"original_oracle_176",NA,"analysis/wgcna/audit_module_label_coherence.R",71,72,"path_results","tables","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_GO_enrichment_long.csv"")"
"original_oracle_176",NA,"analysis/wgcna/audit_module_label_coherence.R",80,81,"path_results","tables","wgcna_supermodule_biological_coherence.csv","EXACT_ARTIFACT",2,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""supermodules"", ""wgcna_supermodule_biological_coherence.csv"")"
"original_oracle_176",NA,"analysis/wgcna/audit_module_robustness.R",131,131,"path_results","tables","WGCNA_module_preservation_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_module_preservation_summary.csv"")"
"original_oracle_176",NA,"analysis/wgcna/build_wgcna_modules.R",84,84,"path_processed","processed","wgcna_expression.xlsx","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile_early, ""inputs"", ""wgcna_expression.xlsx"")"
"original_oracle_176",NA,"analysis/wgcna/build_wgcna_modules.R",85,85,"path_processed","processed","wgcna_sample_info.xlsx","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile_early, ""inputs"", ""wgcna_sample_info.xlsx"")"
"original_oracle_176",NA,"analysis/wgcna/compare_module_enrichment_overlap.R",132,132,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"")"
"supplemental_coverage",NA,"analysis/wgcna/compare_module_enrichment_overlap.R",133,133,"alias","tables","WGCNA_module_definitions_for_downstream.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(wgcna_modules_dir, ""WGCNA_module_definitions_for_downstream.csv"")"
"supplemental_coverage",NA,"analysis/wgcna/compare_module_enrichment_overlap.R",134,134,"alias","tables","WGCNA_feature_universe.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(wgcna_modules_dir, ""WGCNA_feature_universe.csv"")"
"supplemental_coverage",NA,"analysis/wgcna/compare_module_enrichment_overlap.R",135,135,"alias","tables","WGCNA_module_priority_summary.csv","EXACT_ARTIFACT",1,"build_wgcna_modules","wgcna_modules_artifact","LIVE_READER",TRUE,"file.path(wgcna_modules_dir, ""WGCNA_module_priority_summary.csv"")"
"original_oracle_176",NA,"analysis/wgcna/render_module_go_heatmaps.R",50,50,"path_results","tables","<directory>","DIRECTORY",1,"build_wgcna_modules","wgcna_modules_dir / wgcna_supermodules_dir / wgcna_modules_scope_dir / wgcna_modules_scope_root","LIVE_READER",TRUE,"path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", DATASET, ""modules"")"
