"file","line_start","line_end","syntactic_form","artifact_family","kind","artifact","current_path_expression","access","active_runtime","has_wildcard","classification","intended_action","why_original_oracle_missed_it"
"R/wgcna/wgcna_paths.R",109,109,"path_processed","(root)","processed","<directory>","path_processed(WGCNA_LEGACY_STAGE)","read",FALSE,FALSE,"RESOLVER_DEFINITION","DEFERRED_later_batch","construction spelled as 'path_processed', not a literal path_results() call"
"R/wgcna/wgcna_paths.R",114,114,"path_results","(root)",NA,"<directory>","path_results(legacy_family, WGCNA_LEGACY_STAGE)","read",FALSE,FALSE,"RESOLVER_DEFINITION","DEFERRED_later_batch","file or site outside the oracle's 45-file path_results scan set"
"tests/testthat/test-wgcna-failed-run-export-guard.R",134,134,"path_results","(root)","figures","<directory>","path_results(""figures"", ""06_modules_WGCNA"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"analysis/integration/summarize_module_cross_compartment.R",46,46,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_summary.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/integration/summarize_module_cross_compartment.R",47,47,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_definitions_for_downstream.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/integration/summarize_module_cross_compartment.R",48,48,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_supermodule_summary.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/integration/summarize_module_cross_compartment.R",49,49,"converted_in_batch_3B","01_WGCNA",NA,"supermodule_clustering_sensitivity.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/integration/summarize_module_cross_compartment.R",50,50,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_module_supermodule_annotation.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/audit_microglia_module_claims.R",93,93,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_final_model_state.rds",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/audit_microglia_module_claims.R",94,94,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_definitions_for_downstream.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
