"baseline_consumer_file","dependency_kind","still_present","calls_wgcna_helper","final_scan_class","disposition"
"analysis/differential_abundance/annotate_neuropil_reference.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/audit_gsea_protein_direction.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/audit_stress_response_biology.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/build_go_program_atlas.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/build_sus_res_dap_atlas.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/compare_external_stress_signatures.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/compare_go_enrichment.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/run_clusterprofiler_enrichment.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/summarize_biological_programs.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/differential_abundance/test_microglia_targeted_signatures.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/integration/audit_animal_id_integrity.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/integration/build_candidate_protein_shortlist.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/build_cross_compartment_atlas.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/export_module_protein_zoom_source_data.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/quantify_candidate_network_position.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/render_module_circular_atlas.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"PROVENANCE_RECORD","PROVENANCE_RECORD"
"analysis/integration/summarize_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/summarize_module_cross_compartment.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/test_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/integration/test_module_behaviour_coupling.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/preprocessing/build_module_score_metadata.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/08_export_manuscript_figures.R","DOWNSTREAM_ANALYSIS",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/publication_source_data/09_export_source_data.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/build_biological_claims_table.R","DIRECT_READER|DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/publication_source_data/build_methods_summary.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/build_pride_manifest.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/build_sample_metadata.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/build_supplementary_tables.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/config/export_config.yml","CONFIG",TRUE,FALSE,"none","PROVENANCE_ORACLE"
"analysis/publication_source_data/export_processed_matrices.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/RUN_EXPORT.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/publication_source_data/validate_pride_submission.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/qc/summarize_marker_detectability.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/annotate_module_celltypes.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/audit_stress_identity_robustness.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/spatial_validation/build_module_spatial_atlas.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/build_spatial_data_contract.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/decompose_bilateral_variance.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/quantify_bilateral_spatial_identity.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/quantify_module_bilateral_identity.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/spatial_validation/quantify_neuropil_detection_context.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/spatial_validation/summarize_ca2_slm_robustness.R","DOWNSTREAM_ANALYSIS",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"analysis/wgcna/adjudicate_module_labels.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/annotate_module_microenvironment.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/audit_microglia_module_claims.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/audit_module_claim_readiness.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/audit_module_label_coherence.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/audit_module_robustness.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/build_curated_overlap_programs.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/build_module_identity_contract.R","DOWNSTREAM_ANALYSIS",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/build_module_label_registry.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/build_module_spatial_networks.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/build_wgcna_modules.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/compare_module_enrichment_overlap.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/render_microglia_independence_figures.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/render_microglia_module_figures.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/render_module_figures.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/render_module_go_heatmaps.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/score_module_activity.R","DIRECT_READER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/summarize_microglia_roi_specificity.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/summarize_module_complex_architecture.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/summarize_module_interpretation.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/summarize_module_scores.R","DOWNSTREAM_ANALYSIS|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/test_microglia_neuropil_independence.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"analysis/wgcna/test_module_phenotypes.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"audits/integration/07_gsea_wgcna_concordance_correction_audit.R","AUDIT_READER|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"audits/wgcna/proteomics_wgcna_downstream_audit.R","AUDIT_READER|INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"config/clusterProfiler_config.yml","CONFIG",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"config/compareGO_config.yml","CONFIG",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"config/output_layout.yml","CONFIG",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"pipeline.yml","CONFIG",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"R/data_contracts/dataset_inputs.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"R/data_contracts/publication_freeze_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"FREEZE_ORACLE","FREEZE_ORACLE"
"R/data_contracts/spatial_systems_endpoint_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/spatial/spatial_atlas_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/differential_abundance_paths.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"R/statistics/evidence_bundle_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/integration_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"R/statistics/wgcna_claim_readiness_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/wgcna_downstream_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/wgcna_group_effect_consumer_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"PROVENANCE_RECORD","PROVENANCE_RECORD"
"R/statistics/wgcna_group_effects_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/wgcna_identity_contract_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/wgcna_label_activation_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,TRUE,"none","NORMALIZED_READER"
"R/statistics/wgcna_label_adjudication_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"R/utilities/export_helpers.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"R/utilities/validation_utils.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"tests/smoke_test_active_script_contracts.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/smoke_test_dataset_resolution.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-analysis-publication-boundary.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
