"consumer","artifact_family","owner_analysis_id","normalized_consume","historical_consume","runtime_helper","normalized_producer_exists","policy"
"analysis/integration/build_candidate_protein_shortlist.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_modules_long.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_modules_long.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_candidate_protein_shortlist.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_cross_compartment_atlas.R","claim_readiness","audit_module_claim_readiness","results/wgcna/audit_module_claim_readiness/microglia/tables/WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","wgcna_claim_readiness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_cross_compartment_atlas.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/","results/tables/06_modules_WGCNA/interpretable_summary/","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_cross_compartment_atlas.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/","results/tables/06_modules_WGCNA/module_annotation/","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_cross_compartment_atlas.R","module_complex_architecture","summarize_module_complex_architecture","results/wgcna/summarize_module_complex_architecture/<dataset>/tables/","results/tables/06_modules_WGCNA/module_complex_architecture/","wgcna_complex_architecture_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_cross_compartment_atlas.R","module_robustness_sensitivity","audit_module_robustness","results/wgcna/audit_module_robustness/<dataset>/tables/","results/tables/06_modules_WGCNA/module_robustness_sensitivity/","wgcna_robustness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_evidence_priority_matrix.R","claim_readiness","audit_module_claim_readiness","results/wgcna/audit_module_claim_readiness/microglia/tables/WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","wgcna_claim_readiness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/build_evidence_priority_matrix.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/","results/tables/06_modules_WGCNA/interpretable_summary/","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/export_module_protein_zoom_source_data.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/neuron_neuropil/tables/modules/WGCNA_modules_long.csv","results/tables/06_modules_WGCNA/01_WGCNA/neuron_neuropil/modules/WGCNA_modules_long.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
