"analysis_id","registered","legacy_listed","dry_run_block","exit_in_block","first_write_before","first_compute_before","first_dest","classification","reason"
"adjudicate_module_labels",TRUE,FALSE,19,TRUE,NA,NA,12,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 19; destinations built at 12; nothing writes or computes above it"
"annotate_module_microenvironment",TRUE,FALSE,24,TRUE,NA,NA,24,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 24; destinations built at 24; nothing writes or computes above it"
"audit_microglia_module_claims",TRUE,FALSE,NA,FALSE,NA,NA,NA,"PATH_VERIFIED_STRUCTURALLY_ONLY","no dry-run handling at all"
"audit_module_claim_readiness",TRUE,FALSE,21,TRUE,NA,NA,16,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 21; destinations built at 16; nothing writes or computes above it"
"audit_module_label_coherence",TRUE,FALSE,20,TRUE,NA,NA,14,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 20; destinations built at 14; nothing writes or computes above it"
"audit_module_robustness",TRUE,FALSE,13,TRUE,NA,NA,11,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 13; destinations built at 11; nothing writes or computes above it"
"build_curated_overlap_programs",TRUE,FALSE,19,TRUE,17,NA,13,"PATH_VERIFIED_STRUCTURALLY_ONLY","writes at top-level expression 17, above the dry-run exit at 19"
"build_module_identity_contract",TRUE,FALSE,9,TRUE,NA,NA,7,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 9; destinations built at 7; nothing writes or computes above it"
"build_module_label_registry",TRUE,FALSE,14,TRUE,NA,NA,11,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 14; destinations built at 11; nothing writes or computes above it"
"build_module_spatial_networks",FALSE,TRUE,26,TRUE,NA,NA,19,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 26; destinations built at 19; nothing writes or computes above it"
"build_wgcna_modules",TRUE,FALSE,4,TRUE,NA,NA,4,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 4; destinations built at 4; nothing writes or computes above it"
"compare_module_enrichment_overlap",TRUE,FALSE,NA,FALSE,NA,NA,20,"PATH_VERIFIED_STRUCTURALLY_ONLY","handles dry-run but no top-level block both marks it and exits"
"compare_recurrent_module_proteins",TRUE,FALSE,24,TRUE,21,NA,18,"PATH_VERIFIED_STRUCTURALLY_ONLY","writes at top-level expression 21, above the dry-run exit at 24"
"render_microglia_independence_figures",TRUE,FALSE,27,TRUE,NA,NA,17,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 27; destinations built at 17; nothing writes or computes above it"
"render_microglia_module_figures",TRUE,FALSE,21,TRUE,NA,NA,16,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 21; destinations built at 16; nothing writes or computes above it"
"render_module_figures",TRUE,FALSE,20,TRUE,NA,NA,14,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 20; destinations built at 14; nothing writes or computes above it"
"render_module_go_heatmaps",TRUE,FALSE,34,TRUE,NA,NA,27,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 34; destinations built at 27; nothing writes or computes above it"
"score_module_activity",TRUE,FALSE,64,TRUE,46,NA,26,"PATH_VERIFIED_STRUCTURALLY_ONLY","writes at top-level expression 46, above the dry-run exit at 64"
"summarize_microglia_module_claims",TRUE,FALSE,NA,FALSE,NA,NA,NA,"PATH_VERIFIED_STRUCTURALLY_ONLY","no dry-run handling at all"
"summarize_microglia_roi_specificity",TRUE,FALSE,32,TRUE,NA,NA,19,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 32; destinations built at 19; nothing writes or computes above it"
"summarize_module_complex_architecture",TRUE,FALSE,10,TRUE,NA,NA,8,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 10; destinations built at 8; nothing writes or computes above it"
"summarize_module_interpretation",TRUE,FALSE,80,TRUE,NA,NA,78,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 80; destinations built at 78; nothing writes or computes above it"
"summarize_module_scores",TRUE,FALSE,NA,FALSE,NA,NA,30,"PATH_VERIFIED_STRUCTURALLY_ONLY","handles dry-run but no top-level block both marks it and exits"
"test_microglia_neuropil_independence",TRUE,FALSE,20,TRUE,NA,NA,15,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 20; destinations built at 15; nothing writes or computes above it"
"test_module_phenotypes",TRUE,FALSE,18,TRUE,NA,NA,9,"PATH_TESTABLE_NO_COMPUTE","dry-run block with exit at 18; destinations built at 9; nothing writes or computes above it"
