"artifact","owner_script","owner_analysis_id","source","normalized_child","physical_class","frozen_state_role","lifecycle_root","work_eligible","work_gate_reason"
"results/wgcna/build_wgcna_modules/<dataset>/tables/modules|results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv|results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_summary.csv|results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_GO_term_support_audit.csv|results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_biological_coherence.csv|results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_validation_summary.csv|results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/supermodule_clustering_sensitivity.csv","analysis/wgcna/build_wgcna_modules.R","build_wgcna_modules","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/render_module_go_heatmaps/<dataset>/tables|results/wgcna/render_module_go_heatmaps/<dataset>/plots","analysis/wgcna/render_module_go_heatmaps.R","render_module_go_heatmaps","pipeline.yml produces","tables|results","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/compare_recurrent_module_proteins/<dataset>/tables/recurrent_top_gene_drivers/overlapping_proteins_min3_spatial_units.xlsx","analysis/wgcna/compare_recurrent_module_proteins.R","compare_recurrent_module_proteins","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/build_curated_overlap_programs/global/tables","analysis/wgcna/build_curated_overlap_programs.R","build_curated_overlap_programs","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/score_module_activity/<dataset>/tables","analysis/wgcna/score_module_activity.R","score_module_activity","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/score_module_activity/<dataset>/tables/wgcna","analysis/wgcna/score_module_activity.R","score_module_activity","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/compare_module_enrichment_overlap/<dataset>/tables","analysis/wgcna/compare_module_enrichment_overlap.R","compare_module_enrichment_overlap","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/build_module_identity_contract/<dataset>/tables|results/wgcna/build_module_identity_contract/<dataset>/tables/source_data|results/wgcna/build_module_identity_contract/<dataset>/reports|results/wgcna/build_module_identity_contract/<dataset>/manifests","analysis/wgcna/build_module_identity_contract.R","build_module_identity_contract","pipeline.yml produces","tables|results","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/test_module_phenotypes/<dataset>/tables/module_group_effects.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_group_effects.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_composition.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_endpoint_provenance.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_model_validation.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_sample_inclusion_audit.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_animal_spatial_unit_values.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_hemisphere_values.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_interaction_conditional_followup.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_sensitivity.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_left_right_concordance.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_downstream_consumer_migration_audit.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_contract_status.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_pca_input_audit.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_pca_eigenvalues.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_pca_member_loadings.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/all_supermodule_eigengene_group_values.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/all_supermodule_eigengene_spatial_group_values.csv|results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_legacy_output_staleness_audit.csv","analysis/wgcna/test_module_phenotypes.R","test_module_phenotypes","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_biological_annotation.csv|results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_supermodule_biological_annotation.csv|results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_targeted_signature_overlap_details.csv","analysis/wgcna/annotate_module_microenvironment.R","annotate_module_microenvironment","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_interpretable_summary.xlsx|results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_label_candidates.csv|results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_final_label_lookup.csv|results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","analysis/wgcna/summarize_module_interpretation.R","summarize_module_interpretation","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/render_module_figures/microglia/plots/all_supermodule_architecture.svg|results/wgcna/render_module_figures/microglia/plots/all_supermodule_global_eigengenes.svg|results/wgcna/render_module_figures/microglia/plots/all_supermodule_sus_res_forest.svg|results/wgcna/render_module_figures/microglia/plots/all_supermodule_sus_res_spatial_heatmap.svg|results/wgcna/render_module_figures/microglia/plots/multi_supermodule_member_loadings.svg|results/wgcna/render_module_figures/microglia/plots/supplementary_all_contrast_effect_matrix.svg|results/wgcna/render_module_figures/microglia/tables/WGCNA_publication_figure_validation.csv","analysis/wgcna/render_module_figures.R","render_module_figures","pipeline.yml produces","plots","PLOT","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
