"file","line_start","line_end","artifact_family","historical_root","historical_artifact","construction_type","single_or_multiline","intended_helper","canonical_owner","child","kind","disposition","text"
"analysis/integration/render_module_circular_atlas.R",4799,4799,"(root)","results/tables/06_modules_WGCNA","","DIRECTORY_ROOT","single","UNMAPPED","UNMAPPED","tables","tables","PROVENANCE_RECORD_RETAINED","wgcna_tables_root = path_results(""tables"", ""06_modules_WGCNA""),"
"analysis/publication_source_data/08_export_manuscript_figures.R",43,43,"(root)","results/figures/06_modules_WGCNA","","DIRECTORY_ROOT","single","UNMAPPED","UNMAPPED","plots","figures","DIRECTORY_FALLBACK_NORMALIZED","path_results(""figures"", ""06_modules_WGCNA""),"
"analysis/qc/summarize_marker_detectability.R",1026,1026,"(root)","results/tables/06_modules_WGCNA","","DIRECTORY_ROOT","single","UNMAPPED","UNMAPPED","tables","tables","DIRECTORY_FALLBACK_NORMALIZED","path_results(""tables"", ""06_modules_WGCNA"", dataset),"
"analysis/wgcna/audit_module_claim_readiness.R",32,32,"(root)","results/tables/06_modules_WGCNA","","DIRECTORY_ROOT","single","UNMAPPED","UNMAPPED","tables","tables","STAGE_ROOT_REMOVED_ARTIFACT_READS_CONVERTED","TABLE_DIR <- path_results(""tables"", ""06_modules_WGCNA"")"
"analysis/wgcna/render_microglia_module_figures.R",27,27,"(root)","results/tables/06_modules_WGCNA","","DIRECTORY_ROOT","single","UNMAPPED","UNMAPPED","tables","tables","STAGE_ROOT_REMOVED_ARTIFACT_READS_CONVERTED","FILES <- resolve_wgcna_files(DATASET); TBL <- path_results(""tables"", ""06_modules_WGCNA"")"
"analysis/wgcna/score_module_activity.R",176,176,"(root)","results/tables/06_modules_WGCNA","","DIRECTORY_ROOT","single","UNMAPPED","UNMAPPED","tables","tables","DIRECTORY_FALLBACK_NORMALIZED","latest_roots = path_results(""tables"", ""06_modules_WGCNA""),"
"analysis/integration/build_candidate_protein_shortlist.R",80,81,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/integration/export_module_protein_zoom_source_data.R",36,39,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","module_membership = path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"" ),"
"analysis/integration/export_module_protein_zoom_source_data.R",227,227,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","membership_path <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/integration/quantify_candidate_network_position.R",83,84,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/integration/render_module_circular_atlas.R",450,450,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_supermodule_summary.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","supermodule_summary = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""supermodules"", ""wgcna_supermodule_summary.csv""),"
"analysis/integration/render_module_circular_atlas.R",451,451,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","module_supermodule_annotation = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""supermodules"", ""wgcna_module_supermodule_annotation.csv""),"
"analysis/integration/render_module_circular_atlas.R",455,455,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","modules_dir = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"")"
"analysis/integration/render_module_circular_atlas.R",721,721,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_supermodule_summary.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"", ""supermodules"", ""wgcna_supermodule_summary.csv""),"
"analysis/integration/render_module_circular_atlas.R",722,722,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"", ""supermodules"", ""wgcna_module_supermodule_annotation.csv""),"
"analysis/integration/render_module_circular_atlas.R",772,772,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","root <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"")"
"analysis/integration/summarize_enrichment_module_concordance.R",80,83,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_feature_universe.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","feature_universe = path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_feature_universe.csv"" ),"
"analysis/integration/summarize_enrichment_module_concordance.R",92,95,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","module_go = path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_GO_enrichment_long.csv"" ),"
"analysis/integration/summarize_module_cross_compartment.R",43,43,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","base01 <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds)"
"analysis/integration/test_enrichment_module_concordance.R",64,67,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_feature_universe.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","wgcna_universe = path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_feature_universe.csv"" ),"
"analysis/integration/test_enrichment_module_concordance.R",68,71,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_preservation_summary.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","module_preservation = path_results( ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_preservation_summary.csv"" )"
"analysis/publication_source_data/build_biological_claims_table.R",1595,1595,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_evidence_rank.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","expected_path = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_evidence_rank.csv""),"
"analysis/publication_source_data/build_biological_claims_table.R",1596,1596,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_priority_summary.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","fallback_paths = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_priority_summary.csv""),"
"analysis/qc/summarize_marker_detectability.R",1024,1024,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules""),"
"analysis/qc/summarize_marker_detectability.R",1025,1025,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset),"
"analysis/qc/summarize_marker_detectability.R",1027,1027,"01_WGCNA","data/processed/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","models","processed","CONVERTED_TO_OWNER_HELPER","path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"")"
"analysis/spatial_validation/annotate_module_celltypes.R",70,71,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/spatial_validation/build_module_spatial_atlas.R",57,58,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","membership = function(ds) path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv""),"
"analysis/spatial_validation/build_module_spatial_atlas.R",59,60,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_feature_universe.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","universe   = function(ds) path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_feature_universe.csv""),"
