"file","line","artifact_family","construction_spelling","why_oracle_missed_it","proposed_disposition","note"
"R/statistics/wgcna_group_effect_consumer_utils.R",719,"group_effects","file.path(""results"", ""tables"", ...)","no path_results token; oracle keyed on that call","CONVERT_LATER_BATCH","wgcna_inferential_handoff_source_artifact() has zero call sites today"
"audits/wgcna/proteomics_wgcna_downstream_audit.R",36,"group_effects","file.path(""results"", ""tables"", ...)","no path_results token; oracle keyed on that call","CONVERT_LATER_BATCH","live read in a standalone audit script"
"R/statistics/wgcna_identity_contract_utils.R",880,"group_effects","base(...) local alias for path_results(""tables"", ...)","path_results is behind a one-line local alias, so the token appears once","PROVENANCE_RECORD_REVIEW","records where the identity contract's inputs came from; belongs to the deferred 01_WGCNA adjudication"
"R/statistics/wgcna_identity_contract_utils.R",888,"group_effects","base(...) local alias for path_results(""tables"", ...)","path_results is behind a one-line local alias, so the token appears once","PROVENANCE_RECORD_REVIEW","records where the identity contract's inputs came from; belongs to the deferred 01_WGCNA adjudication"
"R/statistics/wgcna_identity_contract_utils.R",896,"group_effects","base(...) local alias for path_results(""tables"", ...)","path_results is behind a one-line local alias, so the token appears once","PROVENANCE_RECORD_REVIEW","records where the identity contract's inputs came from; belongs to the deferred 01_WGCNA adjudication"
"R/statistics/wgcna_identity_contract_utils.R",904,"module_annotation","base(...) local alias for path_results(""tables"", ...)","path_results is behind a one-line local alias, so the token appears once","PROVENANCE_RECORD_REVIEW","records where the identity contract's inputs came from; belongs to the deferred 01_WGCNA adjudication"
"R/statistics/wgcna_identity_contract_utils.R",912,"module_annotation","base(...) local alias for path_results(""tables"", ...)","path_results is behind a one-line local alias, so the token appears once","PROVENANCE_RECORD_REVIEW","records where the identity contract's inputs came from; belongs to the deferred 01_WGCNA adjudication"
"tools/audit_wgcna_support_status.R",25,"group_effects","Sys.glob(file.path(repo_root(), ""results"", ...))","oracle did not scan tools/","CONVERT_LATER_BATCH","Sys.glob over the historical tree; same class as the export_config defect fixed earlier"
"tests/testthat/test-wgcna-group-effects-contract.R",20,"group_effects","path_results(""tables"", ...) in a test fixture","oracle did not scan tests/","TEST_FIXTURE_RETAINED","fixture asserts the historical contract on purpose"
"tests/testthat/test-wgcna-circular-atlas-tier-specific-fdr.R",504,"group_effects","path_results(""tables"", ...) in a test fixture","oracle did not scan tests/","TEST_FIXTURE_RETAINED","fixture asserts the historical contract on purpose"
"tests/smoke_test_active_script_contracts.R",119,"module_annotation","path_results(""tables"", ...) in a test fixture","oracle did not scan tests/","TEST_FIXTURE_RETAINED","fixture asserts the historical contract on purpose"
"tests/smoke_test_active_script_contracts.R",127,"module_annotation","path_results(""tables"", ...) in a test fixture","oracle did not scan tests/","TEST_FIXTURE_RETAINED","fixture asserts the historical contract on purpose"
"tests/testthat/test-export-dry-run-hygiene.R",116,"group_effects","file.path(root, ""results"", ""figures"", ...) in a test fixture","oracle did not scan tests/","TEST_FIXTURE_RETAINED","figures path, not tables; fixture only"
"tests/testthat/test-export-dry-run-hygiene.R",238,"group_effects","file.path(root, ""results"", ""figures"", ...) in a test fixture","oracle did not scan tests/","TEST_FIXTURE_RETAINED","figures path, not tables; fixture only"
