"artifact_family","consumer_file","line","artifact","scope","classification","why"
"01_WGCNA","analysis/integration/build_candidate_protein_shortlist.R",80,"modules/WGCNA_modules_long.csv","<dataset> (neuron_neuropil, neuron_soma, microglia via integration_datasets)","LIVE_READER","membership_path(); canonical module membership is the join key for the candidate shortlist. Every sibling input on lines 82-91 already goes through integration_find(); only the WGCNA read is still hand-built with path_results()."
"01_WGCNA","analysis/integration/export_module_protein_zoom_source_data.R",37,"modules/WGCNA_modules_long.csv","neuron_neuropil","LIVE_READER","dry_inputs$module_membership: the --dry-run input declaration probed with file.exists."
"01_WGCNA","analysis/integration/export_module_protein_zoom_source_data.R",227,"modules/WGCNA_modules_long.csv","neuron_neuropil","LIVE_READER","membership_path; read_required() plus file_hash_sha256() recorded into figure3_validation as 'canonical_module_membership_rows_unique' with severity 'stop'. The resolved path is hashed into a manuscript validation record, so a substituted object changes a published provenance hash."
"01_WGCNA","analysis/integration/quantify_candidate_network_position.R",83,"modules/WGCNA_modules_long.csv","<dataset>","LIVE_READER","membership_path(); module membership defines the permutation universe for network-position statistics."
"01_WGCNA","analysis/integration/render_module_circular_atlas.R",450,"supermodules/wgcna_supermodule_summary.csv, supermodules/wgcna_module_supermodule_annotation.csv, modules/ (directory)","<dataset>","LIVE_READER","dataset_source_paths() lines 450-455; the modules_dir entry is globbed at line 785 for genes_in_module_<color>.csv to compute n_proteins per supermodule."
"01_WGCNA","analysis/integration/render_module_circular_atlas.R",721,"supermodules/wgcna_supermodule_summary.csv, supermodules/wgcna_module_supermodule_annotation.csv","neuron_neuropil","LIVE_READER","build_neuropil_availability_audit(): file.exists() probe plus a recommended_action that names build_wgcna_modules.R as producer. Will report 'producer_registered_but_output_absent' for every future normalized run."
"01_WGCNA","analysis/integration/render_module_circular_atlas.R",772,"the 01_WGCNA root directory itself (list.dirs of the scope slot)","all — enumerates scope directories under the historical root","LIVE_READER","available_datasets() lists directories under results/tables/06_modules_WGCNA/01_WGCNA and intersects with valid_datasets(). That intersect (R/data_contracts/dataset_config.R:3-5) is the only thing stopping microglia_failed_20260720_133211 from becoming a dataset."
"01_WGCNA","analysis/integration/summarize_enrichment_module_concordance.R",81,"modules/WGCNA_feature_universe.csv","<dataset>","LIVE_READER","dataset_inputs$feature_universe: the protein universe for GSEA/WGCNA concordance testing."
"01_WGCNA","analysis/integration/summarize_enrichment_module_concordance.R",93,"modules/WGCNA_module_GO_enrichment_long.csv","<dataset>","LIVE_READER","dataset_inputs$module_go: module GO evidence joined to GSEA themes."
"01_WGCNA","analysis/integration/summarize_module_cross_compartment.R",43,"base01 = 01_WGCNA/<ds>, used for modules/WGCNA_module_summary.csv, modules/WGCNA_module_definitions_for_downstream.csv, supermodules/wgcna_supermodule_summary.csv, supermodules/supermodule_clustering_sensitivity.csv, supermodules/wgcna_module_supermodule_annotation.csv","<dataset>","LIVE_READER","input_spec(): four of these five are required = TRUE, so the script stops if the family is unreachable."
"01_WGCNA","analysis/integration/test_enrichment_module_concordance.R",65,"modules/WGCNA_feature_universe.csv","<dataset>","LIVE_READER","dataset_inputs$wgcna_universe; pipeline.yml:1327 declares it consumes_required."
"01_WGCNA","analysis/integration/test_enrichment_module_concordance.R",69,"modules/WGCNA_module_preservation_summary.csv","<dataset>","LIVE_READER","dataset_inputs$module_preservation; pipeline.yml:1317 declares it consumes_optional."
"01_WGCNA","analysis/publication_source_data/build_biological_claims_table.R",1595,"modules/WGCNA_module_evidence_rank.csv (expected) and modules/WGCNA_module_priority_summary.csv (fallback, line 1596)","<dataset>","LIVE_READER","collect_wgcna_claims() via resolve_input_path(required = TRUE, producer_script_or_artifact_id = 'analysis/wgcna/build_wgcna_modules.R'). Feeds results/tables/biological_claims_table.csv."
"01_WGCNA","analysis/publication_source_data/config/export_config.yml",104,"results/tables/06_modules_WGCNA/01_WGCNA/*/modules/WGCNA_module_evidence_rank.csv","* — wildcard in the scope slot, unguarded","LIVE_READER","supplementary_table_globs, consumed by analysis/publication_source_data/build_supplementary_tables.R (load_export_config() at line 20). This is the single unguarded scope wildcard over the family, and it currently matches the failed-run directory as well as the three real datasets (verified on disk)."
"01_WGCNA","analysis/qc/summarize_marker_detectability.R",1013,"modules/ and 01_WGCNA/<dataset>/ directories, plus data/processed/.../01_WGCNA/<dataset>/modules (line 1016), scanned recursively","<dataset>","LIVE_READER","find_wgcna_modules() roots vector (lines 1012-1017); list.files(recursive = TRUE, ignore.case = TRUE) against four loose regexes ('.*modules.*\\.(csv|tsv)$' among them) and then takes files[[1]]. The first root that dir.exists() wins, and the first matching filename inside it wins."
"01_WGCNA","analysis/qc/summarize_marker_detectability.R",1041,"data/processed/06_modules_WGCNA/01_WGCNA/<dataset>/wgcna_final_model_state.rds","<dataset>","LIVE_READER","find_wgcna_state(); the frozen network state read for the optional marker-enrichment bridge."
"01_WGCNA","analysis/spatial_validation/annotate_module_celltypes.R",70,"modules/WGCNA_modules_long.csv","all three (DATASETS <- valid_datasets() at line 73)","LIVE_READER","membership_path(); pipeline.yml:1338 declares it consumes_required. The only WGCNA input of the EWCE cell-type annotation."
"01_WGCNA","analysis/spatial_validation/build_module_spatial_atlas.R",57,"modules/WGCNA_modules_long.csv","<dataset>","LIVE_READER","P$membership(); pipeline.yml:1349-area declares it consumes_required. Every other P$ entry for the spatial-systems families already uses spatial_systems_find()."
"01_WGCNA","analysis/spatial_validation/build_module_spatial_atlas.R",59,"modules/WGCNA_feature_universe.csv","<dataset>","LIVE_READER","P$universe(); the background universe for spatial enrichment."
"01_WGCNA","analysis/spatial_validation/quantify_bilateral_spatial_identity.R",179,"modules/WGCNA_modules_long.csv","all three (looped over DATASETS)","LIVE_READER","sym_lut: reads ProteinGroupID/GeneSymbol/gene_level_claim_allowed and gates gene-level naming on the gene_level_claim_allowed flag. If the file is not found the branch returns NULL and every GeneSymbol is silently dropped rather than erroring."
"01_WGCNA","analysis/spatial_validation/summarize_ca2_slm_robustness.R",377,"any path matching 'wgcna_final_model_state|06_modules_WGCNA/01_WGCNA' in git status --porcelain","all","PROVENANCE_ORACLE","add('wgcna_state_unchanged', ...): asserts that no frozen WGCNA state or membership file under the historical family is modified in the working tree. A path assertion over the family, not a file read."
"01_WGCNA","analysis/spatial_validation/validate_network_workbook.R",268,"any path matching '04_differential|01_WGCNA[.]r|wgcna_final_model_state' in git status --porcelain","all","PROVENANCE_ORACLE","add('no_da_or_wgcna_changes', ...). Note the '01_WGCNA[.]r' alternative matches only the legacy script filename 01_WGCNA.r, not the family directory; the family is covered here solely by the 'wgcna_final_model_state' alternative, so this guard is weaker than the one in summarize_ca2_slm_robustness.R:377."
"01_WGCNA","analysis/wgcna/adjudicate_module_labels.R",63,"modules/WGCNA_modules_long.csv","<dataset>","LIVE_READER","membership_path(); the raw Stage-01 membership that label adjudication operates on. Its writer side already calls wgcna_dirs('adjudicate_module_labels', ...) at line 72."
"01_WGCNA","analysis/wgcna/adjudicate_module_labels.R",64,"modules/WGCNA_module_GO_enrichment_long.csv","<dataset>","LIVE_READER","go_path(); GO evidence for proposed labels."
"01_WGCNA","analysis/wgcna/adjudicate_module_labels.R",66,"supermodules/wgcna_supermodule_biological_coherence.csv","<dataset>","LIVE_READER","structural_path(); supermodule coherence evidence (consumes_optional, pipeline.yml)."
"01_WGCNA","analysis/wgcna/audit_microglia_module_claims.R",92,"data/processed/.../01_WGCNA/microglia/wgcna_final_model_state.rds and results/tables/.../01_WGCNA/microglia/modules/WGCNA_module_definitions_for_downstream.csv (line 93)","microglia only (hard-coded string literals, not path_results())","LIVE_READER","Both are in required_inputs (lines 106-110) with a hard stop on absence, and the state is md5-summed into reference_state_md5 (line 113). The only WGCNA reads in this script written as raw string literals under repo_root."
"01_WGCNA","analysis/wgcna/audit_microglia_module_claims.R",119,"results/tables/06_modules_WGCNA/01_WGCNA/microglia (whole subtree, recursive list.files)","microglia","PROVENANCE_ORACLE","protected_roots (lines 116-122) -> protected_files -> protected_before/after md5 table written to results/reviewer_audit/microglia_wgcna_nature_readiness/protected_output_hash_audit.csv. This read exists to prove the tree was not modified by the run. It must keep pointing at the historical location for as long as that is where the audited bytes live."
"01_WGCNA","analysis/wgcna/audit_microglia_module_claims.R",177,"results/logs/06_modules_WGCNA/01_WGCNA/microglia/wgcna_run_manifest.yml and .../run_manifest.yml (line 178)","microglia","LIVE_READER","manifest_paths: the historical supermodule cut height is read out of the run manifest rather than from the current code default, so the manifest is the interpretation authority for the frozen membership."
"01_WGCNA","analysis/wgcna/audit_microglia_module_claims.R",180,"supermodules/supermodule_clustering_sensitivity.csv","microglia","LIVE_READER","sensitivity_path; md5-hashed as provenance for the cut-height adjudication."
"01_WGCNA","analysis/wgcna/audit_module_label_coherence.R",67,"modules/WGCNA_modules_long.csv","<dataset>","LIVE_READER","membership_path()."
"01_WGCNA","analysis/wgcna/audit_module_label_coherence.R",71,"modules/WGCNA_module_GO_enrichment_long.csv","<dataset>","LIVE_READER","go_path()."
