"consumer_file","line_start","artifact_family","dataset_scope","artifact","old_resolved_path","new_resolved_path_today","same_path","runtime_composed_filename","normalized_exists","historical_exists","adjudication"
"analysis/integration/export_module_protein_zoom_source_data.R",45,"01b_module_supermodule_GO_heatmaps","neuron_neuropil","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",45,"01b_module_supermodule_GO_heatmaps","neuron_soma","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",45,"01b_module_supermodule_GO_heatmaps","microglia","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",466,"01b_module_supermodule_GO_heatmaps","neuron_neuropil","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",466,"01b_module_supermodule_GO_heatmaps","neuron_soma","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",466,"01b_module_supermodule_GO_heatmaps","microglia","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",514,"01b_module_supermodule_GO_heatmaps","neuron_neuropil","WGCNA_supermodule_GO_focused_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_supermodule_GO_focused_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_supermodule_GO_focused_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",514,"01b_module_supermodule_GO_heatmaps","neuron_soma","WGCNA_supermodule_GO_focused_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_supermodule_GO_focused_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_supermodule_GO_focused_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/export_module_protein_zoom_source_data.R",514,"01b_module_supermodule_GO_heatmaps","microglia","WGCNA_supermodule_GO_focused_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_supermodule_GO_focused_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_supermodule_GO_focused_source_BP.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/render_module_go_heatmaps.R",60,"01b_module_supermodule_GO_heatmaps","neuron_neuropil","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,TRUE,FALSE,TRUE,NA
"analysis/wgcna/render_module_go_heatmaps.R",60,"01b_module_supermodule_GO_heatmaps","neuron_soma","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_soma/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,TRUE,FALSE,TRUE,NA
"analysis/wgcna/render_module_go_heatmaps.R",60,"01b_module_supermodule_GO_heatmaps","microglia","WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/microglia/WGCNA_module_GO_heatmap_source_BP.csv",TRUE,TRUE,FALSE,TRUE,NA
"analysis/integration/test_enrichment_module_concordance.R",89,"04_wgcna_de_gsea_overlap","microglia","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/publication_source_data/build_biological_claims_table.R",1742,"04_wgcna_de_gsea_overlap","neuron_neuropil","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/publication_source_data/build_biological_claims_table.R",1742,"04_wgcna_de_gsea_overlap","neuron_soma","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/publication_source_data/build_biological_claims_table.R",1742,"04_wgcna_de_gsea_overlap","microglia","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_wgcna_modules.R",4385,"04_wgcna_de_gsea_overlap","neuron_neuropil","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_wgcna_modules.R",4385,"04_wgcna_de_gsea_overlap","neuron_soma","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_wgcna_modules.R",4385,"04_wgcna_de_gsea_overlap","microglia","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/summarize_module_interpretation.R",1401,"04_wgcna_de_gsea_overlap","neuron_neuropil","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/summarize_module_interpretation.R",1401,"04_wgcna_de_gsea_overlap","neuron_soma","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/summarize_module_interpretation.R",1401,"04_wgcna_de_gsea_overlap","microglia","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/summarize_module_interpretation.R",2212,"04_wgcna_de_gsea_overlap","neuron_neuropil","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_neuropil/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/summarize_module_interpretation.R",2212,"04_wgcna_de_gsea_overlap","neuron_soma","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/neuron_soma/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/summarize_module_interpretation.R",2212,"04_wgcna_de_gsea_overlap","microglia","WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/microglia/WGCNA_vs_DE_GSEA_overlap.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/test_enrichment_module_concordance.R",77,"claim_readiness","microglia","WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv",TRUE,FALSE,FALSE,TRUE,NA
"R/statistics/wgcna_claim_readiness_utils.R",11,"claim_readiness","microglia","WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/score_module_activity.R",173,"curated_overlap_programs","global","curated_overlap_programs.xlsx","results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx","results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/score_module_activity.R",175,"curated_overlap_programs","global","Overlap_based_neuropil_modules_classified.xlsx","results/tables/06_modules_WGCNA/curated_overlap_programs/global/Overlap_based_neuropil_modules_classified.xlsx","results/tables/06_modules_WGCNA/curated_overlap_programs/global/Overlap_based_neuropil_modules_classified.xlsx",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/score_module_activity.R",271,"curated_overlap_programs","global","curated_overlap_programs.xlsx","results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx","results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx",TRUE,FALSE,FALSE,TRUE,NA
