"domain","analysis_id","entrypoint","canonical_output","n_declared_outputs","actual_resolved_write_root","expected_write_root","n_layout_api_calls","n_legacy_writes","legacy_write","declared_normalized","migration_status"
"preprocessing","map_protein_identifiers","analysis/preprocessing/map_protein_identifiers.R","results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/per_file/*.csv | results/preprocessing/map_protein_identifiers/<dataset>/tables/mapped/forward/summaries/*.csv",2,"no write destination constructed in this file","results/preprocessing/map_protein_identifiers/",0,0,FALSE,TRUE,"DELEGATED"
"publication_source_data","build_methods_summary","analysis/publication_source_data/build_methods_summary.R","pride_submission/methods/methods_summary.md | pride_submission/methods/software_versions.tsv | pride_submission/methods/pipeline_steps.tsv",4,"no write destination constructed in this file","results/publication_source_data/build_methods_summary/",0,0,FALSE,TRUE,"DELEGATED"
"publication_source_data","build_pride_manifest","analysis/publication_source_data/build_pride_manifest.R","pride_submission/manifests/pride_file_manifest.tsv",1,"no write destination constructed in this file","results/publication_source_data/build_pride_manifest/",0,0,FALSE,TRUE,"DELEGATED"
"publication_source_data","build_sample_metadata","analysis/publication_source_data/build_sample_metadata.R","pride_submission/metadata/sample_metadata.tsv | pride_submission/metadata/sdrf_like_metadata.tsv",2,"no write destination constructed in this file","results/publication_source_data/build_sample_metadata/",0,0,FALSE,TRUE,"DELEGATED"
"publication_source_data","build_supplementary_tables","analysis/publication_source_data/build_supplementary_tables.R","pride_submission/supplementary_tables/",1,"no write destination constructed in this file","results/publication_source_data/build_supplementary_tables/",0,0,FALSE,TRUE,"DELEGATED"
"publication_source_data","export_processed_matrices","analysis/publication_source_data/export_processed_matrices.R","pride_submission/processed_data/ | pride_submission/processed_data/data_dictionary_processed_matrices.tsv",2,"no write destination constructed in this file","results/publication_source_data/export_processed_matrices/",0,0,FALSE,TRUE,"DELEGATED"
"publication_source_data","validate_pride_submission","analysis/publication_source_data/validate_pride_submission.R","pride_submission/validation/validation_report.tsv | pride_submission/validation/validation_summary.md",2,"no write destination constructed in this file","results/publication_source_data/validate_pride_submission/",0,0,FALSE,TRUE,"DELEGATED"
"qc","render_compartment_abundance_figures","analysis/qc/render_compartment_abundance_figures.R","results/qc/render_compartment_abundance_figures/global/tables/source_data | results/qc/render_compartment_abundance_figures/global/plots | results/qc/render_compartment_abundance_figures/global/reports",3,"no write destination constructed in this file","results/qc/render_compartment_abundance_figures/",0,0,FALSE,TRUE,"DELEGATED"
"wgcna","audit_microglia_module_claims","analysis/wgcna/audit_microglia_module_claims.R","results/wgcna/audit_microglia_module_claims/global/reports/WGCNA_nature_readiness_report.md | results/wgcna/audit_microglia_module_claims/global/tables/module_robustness_consensus.csv | results/wgcna/audit_microglia_module_claims/global/tables/higher_order_block_readiness_summary.csv",3,"no write destination constructed in this file","results/wgcna/audit_microglia_module_claims/",0,0,FALSE,TRUE,"DELEGATED"
"wgcna","summarize_microglia_module_claims","analysis/wgcna/summarize_microglia_module_claims.R","results/wgcna/summarize_microglia_module_claims/global/tables/finalization_validation.csv",1,"no write destination constructed in this file","results/wgcna/summarize_microglia_module_claims/",0,0,FALSE,TRUE,"DELEGATED"
"differential_abundance","annotate_neuropil_reference","analysis/differential_abundance/annotate_neuropil_reference.R","results/differential_abundance/annotate_neuropil_reference/<dataset>/tables",1,"results/differential_abundance/annotate_neuropil_reference/","results/differential_abundance/annotate_neuropil_reference/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","audit_gsea_protein_direction","analysis/differential_abundance/audit_gsea_protein_direction.R","results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_term_direction_audit.csv | results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_contrast_direction_summary.csv | results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/ora_pooled_direction_warning.csv",5,"results/differential_abundance/audit_gsea_protein_direction/","results/differential_abundance/audit_gsea_protein_direction/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","audit_stress_response_biology","analysis/differential_abundance/audit_stress_response_biology.R","results/differential_abundance/audit_stress_response_biology/global/tables | results/differential_abundance/audit_stress_response_biology/global/tables/source_data | results/differential_abundance/audit_stress_response_biology/global/plots",5,"results/differential_abundance/audit_stress_response_biology/","results/differential_abundance/audit_stress_response_biology/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","build_go_program_atlas","analysis/differential_abundance/build_go_program_atlas.R","results/differential_abundance/build_go_program_atlas/global/tables/spatial_program_summary.csv | results/differential_abundance/build_go_program_atlas/global/tables/compareGO_spatial_program_atlas_tables.xlsx | results/differential_abundance/build_go_program_atlas/global/tables/sus_res_manuscript_theme_summary.csv",6,"results/differential_abundance/build_go_program_atlas/","results/differential_abundance/build_go_program_atlas/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","build_sus_res_dap_atlas","analysis/differential_abundance/build_sus_res_dap_atlas.R","results/differential_abundance/build_sus_res_dap_atlas/global/tables/sus_res_manuscript_theme_summary.csv | results/differential_abundance/build_sus_res_dap_atlas/global/tables | results/differential_abundance/build_sus_res_dap_atlas/global/tables/source_data",6,"results/differential_abundance/build_sus_res_dap_atlas/","results/differential_abundance/build_sus_res_dap_atlas/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","compare_external_stress_signatures","analysis/differential_abundance/compare_external_stress_signatures.R","results/differential_abundance/compare_external_stress_signatures/global/tables/external_stress_disease_signature_overlap.csv | results/differential_abundance/compare_external_stress_signatures/global/tables/source_data/external_stress_disease_signature_overlap.csv | results/differential_abundance/compare_external_stress_signatures/global/manifests/run_manifest.yml",3,"results/differential_abundance/compare_external_stress_signatures/","results/differential_abundance/compare_external_stress_signatures/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","compare_go_enrichment","analysis/differential_abundance/compare_go_enrichment.R","results/differential_abundance/compare_go_enrichment/<dataset>/models/compareGO_input_manifest.csv | results/differential_abundance/compare_go_enrichment/<dataset>/tables",2,"results/differential_abundance/compare_go_enrichment/","results/differential_abundance/compare_go_enrichment/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","run_clusterprofiler_enrichment","analysis/differential_abundance/run_clusterprofiler_enrichment.R","results/differential_abundance/run_clusterprofiler_enrichment/<dataset>/models/clusterProfiler_manifest.csv",1,"results/differential_abundance/run_clusterprofiler_enrichment/","results/differential_abundance/run_clusterprofiler_enrichment/",2,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","summarize_biological_programs","analysis/differential_abundance/summarize_biological_programs.R","results/differential_abundance/summarize_biological_programs/<dataset>/tables/program_summary.csv",1,"results/differential_abundance/summarize_biological_programs/","results/differential_abundance/summarize_biological_programs/",1,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","test_microglia_targeted_signatures","analysis/differential_abundance/test_microglia_targeted_signatures.R","results/differential_abundance/test_microglia_targeted_signatures/microglia/tables",1,"results/differential_abundance/test_microglia_targeted_signatures/","results/differential_abundance/test_microglia_targeted_signatures/",2,0,FALSE,TRUE,"MIGRATED"
"differential_abundance","validate_control_spatial_identity","analysis/differential_abundance/validate_control_spatial_identity.R","results/differential_abundance/validate_control_spatial_identity/global/tables | results/differential_abundance/validate_control_spatial_identity/global/tables/source_data | results/differential_abundance/validate_control_spatial_identity/global/plots",4,"results/differential_abundance/validate_control_spatial_identity/","results/differential_abundance/validate_control_spatial_identity/",1,0,FALSE,TRUE,"MIGRATED"
"enrichment","run_ewce_celltype_enrichment","analysis/enrichment/run_ewce_celltype_enrichment.R","results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables/ | results/enrichment/run_ewce_celltype_enrichment/<dataset>/plots/ | results/enrichment/run_ewce_celltype_enrichment/<dataset>/models/",5,"results/enrichment/run_ewce_celltype_enrichment/","results/enrichment/run_ewce_celltype_enrichment/",2,0,FALSE,TRUE,"MIGRATED"
