"dataset","manifest","field","field_kind","row_key","manifest_row","analysis_status","declared_path","declared_length","active_reader","required_for_runtime","current_declared_status","rebased_path","rebased_length","rebased_status","rebased_exists_physically","rebased_bytes","needs_staging","rationale"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA1microgliares_CA1microgliacon|GSEA_GO|BP",1,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon_full.csv",167,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon_full.csv",233,"present",TRUE,1252064,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA1microgliares_CA1microgliacon|GSEA_KEGG|KEGG",2,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon_KEGG.csv",169,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon_KEGG.csv",235,"present",TRUE,86278,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA1microgliasus_CA1microgliacon|GSEA_GO|BP",3,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon_full.csv",167,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon_full.csv",233,"present",TRUE,1162552,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA1microgliasus_CA1microgliacon|GSEA_KEGG|KEGG",4,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon_KEGG.csv",169,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon_KEGG.csv",235,"present",TRUE,82093,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA1microgliasus_CA1microgliares|GSEA_GO|BP",5,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares_full.csv",167,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares_full.csv",233,"present",TRUE,1230698,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA1microgliasus_CA1microgliares|GSEA_KEGG|KEGG",6,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares_KEGG.csv",169,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares_KEGG.csv",235,"present",TRUE,84738,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA2microgliares_CA2microgliacon|GSEA_GO|BP",7,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon_full.csv",167,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon_full.csv",233,"present",TRUE,1188698,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA2microgliares_CA2microgliacon|GSEA_KEGG|KEGG",8,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon_KEGG.csv",169,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon_KEGG.csv",235,"present",TRUE,85310,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA2microgliasus_CA2microgliacon|GSEA_GO|BP",9,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon_full.csv",167,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/BP/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon_full.csv",233,"present",TRUE,1207325,FALSE,"runtime-required and the rebased path is directly usable"
"microglia","data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/clusterProfiler_manifest.csv","output_table","runtime_required","CA2microgliasus_CA2microgliacon|GSEA_KEGG|KEGG",10,"success_with_terms","P://results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon_KEGG.csv",169,"R/enrichment/enrichment_io.R:611 read_csv_contract | analysis/wgcna/compare_module_enrichment_overlap.R:239 read_leading_edge_set",TRUE,"declared_root_unmounted","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/microglia/KEGG/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon_KEGG.csv",235,"present",TRUE,86314,FALSE,"runtime-required and the rebased path is directly usable"
