"dataset","field","declared_path","source","source_sha256","staged_path","staged_sha256","same_hash","source_bytes","staged_bytes","staged_path_chars","same_size"
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","de653671b3a14d009caa5ea0599d53c9803b7cc3c7df3e2cdfaa9d4f4e230221","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/d9a347b268c8/collapsed_gene_input.csv","de653671b3a14d009caa5ea0599d53c9803b7cc3c7df3e2cdfaa9d4f4e230221",TRUE,1377357,1377357,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliares_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","de653671b3a14d009caa5ea0599d53c9803b7cc3c7df3e2cdfaa9d4f4e230221","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/d9a347b268c8/collapsed_gene_input.csv","de653671b3a14d009caa5ea0599d53c9803b7cc3c7df3e2cdfaa9d4f4e230221",TRUE,1377357,1377357,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","1aa1a344596bf28c69ee7ad25818a243b94c8d8078f812989382b18cad3b70ba","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/979ffea5aaa4/collapsed_gene_input.csv","1aa1a344596bf28c69ee7ad25818a243b94c8d8078f812989382b18cad3b70ba",TRUE,1380377,1380377,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliacon/protein_group_audits/collapsed_gene_input.csv","1aa1a344596bf28c69ee7ad25818a243b94c8d8078f812989382b18cad3b70ba","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/979ffea5aaa4/collapsed_gene_input.csv","1aa1a344596bf28c69ee7ad25818a243b94c8d8078f812989382b18cad3b70ba",TRUE,1380377,1380377,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares/protein_group_audits/collapsed_gene_input.csv","2b305f848bede03dcfe9c489db316314cf71feda07bdb71849df610910f24a33","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/6eed20c530e4/collapsed_gene_input.csv","2b305f848bede03dcfe9c489db316314cf71feda07bdb71849df610910f24a33",TRUE,1382252,1382252,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA1_microglia/CA1microgliasus_CA1microgliares/protein_group_audits/collapsed_gene_input.csv","2b305f848bede03dcfe9c489db316314cf71feda07bdb71849df610910f24a33","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/6eed20c530e4/collapsed_gene_input.csv","2b305f848bede03dcfe9c489db316314cf71feda07bdb71849df610910f24a33",TRUE,1382252,1382252,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","43718f5aac126d9173e8b33ba0273b57162e30d715161fc09c1ac0899e0162b8","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/b4d119d2d324/collapsed_gene_input.csv","43718f5aac126d9173e8b33ba0273b57162e30d715161fc09c1ac0899e0162b8",TRUE,1377861,1377861,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliares_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","43718f5aac126d9173e8b33ba0273b57162e30d715161fc09c1ac0899e0162b8","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/b4d119d2d324/collapsed_gene_input.csv","43718f5aac126d9173e8b33ba0273b57162e30d715161fc09c1ac0899e0162b8",TRUE,1377861,1377861,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","3c94714986564b737854c3912df2e1e25dd261ca3faf08367e5c3faa75fa4d37","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/2a5a9cbfa3a3/collapsed_gene_input.csv","3c94714986564b737854c3912df2e1e25dd261ca3faf08367e5c3faa75fa4d37",TRUE,1382160,1382160,187,TRUE
"microglia","collapsed_gene_input_file","P:/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/04_differential_expression_enrichment/clusterProfiler/microglia/phenotype_within_unit/CA2_microglia/CA2microgliasus_CA2microgliacon/protein_group_audits/collapsed_gene_input.csv","3c94714986564b737854c3912df2e1e25dd261ca3faf08367e5c3faa75fa4d37","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/work/differential_abundance/run_clusterprofiler_enrichment/microglia/path_stage/2a5a9cbfa3a3/collapsed_gene_input.csv","3c94714986564b737854c3912df2e1e25dd261ca3faf08367e5c3faa75fa4d37",TRUE,1382160,1382160,187,TRUE
