"old_path","expected_path","intended_extension","producer","write_site","evidence","current_hash","bytes","collision","export_effect","action"
"results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/main_candidate/microglia_signature_within_region_condition_dotplo","results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/main_candidate/microglia_signature_within_region_condition_do.png",".png","analysis/differential_abundance/test_microglia_targeted_signatures.R","test_microglia_targeted_signatures.R:241 ggsave_publication","extension to be determined from the content signature; content signature = png, within the writer's emitted formats (svg/png)","831de244e6b0e398b993131c0ffa1d4f58a96091e5064d2ac44e65428ec0939d",284442,FALSE,"becomes discoverable","rename_in_place"
"results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/main_candidate/microglia_vs_neuropil_signature_NES_scatter_main.p","results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/main_candidate/microglia_vs_neuropil_signature_NES_scatter_ma.png",".png","analysis/differential_abundance/test_microglia_targeted_signatures.R","test_microglia_targeted_signatures.R:241 ggsave_publication","clipped suffix '.p' identifies the intended format; confirmed by content signature; content signature = png, within the writer's emitted formats (svg/png)","1fe80f5d9fe9c9b0c40ea64e86bbe32ddb8b46869e2d48ed41eda1ed8c9cd50e",186501,FALSE,"becomes discoverable","rename_in_place"
"results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/main_candidate/microglia_vs_neuropil_signature_NES_scatter_main.s","results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/main_candidate/microglia_vs_neuropil_signature_NES_scatter_ma.svg",".svg","analysis/differential_abundance/test_microglia_targeted_signatures.R","test_microglia_targeted_signatures.R:241 ggsave_publication","clipped suffix '.s' identifies the intended format; confirmed by content signature; content signature = svg, within the writer's emitted formats (svg/png)","1489068f5edfa8a17c976a058b6ebe613a00ff31a3592ea5092d783d94d01295",24248,FALSE,"becomes discoverable","rename_in_place"
"results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/supplementary_qc/microglia_signature_interpretation_scoreboard.sv","results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/supplementary_qc/microglia_signature_interpretation_scoreboar.svg",".svg","analysis/differential_abundance/test_microglia_targeted_signatures.R","test_microglia_targeted_signatures.R:241 ggsave_publication","clipped suffix '.sv' identifies the intended format; confirmed by content signature; content signature = svg, within the writer's emitted formats (svg/png)","e439e9389ba54c258a93e759aebc2837830493b627486ac2be93dfd275eff9ac",7251,FALSE,"becomes discoverable","rename_in_place"
"results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/supplementary_qc/microglia_signature_within_region_condition_dotp","results/figures/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/supplementary_qc/microglia_signature_within_region_condition_.svg",".svg","analysis/differential_abundance/test_microglia_targeted_signatures.R","test_microglia_targeted_signatures.R:241 ggsave_publication","extension to be determined from the content signature; content signature = svg, within the writer's emitted formats (svg/png)","9da67ce8b0cef5b29328fa27d75514e078afa5248a6784ebd1e49f92949abe4e",23505,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#006D2C_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#006D2C_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","814445c8e7f8d75aeac91cb9c5488176de304ea77ff51666213216b45cf88b93",7349,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#08519C_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#08519C_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","b3b103da476821f73c9ebfcab7de4e35af8e674e401b0c299d6e14b0bcf590f9",8137,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#1F4E79_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#1F4E79_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","4dcc8cc87ae4c97c81fecd899352f79b598e67284e25331662c286b2d52b3d90",7647,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#2B8CBE_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#2B8CBE_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","4d491935e17bd462dfa1161bbcb028f7fd4a394456f7971985eadc9ab71c86c1",7761,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#3F007D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#3F007D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","615d179ccdb4c1b10fb48fdabf792de42d775d5e7f5aefe56ae30582678d78c1",7457,FALSE,"becomes discoverable","rename_in_place"
