"file","line","layer","parsed","has_seed","seed_value","seed_source","max_overlaps","reaches_seed_constant","publication_facing","r_version","ggplot2_version","ggrepel_version","svglite_version"
"analysis/differential_abundance/build_go_program_atlas.R",931,"geom_text_repel",TRUE,TRUE,"NATURE_REPEL_SEED","NATURE_REPEL_SEED (phase 6H.6)","12",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/differential_abundance/compare_go_enrichment.R",2452,"geom_text_repel",TRUE,TRUE,"NATURE_REPEL_SEED","NATURE_REPEL_SEED (phase 6H.6)","Inf",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/qc/assess_marker_rank_abundance.R",191,"geom_label_repel",TRUE,TRUE,"NATURE_REPEL_SEED","NATURE_REPEL_SEED (phase 6H.6)","100",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/qc/render_joint_compartment_qc_figures.R",237,"geom_text_repel",TRUE,TRUE,"20260817L","pre-existing literal","Inf",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/qc/render_joint_compartment_qc_figures.R",274,"geom_text_repel",TRUE,TRUE,"20260817L","pre-existing literal","Inf",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/qc/render_joint_compartment_qc_figures.R",410,"geom_text_repel",TRUE,TRUE,"42","pre-existing literal","Inf",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/wgcna/render_microglia_independence_figures.R",392,"geom_text_repel",TRUE,TRUE,"9","pre-existing literal","Inf",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/wgcna/score_module_activity.R",1728,"geom_text_repel",TRUE,TRUE,"NATURE_REPEL_SEED","NATURE_REPEL_SEED (phase 6H.6)","100",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/wgcna/score_module_activity.R",1803,"geom_text_repel",TRUE,TRUE,"NATURE_REPEL_SEED","NATURE_REPEL_SEED (phase 6H.6)","80",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/wgcna/score_module_activity.R",1864,"geom_text_repel",TRUE,TRUE,"NATURE_REPEL_SEED","NATURE_REPEL_SEED (phase 6H.6)","100",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"analysis/wgcna/summarize_microglia_roi_specificity.R",929,"geom_text_repel",TRUE,TRUE,"9","pre-existing literal","Inf",TRUE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
"R/qc/control_compartment_abundance_rendering.R",744,"geom_text_repel",TRUE,TRUE,"20260724L","pre-existing literal","Inf",FALSE,TRUE,"R version 4.5.1 (2025-06-13 ucrt)","4.0.2","0.9.8","2.2.2"
