"file","line","call","scope","status","has_seed","seed_source","seed_value","width","height","jitter_width","dodge_width","sources_seed_library","exporter_scanned","parsed","call_text"
"analysis/enrichment/run_ewce_celltype_enrichment.R",1746,"geom_jitter","publication_facing","deterministic",TRUE,"delegated_position","NATURE_JITTER_SEED",NA,NA,NA,NA,TRUE,TRUE,TRUE,"ggplot2::geom_jitter( position = ggplot2::position_jitter(width = 0, height = 0.22, seed = NATURE_JITTER_SEED), size = 0.45, alpha = 0.55, stroke = 0 )"
"analysis/enrichment/run_ewce_celltype_enrichment.R",1747,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0","0.22",NA,NA,TRUE,TRUE,TRUE,"ggplot2::position_jitter(width = 0, height = 0.22, seed = NATURE_JITTER_SEED)"
"analysis/integration/quantify_candidate_network_position.R",330,"geom_jitter","outside_export_scope","out_of_scope",FALSE,"none",NA,"0.25","0",NA,NA,FALSE,FALSE,TRUE,"geom_jitter(data = d3[!(d3$is_hit %in% TRUE), , drop = FALSE], width = 0.25, height = 0, colour = ""#DDDBD5"", size = 0.25)"
"analysis/integration/quantify_candidate_network_position.R",332,"geom_jitter","outside_export_scope","out_of_scope",FALSE,"none",NA,"0.15","0",NA,NA,FALSE,FALSE,TRUE,"geom_jitter(data = d3[d3$is_hit %in% TRUE, , drop = FALSE], width = 0.15, height = 0, colour = ""#E63947"", size = 1.1)"
"analysis/integration/test_network_behaviour_coupling.R",765,"position_jitter","outside_export_scope","out_of_scope",FALSE,"none",NA,"0.07","0",NA,NA,FALSE,FALSE,TRUE,"ggplot2::position_jitter(width = 0.07, height = 0)"
"analysis/qc/assess_joint_compartment_quality.R",127,"geom_jitter","publication_facing","deterministic",TRUE,"delegated_position","NATURE_JITTER_SEED",NA,NA,NA,NA,TRUE,TRUE,TRUE,"ggplot2::geom_jitter(position = ggplot2::position_jitter(width = .15, seed = NATURE_JITTER_SEED))"
"analysis/qc/assess_joint_compartment_quality.R",127,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.15",NA,NA,NA,TRUE,TRUE,TRUE,"ggplot2::position_jitter(width = .15, seed = NATURE_JITTER_SEED)"
"analysis/qc/assess_marker_rank_abundance.R",220,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.16",NA,NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.16, seed = NATURE_JITTER_SEED)"
"analysis/qc/assess_replicate_consistency.R",93,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.12",NA,NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.12, seed = NATURE_JITTER_SEED)"
"analysis/qc/assess_sample_quality.R",472,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.12","0",NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.12, height = 0, seed = NATURE_JITTER_SEED)"
"analysis/qc/assess_sample_quality.R",968,"position_jitterdodge","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED",NA,NA,"0.12","0.65",TRUE,TRUE,TRUE,"position_jitterdodge(jitter.width = 0.12, dodge.width = 0.65, seed = NATURE_JITTER_SEED)"
"analysis/qc/export_marker_traits.R",164,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.12",NA,NA,NA,TRUE,TRUE,TRUE,"ggplot2::position_jitter(width = 0.12, seed = NATURE_JITTER_SEED)"
"analysis/qc/summarize_marker_detectability.R",914,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.15",NA,NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.15, seed = NATURE_JITTER_SEED)"
"analysis/qc/summarize_marker_detectability.R",946,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.15",NA,NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.15, seed = NATURE_JITTER_SEED)"
"analysis/qc/summarize_marker_detectability.R",981,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.15",NA,NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.15, seed = NATURE_JITTER_SEED)"
"analysis/qc/summarize_missingness.R",110,"position_jitter","publication_facing","deterministic",TRUE,"explicit","NATURE_JITTER_SEED","0.12",NA,NA,NA,TRUE,TRUE,TRUE,"position_jitter(width = 0.12, seed = NATURE_JITTER_SEED)"
"analysis/spatial_validation/validate_network_workbook.R",329,"position_jitter","outside_export_scope","out_of_scope",FALSE,"none",NA,"0.12","0",NA,NA,FALSE,FALSE,TRUE,"position_jitter(width = 0.12, height = 0)"
"analysis/spatial_validation/validate_network_workbook.R",342,"position_jitter","outside_export_scope","out_of_scope",FALSE,"none",NA,"0.1","0",NA,NA,FALSE,FALSE,TRUE,"position_jitter(width = 0.1, height = 0)"
"analysis/wgcna/build_wgcna_modules.R",3789,"position_jitter","publication_facing","deterministic",TRUE,"explicit","1","0.08","0",NA,NA,FALSE,TRUE,TRUE,"position_jitter(width = 0.08, height = 0, seed = 1)"
