"repository","file","line","classification","text"
"proteomics","R/enrichment/enrichment_io.R",80,"ACTIVE_RUNTIME_DEPENDENCY","""Run the repository from a shorter project root such as P:\\ before launching workers. "","
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",19,"HISTORICAL_ARCHIVED_SCRIPT","base_results <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Results/EWCE"""
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",33,"HISTORICAL_ARCHIVED_SCRIPT","path_to_file <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Datasets/gct/data/imputed_data.xlsx"""
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",267,"HISTORICAL_ARCHIVED_SCRIPT","base_results <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Results/EWCE"""
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",290,"HISTORICAL_ARCHIVED_SCRIPT","raw_df <- read_excel(""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Datasets/gct/data/imputed_data.xlsx"")"
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",447,"HISTORICAL_ARCHIVED_SCRIPT","base_results <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Results/EWCE"""
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",469,"HISTORICAL_ARCHIVED_SCRIPT","path_to_file <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Datasets/gct/data/imputed_data.xlsx"""
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",632,"HISTORICAL_ARCHIVED_SCRIPT","base_results <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Results/EWCE"""
"proteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r",654,"HISTORICAL_ARCHIVED_SCRIPT","path_to_file <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler/Datasets/gct/data/imputed_data.xlsx"""
"proteomics","archive/deprecated/01_MapThatProt.r",35,"HISTORICAL_ARCHIVED_SCRIPT","working_dir <- ""S:/Lab_Member/Tobi/Experiments/Collabs/Neha/clusterProfiler"""
"proteomics","archive/deprecated/01_WGCNA.r",33,"HISTORICAL_ARCHIVED_SCRIPT","output_dir <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/wgcna/output"""
"proteomics","archive/deprecated/01_WGCNA.r",39,"HISTORICAL_ARCHIVED_SCRIPT","d <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/male.data.xlsx"""
"proteomics","archive/deprecated/01_WGCNA.r",252,"HISTORICAL_ARCHIVED_SCRIPT","t <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/sample_info.xlsx"""
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",27,"HISTORICAL_ARCHIVED_SCRIPT","output_dir <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/wgcna/output/microglia/"""
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",54,"HISTORICAL_ARCHIVED_SCRIPT","#expr_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/male.data.xlsx"""
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",55,"HISTORICAL_ARCHIVED_SCRIPT","#meta_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/sample_info.xls"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",56,"HISTORICAL_ARCHIVED_SCRIPT","meta_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/sample_info_micr"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",59,"HISTORICAL_ARCHIVED_SCRIPT","#output_dir <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/wgcna/output"""
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",66,"HISTORICAL_ARCHIVED_SCRIPT","d <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/male.data_microglia.xlsx"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",67,"HISTORICAL_ARCHIVED_SCRIPT","expr <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/male.data_microglia.x"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",92,"HISTORICAL_ARCHIVED_SCRIPT","output_dir <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/wgcna/output/microglia/"""
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",107,"HISTORICAL_ARCHIVED_SCRIPT","#expr_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/male.data_.xlsx"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",108,"HISTORICAL_ARCHIVED_SCRIPT","#meta_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/sample_info.xls"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",110,"HISTORICAL_ARCHIVED_SCRIPT","expr_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/male.data_microg"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",111,"HISTORICAL_ARCHIVED_SCRIPT","meta_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/variancePartition/data/sample_info_micr"
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",112,"HISTORICAL_ARCHIVED_SCRIPT","idmap_dat <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/Datasets/MOUSE_10090_idmapping.dat"""
"proteomics","archive/deprecated/02_WGCNAtraitpreservation.r",115,"HISTORICAL_ARCHIVED_SCRIPT","manual_map_xlsx <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/Datasets/manual_mapping.xlsx"""
"proteomics","archive/deprecated/03_MapThatProt_batch_WGCNAtoClusterProfiler.r",10,"HISTORICAL_ARCHIVED_SCRIPT","working_dir   <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/"""
"proteomics","archive/deprecated/04_pcaPlot_v2.r",26,"HISTORICAL_ARCHIVED_SCRIPT","#gct_file   <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/msdap/E9_pg_matrix_protigy.gct"""
"proteomics","archive/deprecated/04_pcaPlot_v2.r",27,"HISTORICAL_ARCHIVED_SCRIPT","gct_file <- ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/proteomics/Datasets/morpheus/20260206_pgmatrix_imputed_ne"
