"lifecycle","band","files","bytes"
"ARCHIVE","220_239",1193,530169823
"ARCHIVE","240_259_over_soft_guard",49373,1396319748
"ARCHIVE","ge_260_over_hard_wall",164946,2915580391
"ARCHIVE","le_219",209324,5877337321
"FROZEN_EXPORT","220_239",186,291413192
"FROZEN_EXPORT","240_259_over_soft_guard",269,430081490
"FROZEN_EXPORT","le_219",910,730272980
"PROVENANCE","le_219",239,24374954
"REGENERABLE","220_239",1868,125962694
"REGENERABLE","240_259_over_soft_guard",2018,1551464640
"REGENERABLE","ge_260_over_hard_wall",680,810454560
"REGENERABLE","le_219",2304,1678892769
"RESULTS","220_239",5068,2300368599
"RESULTS","240_259_over_soft_guard",5877,1013420342
"RESULTS","ge_260_over_hard_wall",44,1356135
"RESULTS","le_219",12917,20141861819
"SCRATCH","220_239",90,68685636
"SCRATCH","240_259_over_soft_guard",26,54997599
"SCRATCH","le_219",15,9510295
"SOURCE","le_219",777,495922665
"VCS_INTERNAL","le_219",7945,422833002
