"old_path","new_path","expected_extension","source_of_truth","disambiguated","old_sha256","new_sha256","same_hash","old_bytes","new_bytes","same_size","new_name_chars","renamed"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_Compartment_Comparison","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_Compartment_Compar.csv",".csv","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_Compartment_Comparison_publication.csv",FALSE,"4b5c96b7f60df6797ab0e861b3042dab70757d5b8feff12747ecfe8d680c9239","4b5c96b7f60df6797ab0e861b3042dab70757d5b8feff12747ecfe8d680c9239",TRUE,6655,6655,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_LeadingEdgeDriverRecur","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_LeadingEdgeDriverR.csv",".csv","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_LeadingEdgeDriverRecurrence_topdrivers_publication.csv",FALSE,"1cd84def8b1b33771f060030c97e9005500a747d26c166d817b26ad08ceaf0ed","1cd84def8b1b33771f060030c97e9005500a747d26c166d817b26ad08ceaf0ed",TRUE,6236,6236,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_RES_SUS_divergence_pub","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_RES_SUS_divergence.csv",".csv","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_RES_SUS_divergence_publication.csv",FALSE,"979c489c6c620a5047dd05435389460225e35fc2dbded21bfbdd6b212c93fe24","979c489c6c620a5047dd05435389460225e35fc2dbded21bfbdd6b212c93fe24",TRUE,60566,60566,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialProgramAtlas_ne","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialP__99e00949.csv",".csv","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_SpatialProgramAtlas_neuropil_focus_publication.csv",TRUE,"ec5eb26912fbc8ec909469a999738b4e253166ea876b80d644dee2c84f9f2893","ec5eb26912fbc8ec909469a999738b4e253166ea876b80d644dee2c84f9f2893",TRUE,156820,156820,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialProgramAtlas_pu","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialP__425de73d.csv",".csv","results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_SpatialProgramAtlas_publication.csv",TRUE,"e38fe9c36dee118b7864112be3812e42ae6c238f62520e37b7536f8d08cbd40c","e38fe9c36dee118b7864112be3812e42ae6c238f62520e37b7536f8d08cbd40c",TRUE,277322,277322,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enriched___049e4d3a","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enric__049e4d3a.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_microglia_enriched_signature.csv",FALSE,"e098a11ca20c6cb30ce1cc9d76f798f9b196b22a453590244e8211e96c72c985","e098a11ca20c6cb30ce1cc9d76f798f9b196b22a453590244e8211e96c72c985",TRUE,62572,62572,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enriched___c805a509","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enric__c805a509.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/empirical_microglia_enriched_signature.csv",FALSE,"dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",TRUE,80,80,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signature__09072610","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signa__09072610.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_microglia_signature_diagnostics.csv",FALSE,"faaf58dfa6023e9963263460041d0c4113c98b90805f2ea3a26c5f2a04e9c9a2","faaf58dfa6023e9963263460041d0c4113c98b90805f2ea3a26c5f2a04e9c9a2",TRUE,135,135,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signature__97349f7f","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signa__97349f7f.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/empirical_microglia_signature_diagnostics.csv",FALSE,"dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",TRUE,80,80,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_cross_region_cross_","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_cross_region_cr.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_cross_region_cross_condition.csv",FALSE,"9be441ee05a15e2f0c3f21c4d90e879225158a3666f906cc55f98310025d4349","9be441ee05a15e2f0c3f21c4d90e879225158a3666f906cc55f98310025d4349",TRUE,480411,480411,TRUE,96,TRUE
