"path","ext","parsed","ncol","nrow","note"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_Compartment_Compar.csv","csv",TRUE,10,50,""
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_LeadingEdgeDriverR.csv","csv",TRUE,5,20,""
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_RES_SUS_divergence.csv","csv",TRUE,28,50,""
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialP__99e00949.csv","csv",TRUE,33,50,""
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialP__425de73d.csv","csv",TRUE,33,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enric__049e4d3a.csv","csv",TRUE,21,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enric__c805a509.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signa__09072610.csv","csv",TRUE,3,3,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signa__97349f7f.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_cross_region_cr.csv","csv",TRUE,56,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_cross_region_sa.csv","csv",TRUE,56,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_direction_summa.csv","csv",TRUE,8,14,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__022b1ccc.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__1244aa35.csv","csv",TRUE,3,1,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__3ec3c4fd.csv","csv",TRUE,5,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__96e19466.csv","csv",TRUE,45,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichment_with.csv","csv",TRUE,56,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_interpretation_.csv","csv",TRUE,12,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_leading_edge_re.csv","csv",TRUE,14,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_regional_pooled.csv","csv",TRUE,16,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_unclassified_te.csv","csv",TRUE,56,0,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_within_region_c.csv","csv",TRUE,56,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_integrate__6ff76cd4.csv","csv",TRUE,32,50,""
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_integrate__9e815bc3.csv","csv",TRUE,32,50,""
