"old_path","expected_path","current_suffix","expected_extension","producer","evidence","current_hash","bytes","collision","destination_exists","action"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_Compartment_Comparison","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_Compartment_Comparison.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_Compartment_Comparison_publication.csv","4b5c96b7f60df6797ab0e861b3042dab70757d5b8feff12747ecfe8d680c9239",6655,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_LeadingEdgeDriverRecur","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_LeadingEdgeDriverRecur.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_LeadingEdgeDriverRecurrence_topdrivers_publication.csv","1cd84def8b1b33771f060030c97e9005500a747d26c166d817b26ad08ceaf0ed",6236,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_RES_SUS_divergence_pub","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_RES_SUS_divergence_pub.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_RES_SUS_divergence_publication.csv","979c489c6c620a5047dd05435389460225e35fc2dbded21bfbdd6b212c93fe24",60566,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialProgramAtlas_ne","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialProgramAtlas_ne.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_SpatialProgramAtlas_neuropil_focus_publication.csv","ec5eb26912fbc8ec909469a999738b4e253166ea876b80d644dee2c84f9f2893",156820,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialProgramAtlas_pu","pride_submission/supplementary_tables/results_source_data_04_differential_expression_enrichment_all_source_data_SpatialProgramAtlas_pu.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/source_data/04_differential_expression_enrichment/compareGO_spatial_atlas/source_data_SpatialProgramAtlas_publication.csv","e38fe9c36dee118b7864112be3812e42ae6c238f62520e37b7536f8d08cbd40c",277322,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enriched___049e4d3a","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enriched___049e4d3a.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_microglia_enriched_signature.csv') = 049e4d3a (source extension .csv)","e098a11ca20c6cb30ce1cc9d76f798f9b196b22a453590244e8211e96c72c985",62572,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enriched___c805a509","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_enriched___c805a509.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/empirical_microglia_enriched_signature.csv') = c805a509 (source extension .csv)","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",80,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signature__09072610","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signature__09072610.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_microglia_signature_diagnostics.csv') = 09072610 (source extension .csv)","faaf58dfa6023e9963263460041d0c4113c98b90805f2ea3a26c5f2a04e9c9a2",135,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signature__97349f7f","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_empirical_microglia_signature__97349f7f.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","collision-disambiguated name; stable_path_hash('results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/empirical_microglia_signature_diagnostics.csv') = 97349f7f (source extension .csv)","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",80,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_cross_region_cross_","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_cross_region_cross_.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","reconstruction: 96-char cut of the raw name built from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_cross_region_cross_condition.csv","9be441ee05a15e2f0c3f21c4d90e879225158a3666f906cc55f98310025d4349",480411,FALSE,FALSE,"rename_in_place"
