"manifest_row","proposed_source","canonical_counterpart","canonical_exists","proposed_sha256","canonical_sha256","byte_identical","proposed_bytes","canonical_bytes","producer","analysis_identity","scope","figure_family","current_export_destination","canonical_currently_exported","adjudication_class"
853,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_Compartment_Comparison.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_Compartment_Comparison.svg",TRUE,"ace8840e20f3512f9e6e3f4101d57e9632c849a1138072385a22b0bbbd92df22","ace8840e20f3512f9e6e3f4101d57e9632c849a1138072385a22b0bbbd92df22",TRUE,103885,103885,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_Compartment_Comparison.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
854,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_Compartment_Comparison_publication.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_Compartment_Comparison_publication.svg",TRUE,"2a8b9f601682758d84f4b1b244dec6636e160ef4537b867e64174b4ff58b350a","2a8b9f601682758d84f4b1b244dec6636e160ef4537b867e64174b4ff58b350a",TRUE,57528,57528,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_Compartment_Comparison_publication.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
855,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_LeadingEdgeDriverRecurrence.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_LeadingEdgeDriverRecurrence.svg",TRUE,"f1a26f17af49a3c5db8271394a8b5ff83ee14294691189b167114858179b9b95","f1a26f17af49a3c5db8271394a8b5ff83ee14294691189b167114858179b9b95",TRUE,441864,441864,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_LeadingEdgeDriverRecurrence.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
856,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_LeadingEdgeDriverRecurrence_topdrivers_publication.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_LeadingEdgeDriverRecurrence_topdrivers_publication.svg",TRUE,"eb09803497835f815ca675831142e4d4d94a9e843bdd03d310162a1676ff6b32","eb09803497835f815ca675831142e4d4d94a9e843bdd03d310162a1676ff6b32",TRUE,17154,17154,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_LeadingEdgeDriverRecurrence_topdrive_ff62d015bf.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
857,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_RES_SUS_divergence.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_RES_SUS_divergence.svg",TRUE,"795889ff6afd3c669471d185f2d341745a7dfd02115769229b0aab03531cfb0b","795889ff6afd3c669471d185f2d341745a7dfd02115769229b0aab03531cfb0b",TRUE,136831,136831,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_RES_SUS_divergence.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
858,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_RES_SUS_divergence_publication.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_RES_SUS_divergence_publication.svg",TRUE,"cd1d2d44efa84b1d31e984d3fed3bb5ea0a1074a7b1c08e4cb25a190ee78da81","7039cea38c1e7b1808897af66e298e40f8ee8451ea3664224d368a654e0f811b",FALSE,43462,43462,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_RES_SUS_divergence_publication.svg",TRUE,"REMOVE_PROPOSED_NONDETERMINISTIC_PLACEMENT"
859,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_SpatialProgramAtlas_dotheatmap.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_SpatialProgramAtlas_dotheatmap.svg",TRUE,"f4aeddb797371eb5ec79436b0c025acf8993ef2dfb37477ea8ba4529d2b56f4c","f4aeddb797371eb5ec79436b0c025acf8993ef2dfb37477ea8ba4529d2b56f4c",TRUE,153181,153181,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_SpatialProgramAtlas_dotheatmap.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
860,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_SpatialProgramAtlas_dotheatmap_publication.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_SpatialProgramAtlas_dotheatmap_publication.svg",TRUE,"a578f375ce3e5ff35e281503d20967b41ea6296876d2500e08e670854cc95a27","a578f375ce3e5ff35e281503d20967b41ea6296876d2500e08e670854cc95a27",TRUE,86046,86046,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_SpatialProgramAtlas_dotheatmap_publication.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
861,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_SpatialProgramAtlas_neuropil_focus_publication.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_SpatialProgramAtlas_neuropil_focus_publication.svg",TRUE,"3dc1f5a1a29717c71c92402969261ca6245f25b841a55af542a0006a9d4277c7","3dc1f5a1a29717c71c92402969261ca6245f25b841a55af542a0006a9d4277c7",TRUE,41579,41579,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_SpatialProgramAtlas_neuropil_focus_publication.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
862,"results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas_validation_proposed/Fig_SpatialProgramAtlas_SUS_vs_RES_publication.svg","results/figures/04_differential_expression_enrichment/compareGO_spatial_atlas/Fig_SpatialProgramAtlas_SUS_vs_RES_publication.svg",TRUE,"d2fe791c273890a009537d5ad4f38383668d684a27c9caf97b30a88d740bf22b","d2fe791c273890a009537d5ad4f38383668d684a27c9caf97b30a88d740bf22b",TRUE,39255,39255,"analysis/differential_abundance/build_go_program_atlas.R","compareGO_spatial_atlas","compareGO_spatial_atlas_validation_proposed","compareGO_spatial_atlas_validation_proposed","04_differential_expression_enrichment_compareGO_spatial_atlas_validation_proposed_Fig_SpatialProgramAtlas_SUS_vs_RES_publication.svg",TRUE,"REMOVE_PROPOSED_DUPLICATE"
