"parent","scientific_repo_dir","prefix_chars","files_over_260_all","files_over_260_live","longest_path","headroom_chars"
"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis","proteomics",69,165670,724,287,-27
"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis","exp9-spatial-proteomics",82,217289,3416,300,-40
"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis","exp9-proteomics",74,214859,2064,292,-32
"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis","spatial-proteomics",77,216003,2623,295,-35
"S:/Lab_Member/Tobi/Experiments/exp9","proteomics",46,234,15,264,-4
"S:/Lab_Member/Tobi/Experiments/exp9","exp9-spatial-proteomics",59,39032,183,277,-17
"S:/Lab_Member/Tobi/Experiments/exp9","exp9-proteomics",51,1140,39,269,-9
"S:/Lab_Member/Tobi/Experiments/exp9","spatial-proteomics",54,3509,66,272,-12
"S:/Lab_Member/Tobi/exp9","proteomics",34,0,0,252,8
"S:/Lab_Member/Tobi/exp9","exp9-spatial-proteomics",47,303,15,265,-5
"S:/Lab_Member/Tobi/exp9","exp9-proteomics",39,0,0,257,3
"S:/Lab_Member/Tobi/exp9","spatial-proteomics",42,3,3,260,0
"S:/Lab_Member/Tobi/e9","proteomics",32,0,0,250,10
"S:/Lab_Member/Tobi/e9","exp9-spatial-proteomics",45,104,15,263,-3
"S:/Lab_Member/Tobi/e9","exp9-proteomics",37,0,0,255,5
"S:/Lab_Member/Tobi/e9","spatial-proteomics",40,0,0,258,2
