"file","line","fn","universe","rng_class","explicit_seed_arg","seed_arg_value","preceding_seed_call_in_file","seed_calls_in_file","call_text","publication_facing","writes_results"
"analysis/differential_abundance/build_go_program_atlas.R",931,"geom_text_repel","active","rendering",TRUE,"NATURE_REPEL_SEED",NA,0,"geom_text_repel(data = labels_df, ggplot2::aes(label = .data$point_label), size = 2, min.segment.length = 0, max.overlaps = 12, seed = NATURE_REPEL_SEED, show.legend = FALSE)",TRUE,TRUE
"analysis/differential_abundance/test_microglia_targeted_signatures.R",888,"fgseaSimple","active","statistical_library",FALSE,NA,NA,0,"fgseaSimple( pathways = pathways, stats = stats, minSize = 3, maxSize = 500, nperm = 1000, nproc = 1 )",TRUE,TRUE
"analysis/differential_abundance/test_microglia_targeted_signatures.R",893,"fgsea","active","statistical_library",FALSE,NA,NA,0,"fgsea( pathways = pathways, stats = stats, minSize = 3, maxSize = 500, BPPARAM = BiocParallel::SerialParam() )",TRUE,TRUE
"analysis/differential_abundance/test_microglia_targeted_signatures.R",898,"fgsea","active","statistical_library",FALSE,NA,NA,0,"fgsea( pathways = pathways, stats = stats, minSize = 3, maxSize = 500, nproc = 1 )",TRUE,TRUE
"analysis/enrichment/run_ewce_celltype_enrichment.R",39,"set.seed","active","seed_control",FALSE,NA,39,1,"set.seed(42)",TRUE,TRUE
"analysis/enrichment/run_ewce_celltype_enrichment.R",1746,"geom_jitter","active","rendering",FALSE,NA,39,1,"geom_jitter( position = ggplot2::position_jitter(width = 0, height = 0.22, seed = NATURE_JITTER_SEED), size = 0.45, alpha = 0.55, stroke = 0 )",TRUE,TRUE
"analysis/enrichment/run_ewce_celltype_enrichment.R",1747,"position_jitter","active","rendering",TRUE,"NATURE_JITTER_SEED",39,1,"position_jitter(width = 0, height = 0.22, seed = NATURE_JITTER_SEED)",TRUE,TRUE
"analysis/integration/quantify_candidate_network_position.R",330,"geom_jitter","active","rendering",FALSE,NA,NA,0,"geom_jitter(data = d3[!(d3$is_hit %in% TRUE), , drop = FALSE], width = 0.25, height = 0, colour = ""#DDDBD5"", size = 0.25)",FALSE,TRUE
"analysis/integration/quantify_candidate_network_position.R",332,"geom_jitter","active","rendering",FALSE,NA,NA,0,"geom_jitter(data = d3[d3$is_hit %in% TRUE, , drop = FALSE], width = 0.15, height = 0, colour = ""#E63947"", size = 1.1)",FALSE,TRUE
"analysis/integration/test_network_behaviour_coupling.R",765,"position_jitter","active","rendering",FALSE,NA,NA,0,"position_jitter(width = 0.07, height = 0)",FALSE,TRUE
