"item","value","detail"
"unreachable_region_start_line","572","first line after the unconditional top-level quit()"
"unreachable_region_end_line","4321","last line of the file"
"unreachable_line_count","3750","lines that cannot execute"
"unreachable_top_level_exprs","336","of 439 total top-level expressions"
"exit_line","569","quit(status = 0, save = ""no"")"
"exit_is_top_level_unconditional","TRUE","top-level expression 103 of 439, constant arguments"
"quit_masked_in_file","FALSE","search for quit <- / assign(""quit"")"
"quit_masked_in_sourced_libs","FALSE","8 libraries sourced before the exit were checked"
"tail_extracted_by_parse_or_eval","see mechanism table","25 external references to the script"
"tail_defined_names","157","20 functions"
"tail_functions_used_outside","none","real dependencies only - blocks archiving/deletion if non-empty"
"tail_function_name_collisions","optional_read_csv (1 file(s), each defines its own); mode_value (1 file(s), each defines its own); jaccard (1 file(s), each defines its own)","same name defined independently elsewhere; not a dependency, since nothing source()s this script"
"tail_section_banners","17","# --- 1. GENERATE SUMMARY STATISTICS --- | # --- 2. TERM CONSISTENCY ANALYSIS --- | # --- 3. GENE IMPORTANCE RANKING --- | # --- 4. COMPARISON SIMILARITY ANALYSIS --- | # --- 5. BARPLOT: ENRICHED TERM COUNTS --- | # --- 6. RIDGE PLOT: NES DISTRIBUTION --- | # --- 7. COMPARISON SIMILARITY HEATMAP --- | # --- 8. DETAILED REDUNDANCY REPORT --- | # --- 9. TERM-COMPARISON OCCURRENCE MATRIX --- | # --- 10. TOP GENES DRIVING TOP TERMS --- | # --- 11. UpSet PLOT: GENE SET INTERSECTIONS --- | # --- 12. BOOTSTRAP ENRICHMENT STABILITY --- | # --- 13. SUPPLEMENTARY: PARAMETER & REPRODUCIBILITY LOG --- | # --- 14. DATA QUALITY SUMMARY --- | # --- 15. SANKEY DIAGRAM: COMPARISON → TERMS → GENES (Top relationships) --- | # --- 16. ALLUVIAL DIAGRAM: Term persistence across conditions --- | # --- 17. TERM HIERARCHY VISUALIZATION ---"
"tail_write_calls","56","historical output surface of the dead region"
