"writer","line","target"
"write.csv",665,"(built dynamically)"
"write_xlsx",947,"(built dynamically)"
"write_raw_xlsx",1203,"(built dynamically)"
"write_raw_xlsx",1335,"(built dynamically)"
"write_raw_xlsx",1349,"Matrix_Heatmap_NES.xlsx"
"write_raw_xlsx",1384,"(built dynamically)"
"ggsave",1470,"(built dynamically)"
"write_raw_xlsx",1527,"Matrix_Heatmap_NES.xlsx"
"svg",1568,"(built dynamically)"
"svg",1626,"(built dynamically)"
"ggsave",1717,"(built dynamically)"
"ggsave",1794,"(built dynamically)"
"ggsave",1845,"(built dynamically)"
"ggsave",1881,"(built dynamically)"
"ggsave",1935,"(built dynamically)"
"svg",2113,"(built dynamically)"
"write_raw_xlsx",2143,"Enrichment_List_Debug.xlsx"
"svg",2184,"(built dynamically)"
"write_xlsx",2262,"(built dynamically)"
"svg",2356,"Heatmap_TopBottom_Enrichment.svg"
"ggsave",2478,"(built dynamically)"
"svg",2552,"(built dynamically)"
"write_xlsx",2575,"(built dynamically)"
"write_xlsx",2611,"(built dynamically)"
"write_xlsx",2636,"(built dynamically)"
"write_xlsx",2649,"01_Summary_Statistics.xlsx"
"write_xlsx",2657,"02_Term_Consistency_Analysis.xlsx"
"write_xlsx",2665,"03_Gene_Importance_Top100.xlsx"
"write_xlsx",2666,"03_Gene_Importance_All.xlsx"
"write_xlsx",2672,"04_Comparison_Gene_Similarity.xlsx"
"ggsave",2701,"Barplot_Term_Counts.svg"
"ggsave",2724,"RidgePlot_NES_Distribution.svg"
"svg",2795,"Heatmap_Comparison_Similarity.svg"
"write_xlsx",2847,"(built dynamically)"
"write_xlsx",2882,"(built dynamically)"
"write_xlsx",2908,"(built dynamically)"
"svg",2928,"UpSet_Gene_Intersections.svg"
"write_xlsx",2972,"08_Bootstrap_Stability_Summary.xlsx"
"write_xlsx",2988,"(built dynamically)"
"write_xlsx",3026,"10_Data_Quality_Summary.xlsx"
"ggsave",3091,"(built dynamically)"
"svg",3121,"Alluvial_Term_Persistence.svg"
"svg",3180,"Dendrogram_Term_Hierarchy.svg"
"svg",3223,"(built dynamically)"
"ggsave",3348,"(built dynamically)"
"ggsave",3417,"(built dynamically)"
"svg",3488,"(built dynamically)"
"ggsave",3574,"(built dynamically)"
"write_raw_xlsx",3581,"(built dynamically)"
"write_raw_xlsx",3622,"(built dynamically)"
"svg",3879,"(built dynamically)"
"write_raw_xlsx",3920,"(built dynamically)"
"writeLines",4024,"(built dynamically)"
"svg",4091,"(built dynamically)"
"write_raw_xlsx",4187,"(built dynamically)"
"writeLines",4320,"(built dynamically)"
