source_system,raw_id,canonical_AnimalID,evidence,status
proteomics_metadata_raw,A0003,3,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 3; acquisition path token _A0003_",active
proteomics_metadata_raw,A111,111,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 111; acquisition path token _A111_",active
proteomics_metadata_raw,A127,127,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 127; acquisition path token _A127_",active
proteomics_metadata_raw,A129,129,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 129; acquisition path token _A129_",active
proteomics_metadata_raw,A135,135,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 135; acquisition path token _A135_",active
proteomics_metadata_raw,A139,139,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 139; acquisition path token _A139_",active
proteomics_metadata_raw,A755,755,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 755; acquisition path token _A755_",active
proteomics_metadata_raw,A764,764,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 764; acquisition path token _A764_",active
proteomics_metadata_raw,A765,765,"AnimalID_raw in sample_metadata_merged_clean_for_module_scores.xlsx; same row carries canonical AnimalID 765; acquisition path token _A765_",active
spatial_network_rds,A0003,3,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A111,111,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A127,127,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A129,129,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A135,135,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A139,139,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A755,755,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A764,764,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
spatial_network_rds,A765,765,"sample_metadata$AnimalID in 07_spatial_networks network_spatial_relations_objects.rds; identical vocabulary to proteomics AnimalID_raw",active
