"publication_id","source_repo","source_commit","source_analysis","source_table","exported_file","rows","columns","sha256","contract_version"
"extended_data_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_01/extended_data_01a_source_data.csv","results/publication_source_data/extended_data_01/extended_data_01a_source_data.csv",15,21,"0eaa2e88716f4c913af2e5c39cb2c0b273e2a3bb7679fab2b3be462ff837b4f9","publication_source_data_v1"
"extended_data_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_01/extended_data_01b_source_data.csv","results/publication_source_data/extended_data_01/extended_data_01b_source_data.csv",84,6,"299c8a71c7dd7e719a6bcd6e0925aac59db91d10c927be9dcb552b64a25a91bc","publication_source_data_v1"
"extended_data_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/extended_data_01/assembled/extended_data_01.svg","results/publication_source_data/extended_data_01/assembled/extended_data_01.svg",NA,NA,"f1c32750925ff5cca372dac0cb156af03ae82a52b98b73b10a55320b5554912c","publication_source_data_v1"
"extended_data_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_02/extended_data_02a_source_data.csv","results/publication_source_data/extended_data_02/extended_data_02a_source_data.csv",252,18,"244bcc5145e8fdf75f82300e6c8111881e7a5916078f778642c6e9c37c18db64","publication_source_data_v1"
"extended_data_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_02/extended_data_02b_source_data.csv","results/publication_source_data/extended_data_02/extended_data_02b_source_data.csv",30,9,"a96f164e1f8956aed746c8980e86995ff02099163d005f0dd9714386da411c2c","publication_source_data_v1"
"extended_data_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/extended_data_02/assembled/extended_data_02.svg","results/publication_source_data/extended_data_02/assembled/extended_data_02.svg",NA,NA,"cafed525c60329d09f6750657dbc57d4b79a8d7614c40869a6d6bae4391bf16c","publication_source_data_v1"
"extended_data_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_03/extended_data_03a_source_data.csv","results/publication_source_data/extended_data_03/extended_data_03a_source_data.csv",1,5,"e5df23c04a6198830409d8d69162cc2da32e153ef3b6eca89de5af3f5bb635bd","publication_source_data_v1"
"extended_data_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_03/extended_data_03b_source_data.csv","results/publication_source_data/extended_data_03/extended_data_03b_source_data.csv",18,14,"7c1c34b814e7ea3b39d9ed67e186b7b27b177cae0c85e86c987ad15324844a15","publication_source_data_v1"
"extended_data_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_03/extended_data_03c_source_data.csv","results/publication_source_data/extended_data_03/extended_data_03c_source_data.csv",18,11,"a310b293d240345c9593f38dec0ded8544c47c5d4cbdde7b38fa0cac08ddf1f6","publication_source_data_v1"
"extended_data_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_03/extended_data_03d_source_data.csv","results/publication_source_data/extended_data_03/extended_data_03d_source_data.csv",3,2,"f0f419328fc7a178a5b4291fb19f712ca29e06646ed49fea047cea2e7e480495","publication_source_data_v1"
