"publication_id","contract_key","title","panels","canonical_renderer","canonical_source_data","originating_analysis","source_commit","rendered_artifact","hash","status","historical_generation"
"extended_data_01","ED_01","Extended Data Figure 1","01a,01b","figures/final_truth_v9_extended_data.R","results/source_data/manuscript/extended_data_01","this repository","n/a","results/figures/manuscript/extended_data_01/assembled/extended_data_01.svg","f1c32750925ff5cca372dac0cb156af03ae82a52b98b73b10a55320b5554912c","CANONICAL","ED1_FINAL_V9"
"extended_data_02",,"Extended Data Figure 2","not promoted","figures/final_truth_v9_extended_data.R",,"this repository","n/a",,,"WITHHELD_COMPLETENESS_MISREPRESENTATION","ED2_FINAL_V9"
"extended_data_03","ED_03","Extended Data Figure 3","03a,03b,03c,03d,03e","figures/final_truth_v9_extended_data.R","results/source_data/manuscript/extended_data_03","this repository","n/a","results/figures/manuscript/extended_data_03/assembled/extended_data_03.svg","efa6303c691a8098b1894ea9b6a7d291270bd3239c7335e8db7cfc16422ad559","CANONICAL","ED3_FINAL_V9"
"extended_data_04",,"Extended Data Figure 4","not promoted","figures/final_truth_v9_extended_data.R",,"this repository","n/a",,,"WITHHELD_SCOPE_AND_UNSUPPORTED_SPATIAL_LABELS","ED_WGCNA_FINAL_V9"
"extended_data_05","ED_behaviour_coverage","Extended Data Figure 5","05a,05b","figures/extended_data_behaviour_panels.R","results/source_data/manuscript/extended_data_05","topohl/MMMSociability","53bc7e91f3a837c1814babbf5d2ad19553b12457","results/figures/manuscript/extended_data_05/assembled/extended_data_05.svg","ff981d15c3dafe6dae6266a6c2d35bdd9702abf7220a51391420bb4d29352348","CANONICAL","behavioural_bridge_import"
"extended_data_06","ED_06","Extended Data Figure 6","06a,06b,06c,06d,06e","figures/final_truth_v9_extended_data.R","results/source_data/manuscript/extended_data_06","this repository","n/a","results/figures/manuscript/extended_data_06/assembled/extended_data_06.svg","a3cf343b073892eade34beb5e8af3a008efcdc68cffb271a99942f54dabe45a9","CANONICAL","ED6_FINAL_V9"
"extended_data_07",,"Extended Data Figure 7","not promoted","figures/final_truth_v9_extended_data.R",,"this repository","n/a",,,"WITHHELD_UNUSED_AND_ARCHIVABLE","ED7_FINAL_V9"
"extended_data_08","ED_08","Extended Data Figure 8","08a,08b,08c,08d","figures/final_truth_v9_extended_data.R","results/source_data/manuscript/extended_data_08","this repository","n/a","results/figures/manuscript/extended_data_08/assembled/extended_data_08.svg","259ae320ae8515e5fce25e082761d02e2833fc8692ad793b2bdf728081872281","CANONICAL","ED8_FINAL_V9"
"extended_data_09","ED_behaviour_secondary","Extended Data Figure 9","09a,09b,09c","figures/extended_data_behaviour_panels.R","results/source_data/manuscript/extended_data_09","topohl/MMMSociability","53bc7e91f3a837c1814babbf5d2ad19553b12457","results/figures/manuscript/extended_data_09/assembled/extended_data_09.svg","8a7851458110ea0d08f2cd3e236d003e81c9f20c56bc7c8d44b73ff98dfaed34","CANONICAL","behavioural_bridge_import"
"figure_01","01","Figure 1","1a,1b,1c,1d","figures/figure_01_panels.R","results/source_data/manuscript/figure_01","topohl/MMMSociability","30a2666198ca6f23795773da1b7d0ef34e78ac37","results/figures/manuscript/figure_01/assembled/figure_01.svg","cdb066da6b9996046e3a8e7e35a98e6c81f4695472139fbe6d285621eaa88115","CANONICAL","n/a"
"figure_02","02","Figure 2","2a,2b,2c,2d,2e,2f,2g,2h","figures/final_truth_v9_figure_02.R","results/source_data/manuscript/figure_02","this repository","n/a","results/figures/manuscript/figure_02/assembled/figure_02.svg","f176c8a7e6f6b8951c306f321e7faea9cb2daf057d91c941197fbd083d80a32d","CANONICAL","final_truth_v9"
"figure_03","03","Figure 3","3a,3b,3c,3d,3e,3f,3g,3h,3i","figures/final_truth_v9_figure_03.R","results/source_data/manuscript/figure_03","this repository","n/a","results/figures/manuscript/figure_03/assembled/figure_03.svg","1c3799e6750cf44bc77f72e9d1d19a69cd3b86748490d67937573284c8cdf4fd","CANONICAL","final_truth_v9"
