"figure_panel","statistic","value","recoverable_from","note"
"1a","expected 10-min slots per animal","72","figure1a_timeline_source.csv","design expectation"
"1a","animals with all expected slots","50","figure1a_timeline_source.csv","realised coverage; the remainder are missing leading slots only"
"1a","mean coverage fraction","0.985860860860861","figure1a_timeline_source.csv",""
"1b","male susceptibility threshold","-0.436641698169779","figure1b_combz_classification_source.csv","same-sex control mean minus one control population SD"
"1b","female susceptibility threshold","-0.222390844022943","figure1b_combz_classification_source.csv",""
"1b","animals with CombZ","117","figure1b_combz_classification_source.csv","classification set"
"1c","n animals","111","figure1c_movement_combz_source.csv",""
"1c","Spearman rho","-0.390263914272444","figure1c_movement_combz_source.csv","owner: primary_movement_entropyacf1_associations.csv"
"1c","95% CI lower","-0.547434593760078","figure1c_movement_combz_source.csv","5000-sample percentile bootstrap, seed 123"
"1c","95% CI upper","-0.209178066104028","figure1c_movement_combz_source.csv",""
"1c","BH q","6.8776554749896e-05","figure1c_movement_combz_source.csv","BH over three prespecified features"
"1d","LOAO R2","0.1593945585532","figure1d_loao_predictions_source.csv","movement-mean model"
"1d","intercept-only baseline R2","-0.0182644628099176","figure1d_loao_predictions_source.csv",""
"1d","n held-out animals","111","figure1d_loao_predictions_source.csv","each predicted by a model fitted without it"
"1e","permutation draws","1000","figure1e_permutation_source.csv","full refit per draw"
"1e","observed LOAO R2","0.1593945585532","figure1e_permutation_source.csv",""
"1e","empirical p","1/1001","figure1e_permutation_source.csv","no null draw reached the observed value"
"1e","permutation seed","20260811","figure1e_permutation_source.csv",""
"1f","repeated grouped CV mean R2","0.15582272536971","figure1f_repeated_cv_source.csv",""
"1f","2.5th percentile across repeats","0.11594027484398","figure1f_repeated_cv_source.csv","NOT a confidence interval"
"1f","97.5th percentile across repeats","0.179043340730635","figure1f_repeated_cv_source.csv",""
"1f","repeated CV seed","521","figure1f_repeated_cv_source.csv","fold assignment; distinct from the bootstrap seed 123"
