"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","CombZ","final_group","experimental_condition","n_components_present","classification_rule_id","n_control","control_reference_mean","control_reference_population_sd","susceptibility_threshold","sd_convention","in_early_window_analysis_set"
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR413","Female",0.274921809196741,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR414","Female",0.269081723406394,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR415","Female",-0.426671159937746,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR416","Female",-0.058557114043951,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR537","Female",-0.00819613266935256,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR538","Female",0.290970695286984,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR539","Female",0.254608305062642,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR540","Female",0.173872076936502,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR639","Female",0.273946627305589,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR643","Female",0.0995468371044007,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR644","Female",-0.491099469575346,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR645","Female",-0.146862276596488,"CON","CON",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","654","Female",0.397623328469766,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","675","Female",1.26498767005806,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","676","Female",0.153603356737091,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","690","Female",1.56503037565116,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","691","Female",0.997374837618719,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","692","Female",0.867560857620985,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","693","Female",0.800127871054696,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
