"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","Group","Movement_mean","CombZ"
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","13856","Male","SUS",4.02777777777778,-0.443530298857735
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","13857","Male","RES",4.56944444444444,0.12313211444803
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1545","Female","SUS",3.81944444444444,-1.14084168441238
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1546","Female","SUS",3.97183098591549,-1.65283291359378
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1547","Female","SUS",5.87142857142857,-0.670690972715036
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","3","Male","RES",3.09722222222222,0.450655267760721
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","303","Male","SUS",4.84722222222222,-0.611090311347931
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","304","Male","RES",3.51388888888889,-0.333430326212357
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","310","Male","RES",3.84722222222222,0.00650819487809574
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","313","Male","SUS",3.66197183098592,-1.4204248723118
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","314","Male","RES",4.30555555555556,0.164251883787188
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","317","Male","SUS",3.36764705882353,-1.29290712469666
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","318","Male","RES",5.38571428571429,-0.265290178887837
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","319","Male","SUS",3.31944444444444,-0.571812546855905
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","4","Male","SUS",3.45833333333333,-0.624988958625248
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","654","Female","RES",3.22535211267606,0.397623328469766
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","656","Female","SUS",2.48611111111111,-0.516925365474716
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","662","Female","SUS",3.45833333333333,-0.498664433612366
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","663","Female","SUS",2.29577464788732,-0.619998081410667
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","675","Female","RES",3.09722222222222,1.26498767005806
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","676","Female","RES",5.84722222222222,0.153603356737091
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","690","Female","RES",1.04166666666667,1.56503037565116
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","691","Female","RES",2.59722222222222,0.997374837618719
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","692","Female","RES",0.943661971830986,0.867560857620985
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","693","Female","RES",2.29577464788732,0.800127871054696
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","694","Female","RES",2.15277777777778,0.959080987347652
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","695","Female","RES",2.08333333333333,0.453129558627427
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","696","Female","RES",3.36619718309859,0.155378688315626
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ754","Male","SUS",3.68055555555556,-0.934693581486834
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ755","Male","SUS",4.01388888888889,-0.535143253547445
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ760","Male","CON",3.55714285714286,-0.240524851970429
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ761","Male","CON",4.51388888888889,-0.489151228020343
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ762","Male","RES",3.95833333333333,-0.213269762173186
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ763","Male","CON",4.80281690140845,-0.0833532794876353
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ764","Male","SUS",5.02816901408451,-0.931782489857225
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ765","Male","CON",4.38028169014085,-0.271338741565108
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ770","Male","SUS",3.05882352941176,-0.627260518022955
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ771","Male","SUS",3.65277777777778,-0.889499247134719
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ772","Male","RES",6.06944444444444,-0.0708303837557376
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OQ773","Male","RES",4.12676056338028,-0.265888969865684
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR104","Male","RES",2.76811594202899,1.11279258795434
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR105","Male","RES",3.08695652173913,0.281482068579031
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR106","Male","RES",2.43661971830986,0.116652997978808
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR111","Male","SUS",2.21428571428571,-0.567979315226475
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR112","Male","RES",2.15942028985507,0.491219818112991
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR113","Male","SUS",2.30434782608696,-0.483598958828872
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR120","Male","RES",2.61428571428571,0.0178512517968417
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR122","Male","RES",2.44285714285714,1.05739617912031
