"figure_panel","scientific_owner_stage","owner_table","exported_by","permutation_id","seed","model_id","model_label","cv_scheme","performance_metric","performance_value","is_observed","n_permutations","row_role"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",0,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",0.1593945585532,TRUE,1000,"observed_statistic"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",1,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0225335264360227,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",2,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0215475431421459,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",3,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0108151729774282,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",4,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0334496833012705,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",5,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0372377627325875,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",6,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0365153508191614,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",7,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0295678860326196,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",8,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.034493185936117,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",9,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0237158699890381,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",10,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0265515139989301,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",11,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",0.0253883451521655,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",12,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0259853521504347,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",13,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0387294977036541,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",14,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0220608996012044,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",15,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.00438536004307876,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",16,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0235490779576621,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",17,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0411239407087134,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",18,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0326691467288302,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",19,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0387940253609456,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",20,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.0175281597131991,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",21,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",-0.00754754156665882,FALSE,1000,"permutation_draw"
"1e","Analysis/09_early_prediction_model_ladder.R","early_prediction_permutation_draws.csv","Analysis/_supporting/build_figure1_panel_source_data.R",22,20260811,"movement_mean","Movement mean","leave-one-animal-out outcome permutation with full refit","cv_r2_vs_mean",0.00798410483141742,FALSE,1000,"permutation_draw"
