"element","value","verification","notes"
"source_repository","topohl/MMMSociability","local checkout at C:/Users/topohl/Documents/GitHub/MMMSociability","the behavioural analysis is not reproduced in this repository and none of its code is vendored here"
"analysis_commit","a1042e29b47c6b74e1eb351bfa238be9fb57cf9b","VERIFIED present and an ancestor of the verified source HEAD","subject: Give the Figure 1 prediction contract a single source of truth. Supersedes 4b0f90f as the analysis state the bundle describes."
"bundle_commit","5460cd446843ac9904346dd0eed2479657ae45c5","VERIFIED present and equal to the verified source HEAD","subject: Re-freeze the Figure 1 export bundle on the corrected contract. Supersedes 53bc7e9."
"verified_source_HEAD","5460cd446843ac9904346dd0eed2479657ae45c5","VERIFIED equals the source repository HEAD at import time","the re-freeze commit is itself HEAD"
"source_branch","main","VERIFIED",""
"source_worktree_state_at_import","clean","VERIFIED by git status --short returning empty",""
"source_test_state","HEAD","VERIFIED","tested state equals the verified source HEAD"
"source_tests","31 passed / 0 failed","re-run at the re-freeze commit","30 pre-existing scripts plus test_figure1_prediction_contract.R added by the repair; not re-executed from this repository"
"bundle_export_path_in_source","results/manuscript_bridge/figure1/export/","VERIFIED",""
"bundle_import_path_here","manuscript/figure1_bridge_mmmsociability/","VERIFIED","byte-exact mirror; original filenames preserved"
"previous_import","analysis_commit 4b0f90f, bundle_commit 53bc7e9, imported at proteomics commit b0549d4","superseded","The first import carried FM-07 seed 123, which the upstream audit proved wrong. See figure1_bridge_conflicts.csv row FC-02."
"bundle_internal_worktree_state","clean","VERIFIED, quoted verbatim from figure1_repo_provenance.csv","RESOLVED. The previous freeze recorded dirty at export time; the builder now assesses the source tree excluding its own output directory, so the recorded value describes whether the code that produced the bundle is committed. It is."
"regeneration_audit","6 differences against 53bc7e9, 0 UNEXPECTED_NUMERICAL_CHANGE","VERIFIED by Analysis/_supporting/audit_figure1_bundle_diff.R in the source repository","3 EXPECTED_SEED_PROVENANCE_FIX and 3 EXPECTED_PROVENANCE_UPDATE. The source-data manifest is byte-identical, so all eight upstream data hashes are unchanged, which is the direct evidence that no underlying data moved."
"line_ending_normalisation","disabled for the bridge","VERIFIED by git check-attr text returning unset","The repository sets * text=auto with core.autocrlf=true, which would rewrite these CRLF files to LF in the object store and break byte-level hash verification on checkout. .gitattributes pins manuscript/figure1_bridge_mmmsociability/** to -text so the imported bytes survive round-tripping."
"behavioural_code_copied","NONE","VERIFIED","no .R file from the source repository was copied into this repository; the frozen contract CSVs are the sole evidence interface"
"behavioural_results_recomputed","NONE","VERIFIED","no behavioural statistic is recomputed here; every behavioural number in the manuscript is quoted from the imported contracts"
"scientific_values_changed_by_this_resync","NONE","VERIFIED against the regeneration audit and by test","every rho, confidence interval, q, R2, permutation p, sex-interaction q, n and CombZ threshold is unchanged"
"evidence_interface","manuscript/figure1_bridge_mmmsociability/*.csv","contract","Manuscript prose cites the imported contract files, not the upstream R scripts. The contract files themselves name their upstream analysis entrypoints for anyone tracing further."
"panel_source_data_import_path","manuscript/figure1_bridge_mmmsociability/source_data/","VERIFIED","Seven frozen Figure 1 panel source tables plus their manifest, byte-exact mirrors of the upstream freeze. These are the ONLY inputs the Figure 1 renderer reads."
"panel_source_exporter_commit","52b8d911168df40d47a262f68d76aa8d4c96bf3a","VERIFIED recorded in the imported manifest as source_commit","subject: Add the Figure 1 panel source-data exporter and its guard. The exporter ran from a clean tree at this commit."
"panel_source_freeze_commit","30a2666198ca6f23795773da1b7d0ef34e78ac37","VERIFIED","subject: Freeze the Figure 1 panel source data"
"panel_source_creation_state","authoritative","VERIFIED from the imported manifest","The exporter refuses to mark itself authoritative when run from a dirty tree, and its guard refuses the export. Both passed."
"panel_source_hash_verification","7 of 7 SHA-256 and 7 of 7 byte sizes match the upstream manifest","VERIFIED at import",""
"panel_source_statistics_index","manuscript/figure1_bridge_mmmsociability/source_data/figure1_panel_statistics.csv","contract","Indexes every number the figure or its legend may print against the table it is recoverable from. A value absent from this index must not appear on the figure."
"behavioural_statistics_computed_here","NONE","VERIFIED","The renderer plots frozen values. It fits no correlation, no model, and runs no permutation."
